Date,Open,High,Low,Close,Adj Close,Volume,ILLIQ
2010-01-04,7.6225,7.660714,7.585,7.643214,6.52602,493729600,1.53351E-10
2010-01-05,7.664286,7.699643,7.616071,7.656429,6.537303,601904800,1.38846E-10
2010-01-06,7.656429,7.686786,7.526786,7.534643,6.433319,552160000,2.89771E-10
2010-01-07,7.5625,7.571429,7.466071,7.520714,6.421425,477131200,2.20816E-10
2010-01-08,7.510714,7.571429,7.466429,7.570714,6.464117,447610800,2.34579E-10
2010-01-11,7.6,7.607143,7.444643,7.503929,6.407093,462229600,3.51557E-10
2010-01-12,7.471071,7.491786,7.372143,7.418571,6.334213,594459600,2.01263E-10
2010-01-13,7.423929,7.533214,7.289286,7.523214,6.423559,605892000,4.02593E-10
2010-01-14,7.503929,7.516429,7.465,7.479643,6.386358,432894000,1.18803E-10
2010-01-15,7.533214,7.557143,7.3525,7.354643,6.27963,594067600,3.44478E-10
2010-01-19,7.440357,7.685357,7.401429,7.68,6.55743,730007600,3.88938E-10
2010-01-20,7.675357,7.698214,7.482143,7.561786,6.456494,612152800,3.52969E-10
2010-01-21,7.574286,7.618214,7.400357,7.431071,6.344885,608154400,3.58226E-10
2010-01-22,7.385,7.410714,7.041429,7.0625,6.030189,881767600,4.18801E-10
2010-01-25,7.2325,7.310714,7.149643,7.2525,6.192415,1065699600,1.51141E-10
2010-01-26,7.355357,7.6325,7.235,7.355,6.279933,1867110000,2.12896E-10
2010-01-27,7.3875,7.520714,7.126071,7.424286,6.339092,1722568400,2.29101E-10
2010-01-28,7.318929,7.339286,7.096429,7.1175,6.077147,1173502400,2.06951E-10
2010-01-29,7.181429,7.221429,6.794643,6.859286,5.856676,1245952400,3.42538E-10
2010-02-01,6.870357,7,6.832143,6.954643,5.938097,749876400,2.23846E-10
2010-02-02,6.996786,7.011429,6.906429,6.995,5.972554,698342400,1.50356E-10
2010-02-03,6.970357,7.15,6.943571,7.115357,6.075319,615328000,3.35478E-10
2010-02-04,7.026071,7.084643,6.841786,6.858929,5.856373,757652000,3.20539E-10
2010-02-05,6.879643,7,6.816071,6.980714,5.960356,850306800,2.16309E-10
2010-02-08,6.988929,7.067143,6.928571,6.932857,5.919496,478270800,2.89735E-10
2010-02-09,7.015,7.053571,6.955357,7.006786,5.982616,632886800,1.55184E-10
2010-02-10,6.996071,7.021429,6.937857,6.968571,5.949988,370361600,2.2565E-10
2010-02-11,6.96,7.133929,6.930714,7.095357,6.058241,550345600,3.6925E-10
2010-02-12,7.075357,7.201429,6.982143,7.156429,6.110389,655468800,3.34548E-10
2010-02-16,7.212143,7.274643,7.197143,7.264286,6.202479,543737600,1.42532E-10
2010-02-17,7.2925,7.296786,7.173571,7.233929,6.176561,436396800,2.82346E-10
2010-02-18,7.201071,7.281786,7.175714,7.2475,6.188147,422825200,2.50865E-10
2010-02-19,7.209286,7.257143,7.1825,7.2025,6.149724,415469600,1.79659E-10
2010-02-22,7.226429,7.232143,7.113929,7.157857,6.111608,390563600,3.02675E-10
2010-02-23,7.142857,7.190357,6.989643,7.037857,6.009148,575094800,3.4901E-10
2010-02-24,7.079643,7.194286,7.065714,7.166429,6.118927,460566400,2.79161E-10
2010-02-25,7.049286,7.245,7.031786,7.214286,6.159787,665126000,3.20562E-10
2010-02-26,7.227857,7.3275,7.214286,7.307857,6.239682,507460800,2.23099E-10
2010-03-01,7.348214,7.482143,7.3375,7.463929,6.372941,550093600,2.62943E-10
2010-03-02,7.4975,7.529643,7.419286,7.458929,6.368673,566546400,1.94789E-10
2010-03-03,7.462143,7.495357,7.426429,7.476071,6.383308,372052800,1.85264E-10
2010-03-04,7.474286,7.532857,7.451071,7.525357,6.425389,366041200,2.23434E-10
2010-03-05,7.676429,7.846429,7.665357,7.819643,6.676661,899620400,2.01276E-10
2010-03-08,7.8575,7.860357,7.794643,7.824286,6.680624,429889600,1.52863E-10
2010-03-09,7.796786,8.035714,7.781786,7.965,6.800771,920259200,2.75931E-10
2010-03-10,7.993929,8.052857,7.971429,8.03,6.85627,596218000,1.36574E-10
2010-03-11,7.996786,8.053571,7.975714,8.053571,6.876396,405700400,1.91908E-10
