Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.6.30,1.63,0.3238,5.35,13834,14.7478434
2022.3.31,1.63,0.3292,4.48,12056,-3.063439736
2021.12.31,1.68,0.3279,6.27,12437,10.69870939
2021.9.30,1.59,0.3143,5.56,11235,6.341694274
2021.6.30,1.58,0.2919,5.27,10565,12.08359856
2021.3.31,1.51,0.2173,5.09,9426,-3.233754235
2020.12.31,1.5,0.1397,4.58,9741,5.868927291
2020.9.30,1.47,0.1509,4.15,9201,11.97517342
2020.6.30,1.56,0.1794,3.6,8217,-25.47614729
2020.3.31,1.76,0.2415,3.53,11026,-9.370376459
2019.12.31,1.85,0.2902,3.17,12166,2.528231923
2019.9.30,1.86,0.3065,4.21,11866,1.168045017
2019.6.30,1.84,0.3073,4.04,11729,4.174438227
2019.3.31,1.88,0.3088,4.25,11259,-0.433321542
2018.12.31,1.95,0.3222,3.92,11308,3.543631536
2018.9.30,1.88,0.1793,3.44,10921,1.941566321
2018.6.30,1.92,0.1655,4,10713,3.617371119
2018.3.31,1.91,0.151,3.8,10339,0.505492369
2017.12.31,1.93,0.1299,3.84,10287,4.351795496
2017.9.30,1.9,0.2212,4.37,9858,1.702259362
2017.6.30,1.96,0.2111,3.48,9693,5.911276224
2017.3.31,2,0.2442,3.27,9152,-22.14376861
2016.12.31,1.94,0.2532,3.13,11755,43.28376402
2016.9.30,1.91,0.2578,3.01,8204,-5.385768654
2016.6.30,1.98,0.2627,2.56,8671,1.855984964
2016.3.31,1.92,0.2337,2.48,8513,-3.162325105
2015.12.31,1.91,0.2362,2.55,8791,2.316108007
2015.9.30,2.02,0.262,2.94,8592,-1.218670959
2015.6.30,2.08,0.2764,3.08,8698,4.043062201
2015.3.31,2.22,0.2856,3.2,8360,-11.87012439
2014.12.31,2.23,0.2881,3.26,9486,8.746990714
2014.9.30,2.2,0.286,4.1,8723,-3.868194842
2014.6.30,2.18,0.2839,3.98,9074,5.364607524
2014.3.31,2.15,0.2818,4.35,8612,-3.301145295
2013.12.31,2.16,0.2758,4.22,8906,1.377347752
2013.9.30,2.14,0.2424,4.36,8785,0.549387662
2013.6.30,2.14,0.2361,3.7,8737,4.011904762
2013.3.31,2.15,0.2319,3.73,8400,-3.281519862
2012.12.31,2.3,0.2287,3.35,8685,3.147268409
2012.9.30,2.23,0.2565,2.93,8420,-1.115678215
2012.6.30,2.26,0.2596,2.84,8515,4.337703713
2012.3.31,2.24,0.2636,2.97,8161,-1.875676326
2011.12.31,2.25,0.2688,2.92,8317,2.099189786
2011.9.30,2.37,0.2715,2.51,8146,-0.597925564
2011.6.30,2.36,0.2719,2.48,8195,7.489506821
2011.3.31,2.34,0.268,2.89,7624,-2.866607211
2010.12.31,2.36,0.2667,2.64,7849,3.507846499
2010.9.30,2.44,0.2752,2.67,7583,2.26567768
2010.6.30,2.41,0.2536,2.67,7415,3.590388377
2010.3.31,2.45,0.1923,2.76,7158,4.283216783
2009.12.31,1.94,0.148,3.08,6864,4.6500991
,2.02,,2.78,6559,
,2.19,,2.4,6639,
,2.5,,1.7,6481,
,,,0.82,,
