Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.6.30,1.25,0.3568,-5.49,16681,19.2266457
2022.3.31,1.3,0.321,-7.42,13991,-5.421483134
2021.12.31,1.33,0.265,-7.99,14793,-3.17449928
2021.9.30,1.36,0.5087,-9.06,15278,-10.11883751
2021.6.30,1.35,0.5516,-8.51,16998,11.70401525
2021.3.31,1.33,0.8008,-8.34,15217,-0.568478829
2020.12.31,1.39,0.9429,-6.9,15304,8.239620907
2020.9.30,1.42,0.4395,-8.08,14139,19.75099517
2020.6.30,1.41,0.3464,-9.09,11807,-30.1691507
2020.3.31,1.18,0.5166,-8.99,16908,-5.599910669
2019.12.31,1.05,0.1512,-21.96,17911,-10.35535536
2019.9.30,1.11,-1.8708,-55.56,19980,26.84908895
2019.6.30,1.03,-3.6211,-40.71,15751,-31.26936335
2019.3.31,1.07,-20.8676,904.63,22917,-19.1383508
2018.12.31,1.08,-47.7851,433.88,28341,12.70579814
2018.9.30,1.1,96.7196,-169.3,25146,3.660648034
2018.6.30,1.11,14.0848,-135.35,24258,3.746471645
2018.3.31,1.15,17.1699,141.34,23382,-5.603552685
2017.12.31,1.14,32.6647,96.95,24770,2.25818437
2017.9.30,1.18,138.8141,125.68,24223,5.084378118
2017.6.30,1.19,24.4983,-55.86,23051,4.96334411
2017.3.31,1.25,5.6318,646.02,21961,-1.125568412
2016.12.31,1.25,2.5866,101.53,22211,-7.059168131
2016.9.30,1.28,1.289,34.88,23898,-3.461926883
2016.6.30,1.27,0.8276,114.59,24755,9.380523153
2016.3.31,1.33,0.8569,17.9,22632,-3.991855088
2015.12.31,1.35,0.7517,13.51,23573,-8.804982785
2015.9.30,1.17,0.7502,11.53,25849,5.321272868
2015.6.30,1.17,0.5581,13.26,24543,10.80861438
2015.3.31,1.2,0.5093,11.41,22149,-9.47768514
2014.12.31,1.41,0.4165,9.14,24468,2.875882947
2014.9.30,1.23,0.3563,5.4,23784,7.88841007
2014.6.30,1.23,0.3784,5.59,22045,7.720498412
2014.3.31,1.23,0.3832,5.38,20465,-13.95837713
2013.12.31,1.26,0.4665,5.81,23785,7.478535924
2013.9.30,1.29,0.5731,8.29,22130,1.443960578
2013.6.30,1.31,0.5831,8.57,21815,15.46604563
2013.3.31,1.3,0.6026,7.26,18893,-15.28562461
2012.12.31,1.27,0.6326,7.99,22302,11.46541383
2012.9.30,1.26,0.7711,5.68,20008,0.014996251
2012.6.30,1.22,0.8448,7.84,20005,3.208997575
2012.3.31,1.21,0.8857,8.94,19383,-0.879570442
2011.12.31,1.21,0.8668,12.38,19555,10.31195352
2011.9.30,1.23,0.8516,6.03,17727,7.157105724
2011.6.30,1.19,0.8665,9.15,16543,10.95238095
2011.3.31,1.16,0.9223,10.92,14910,-9.909365559
2010.12.31,1.15,0.9681,13.37,16550,-2.457712029
2010.9.30,1.15,1.0504,8.5,16967,8.951390227
2010.6.30,1.12,0.5344,11.4,15573,2.346214511
2010.3.31,1.1,1.0345,13.64,15216,-15.16976083
2009.12.31,1.07,4.474,13.75,17937,7.484419942
,0.94,,-33.2,16688,
,0.96,,67.79,17154,
,0.93,,-36.89,16502,
