Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.6.30,1.45,0.409,5.95,14247,4.84215174
2022.3.31,1.44,0.3867,6.87,13589,-1.514712277
2021.12.31,1.46,0.3891,6.6,13798,11.30112124
2021.9.30,1.61,0.3141,6.08,12397,-3.817208472
2021.6.30,1.56,0.275,6.87,12889,8.42937663
2021.3.31,1.6,0.2262,7.4,11887,5.80329328
2020.12.31,1.54,0.2054,6.22,11235,13.70306649
2020.9.30,1.54,0.2301,5.17,9881,-1.160348104
2020.6.30,1.5,0.2874,4.72,9997,-5.999059709
2020.3.31,1.42,0.3612,4.16,10635,-19.08855752
2019.12.31,1.47,0.4063,5.19,13144,3.025552594
2019.9.30,1.44,0.4067,4.32,12758,-11.59922395
2019.6.30,1.44,0.4161,4.75,14432,7.173622457
2019.3.31,1.43,0.4215,4.58,13466,-6.107934737
2018.12.31,1.37,0.4085,4.73,14342,6.158401184
2018.9.30,1.48,0.2539,5.12,13510,-3.575761901
2018.6.30,1.37,0.2099,4.85,14011,8.958705965
2018.3.31,1.36,0.1515,5.16,12859,-0.28691067
2017.12.31,1.35,0.0527,6.09,12896,12.99395426
2017.9.30,1.44,0.0623,4.18,11413,0.723678404
2017.6.30,1.32,0.0075,3.96,11331,15.36346976
2017.3.31,1.29,-0.0101,3.56,9822,2.590348861
2016.12.31,1.22,-0.0045,2.83,9574,4.519650655
2016.9.30,1.27,0.0655,2.45,9160,-11.42912396
2016.6.30,1.24,0.0831,2.38,10342,9.31191206
2016.3.31,1.29,0.0965,2.2,9461,-14.22484134
2015.12.31,1.28,0.1545,1.95,11030,0.620324758
2015.9.30,1.37,0.1266,2.42,10962,-11.00105545
2015.6.30,1.49,0.1475,2.29,12317,-3.031018737
2015.3.31,1.45,0.1506,2.64,12702,-10.82561078
2014.12.31,1.39,0.1274,2.52,14244,5.129529855
2014.9.30,1.42,0.1945,2.57,13549,-4.247349823
2014.6.30,1.39,0.1927,2.39,14150,6.865040405
2014.3.31,1.39,0.1987,2.16,13241,-8.061380364
2013.12.31,1.4,0.2019,2.26,14402,7.293451538
2013.9.30,1.38,0.1942,2.32,13423,-8.193694002
2013.6.30,1.36,0.2369,2.38,14621,10.68130204
2013.3.31,1.46,0.285,2.55,13210,-17.82270607
2012.12.31,1.43,0.3416,2.37,16075,-2.249923989
2012.9.30,1.41,0.4223,2.6,16445,-5.347070335
2012.6.30,1.42,0.4109,3.45,17374,8.716600964
2012.3.31,1.39,0.3805,3.37,15981,-7.318912022
2011.12.31,1.34,0.3702,2.48,17243,9.716212777
2011.9.30,1.46,0.3399,3.77,15716,10.44272663
2011.6.30,1.73,0.3415,4.15,14230,9.892655804
2011.3.31,1.5,0.346,4.02,12949,1.108768642
2010.12.31,1.45,0.2767,3.67,12807,15.02604634
2010.9.30,1.42,0.2124,2.94,11134,6.965126333
2010.6.30,1.38,0.1791,3.13,10409,26.35348386
2010.3.31,1.43,0.1489,2.87,8238,4.304887313
2009.12.31,1.43,0.1169,2.79,7898,8.221430529
,1.46,,1.94,7298,
,1.41,,1.83,7975,
,1.34,,3.48,9225,
