Date,Open,High,Low,Close,Adj Close,Volume,ILLIQ
2010.1.4,24.110001,24.84,24.01,24.690001,17.695971,59853700,1.38671E-08
2010.1.5,24.6,24.73,24.379999,24.58,17.617125,45124500,7.75634E-09
2010.1.6,24.540001,24.74,24.34,24.42,17.502451,35715700,1.11996E-08
2010.1.7,24.299999,24.57,24.17,24.530001,17.581291,31531200,1.26858E-08
2010.1.8,24.379999,24.700001,24.25,24.66,17.674463,39115900,1.15043E-08
2010.1.11,24.639999,24.889999,24.41,24.59,17.624296,35852900,1.3388E-08
2010.1.12,24.440001,24.5,24.08,24.200001,17.344769,35780400,1.17383E-08
2010.1.13,24.280001,24.700001,24.200001,24.639999,17.660131,43683900,1.14459E-08
2010.1.14,24.58,25.08,24.52,24.950001,17.882324,52302100,1.0707E-08
2010.1.15,25,25.1,24.299999,24.4,17.488111,51648100,1.54895E-08
2010.1.19,24.540001,24.879999,24.5,24.85,17.810638,37607500,1.01043E-08
2010.1.20,24.620001,24.73,24.120001,24.41,17.495279,42125400,1.44806E-08
2010.1.21,24.51,24.65,23.860001,23.98,17.18709,54767500,1.44246E-08
2010.1.22,23.84,23.93,22.870001,22.969999,16.463198,70424300,1.50516E-08
2010.1.25,23.1,23.18,22.74,22.99,16.47753,51288800,8.57887E-09
2010.1.26,22.799999,23.200001,22.639999,22.9,16.413023,55312800,1.01243E-08
2010.1.27,22.889999,23.26,22.76,23.15,16.592213,51802900,9.65197E-09
2010.1.28,23.18,23.219999,22.35,22.52,16.140671,63620000,1.36749E-08
2010.1.29,22.950001,23.129999,22.440001,22.469999,16.104832,73431900,9.39643E-09
2010.2.1,22.65,22.940001,22.379999,22.73,16.291182,54386100,1.02968E-08
2010.2.2,22.809999,23.110001,22.51,23.02,16.499037,54108900,1.10888E-08
2010.2.3,23.16,23.25,22.85,23.07,16.534866,80035500,4.99778E-09
2010.2.4,23.41,23.77,23.1,23.16,16.599371,126098600,5.3133E-09
2010.2.5,23.299999,23.879999,23.16,23.700001,16.986412,99148600,7.26182E-09
2010.2.8,23.780001,23.9,23.48,23.5,16.843063,69909000,6.00781E-09
2010.2.9,23.799999,24,23.58,23.889999,17.122585,60331600,6.96153E-09
2010.2.10,23.860001,24,23.620001,23.76,17.029415,50574100,7.51371E-09
2010.2.11,23.67,23.99,23.540001,23.93,17.151255,42458500,1.05986E-08
2010.2.12,23.719999,23.799999,23.51,23.76,17.029415,56455000,5.13682E-09
2010.2.16,23.959999,24,23.799999,24,17.201426,46758200,4.27735E-09
2010.2.17,23.99,24.09,23.74,24.07,17.2516,48505500,7.21568E-09
2010.2.18,24.049999,24.360001,23.9,24.280001,17.402111,41154700,1.11774E-08
2010.2.19,24.129999,24.379999,24.059999,24.360001,17.459452,38781900,8.25127E-09
2010.2.22,24.389999,24.459999,24.15,24.299999,17.416443,31374800,9.88051E-09
2010.2.23,24.16,24.23,23.83,24.049999,17.237263,36286000,1.10235E-08
2010.2.24,24.09,24.450001,24.09,24.34,17.445116,33182100,1.08493E-08
2010.2.25,24,24.389999,23.870001,24.33,17.437943,37112100,1.40115E-08
2010.2.26,24.360001,24.459999,24.209999,24.33,17.437943,30719800,8.13807E-09
2010.3.1,24.33,24.65,24.32,24.6,17.63146,41777800,7.89893E-09
2010.3.2,24.66,24.75,24.440001,24.610001,17.638626,51403800,6.03066E-09
2010.3.3,24.700001,24.93,24.6,24.84,17.803478,50693400,6.50972E-09
2010.3.4,24.84,24.98,24.66,24.950001,17.882324,40262000,7.94794E-09
2010.3.5,24.969999,25.24,24.92,25.209999,18.068663,57057100,5.60842E-09
2010.3.8,25.309999,26.360001,25.26,26.129999,18.728052,116178200,9.46822E-09
2010.3.9,26.33,26.48,25.700001,26.129999,18.728052,160887600,4.8481E-09
2010.3.10,25.85,26.059999,25.75,25.870001,18.541698,69660800,4.45012E-09
2010.3.11,25.790001,25.98,25.719999,25.969999,18.613373,37340500,6.96298E-09
2010.3.12,26,26.030001,25.780001,25.879999,18.548872,31167200,8.02125E-09
2010.3.15,25.76,26.09,25.74,26.08,18.692213,36759300,9.5214E-09
2010.3.16,26.030001,26.34,26.01,26.15,18.74239,53887500,6.12387E-09
2010.3.17,26.200001,26.4,26.18,26.26,18.821226,32456000,6.77841E-09
2010.3.18,26.24,26.43,26.219999,26.34,18.878561,27088000,7.75255E-09
2010.3.19,26.370001,26.440001,26.07,26.15,18.74239,55661800,6.64731E-09
2010.3.22,25.92,26.379999,25.889999,26.280001,18.835558,31899500,1.53607E-08
2010.3.23,26.190001,26.75,26.17,26.639999,19.093584,48863100,1.18699E-08
2010.3.24,26.559999,26.620001,26.440001,26.450001,18.957403,35293400,5.1001E-09
2010.3.25,26.66,26.85,26.42,26.43,18.943066,35137800,1.22375E-08
2010.3.26,26.440001,26.75,26.34,26.469999,18.971735,37524500,1.09262E-08
2010.3.29,26.610001,26.690001,26.450001,26.51,19.000412,30387800,7.89791E-09
2010.3.30,26.639999,26.709999,26.34,26.65,19.10075,32975900,1.12203E-08
2010.3.31,26.52,26.610001,25.959999,26.030001,18.656376,54745100,1.18732E-08
2010.4.1,26.200001,26.299999,25.66,25.83,18.513035,56193700,1.13892E-08
2010.4.5,25.870001,26.24,25.799999,26.17,18.75672,34804200,1.26422E-08
2010.4.6,26.129999,26.379999,26.049999,26.219999,18.792551,31121900,1.06035E-08
2010.4.7,26.1,26.59,26.1,26.34,18.878561,43837800,1.11776E-08
2010.4.8,26.280001,26.389999,26,26.280001,18.835558,38623400,1.00975E-08
2010.4.9,26.280001,26.639999,26.219999,26.6,19.064917,34610800,1.21349E-08
2010.4.12,26.57,26.74,26.49,26.530001,19.01474,28374400,8.81076E-09
2010.4.13,26.450001,26.5,26.17,26.440001,18.950235,42863900,7.69879E-09
