Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.6.30,1.49,0.2931,4.78,12835,0.90408805
2022.3.31,1.42,0.289,4.98,12720,-1.395348837
2021.12.31,1.62,0.2792,5.76,12900,-1.721773579
2021.9.30,1.49,0.2668,5.41,13126,2.522846208
2021.6.30,1.53,0.263,5.5,12803,7.048494983
2021.3.31,1.61,0.2685,5.15,11960,0.259870903
2020.12.31,1.59,0.2841,4.61,11929,-1.851242389
2020.9.30,1.72,0.3124,3.78,12154,1.427021614
2020.6.30,1.59,0.3098,4.96,11983,-0.183256976
2020.3.31,1.81,0.3151,4.68,12005,-8.769663348
2019.12.31,1.7,0.3022,5.08,13159,-2.003276735
2019.9.30,1.51,0.2999,5.38,13428,3.627102948
2019.6.30,1.7,0.3211,6.4,12958,4.113771493
2019.3.31,1.8,0.2949,5.95,12446,-4.788861689
2018.12.31,2.11,0.0272,4.62,13072,1.775147929
2018.9.30,2.29,0.0021,4.21,12844,3.057048865
2018.6.30,2.34,-0.022,4.01,12463,4.845629679
2018.3.31,2.43,-0.0232,3.96,11887,-2.051746869
2017.12.31,2.87,0.1484,3.4,12136,0.024725954
2017.9.30,3.04,0.1485,2.24,12133,1.61641541
2017.6.30,3.52,0.1561,2.04,11940,3.10880829
2017.3.31,3.67,0.1553,2.22,11580,-6.25
2016.12.31,3.58,0.1699,2.04,12352,-2.2630163
2016.9.30,3.16,0.174,2.04,12638,5.316666667
2016.6.30,3.27,0.1687,2.01,12000,0.612056678
2016.3.31,3.29,0.1726,1.83,11927,-5.953319666
2015.12.31,3.35,0.1622,1.61,12682,-1.253601184
2015.9.30,3.13,0.1542,1.98,12843,5.816923457
2015.6.30,2.98,0.155,1.94,12137,1.683981233
2015.3.31,3.39,0.1525,1.99,11936,-2.523478971
2014.12.31,3.31,0.1365,1.84,12245,-0.90636886
2014.9.30,3.39,0.1381,1.73,12357,7.03334777
2014.6.30,3.47,0.137,1.77,11545,3.496190049
2014.3.31,2.65,0.1416,1.64,11155,-7.695490277
2013.12.31,2.89,0.1717,1.56,12085,-2.673753725
2013.9.30,2.98,0.1781,1.56,12417,1.645383104
2013.6.30,2.92,0.1781,1.76,12216,0.975367829
2013.3.31,3.38,0.1767,1.47,12098,1.869316268
2012.12.31,3.38,0.1633,1.47,11876,1.591103507
2012.9.30,3.49,0.1615,1.28,11690,0.880220918
2012.6.30,3.58,0.1508,1.21,11588,0.529192331
2012.3.31,3.37,0.1466,1.54,11527,2.407604833
2011.12.31,3.28,0.1353,1.56,11256,0.54488611
2011.9.30,3.27,0.1404,1.53,11195,3.027793116
2011.6.30,3.43,0.1582,1.33,10866,4.410492937
2011.3.31,2.81,0.1698,1.47,10407,-3.190697674
2010.12.31,2.78,0.1815,1.84,10750,-0.793650794
2010.9.30,2.67,0.1831,2.05,10836,4.513888889
2010.6.30,2.7,0.1685,2.11,10368,5.634233316
2010.3.31,3.48,0.1541,2.52,9815,8.801684957
2009.12.31,3.4,0.1498,2.22,9021,5.694200351
,3.24,,2.35,8535,
,3.21,,2.36,8162,
,2.79,,2.15,9089,
,,,1.71,,
