Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.6.30,1.31,0.2009,1.83,68762,26.46350211
2022.3.31,1.43,0.1471,2.16,54373,12.97346714
2021.12.31,1.26,0.115,1.59,48129,7.647058824
2021.9.30,1.28,0.0739,1.39,44710,18.91906269
2021.6.30,1.17,0.027,1.45,37597,17.38424553
2021.3.31,1.11,-0.0584,1.44,32029,26.86762259
2020.12.31,1.18,-0.0408,1.14,25246,3.251400761
2020.9.30,1.26,-0.0826,0.94,24451,81.19905143
2020.6.30,1.14,-0.0599,1.12,13494,-57.16326466
2020.3.31,1.01,0.0256,0.83,31501,-13.33975241
2019.12.31,1.07,0.019,1.38,36350,0.647912283
2019.9.30,1.12,0.0847,1.25,36116,-7.037323037
2019.6.30,1.15,0.0944,1.3,38850,10.36931818
2019.3.31,1.12,0.0893,1.29,35200,-16.88704193
2018.12.31,1.25,0.0964,1.13,42352,-3.717007298
2018.9.30,1.22,0.0933,1.27,43987,4.145752439
2018.6.30,1.08,0.0804,1.31,42236,11.84196589
2018.3.31,1.04,0.0681,1.19,37764,0.393449596
2017.12.31,1.03,0.0621,1.3,37616,3.897251761
2017.9.30,1.04,0.0441,1.22,36205,5.002900232
2017.6.30,0.95,0.0395,1.07,34480,3.168666407
2017.3.31,1.04,0.0197,1.09,33421,6.108518272
2016.12.31,0.93,-0.0033,1.19,31497,4.502322495
2016.9.30,1.17,-0.01,1.02,30140,2.930127724
2016.6.30,1.3,-0.0049,1.03,29282,24.32386533
2016.3.31,1.09,0.0084,0.9,23553,-19.46866345
2015.12.31,1.35,0.0295,0.83,29247,-14.76905144
2015.9.30,1.32,0.0553,0.71,34315,-14.97138043
2015.6.30,1.44,0.0779,0.85,40357,16.78048498
2015.3.31,1.4,0.1107,0.91,34558,-25.0173581
2014.12.31,1.32,0.1241,0.97,46088,-15.71169919
2014.9.30,1.27,0.1348,1.02,54679,-5.624978425
2014.6.30,1.35,0.133,1.13,57938,8.773115554
2014.3.31,1.4,0.1334,1.04,53265,-5.151536736
2013.12.31,1.52,0.1472,1.1,56158,-4.008341453
2013.9.30,1.6,0.1667,1.1,58503,1.9766773
2013.6.30,1.68,0.1724,1.08,57369,0.969763103
2013.3.31,1.58,0.19,1.1,56818,-6.166600608
2012.12.31,1.63,0.1977,1.03,60552,4.320860037
2012.9.30,1.64,0.1872,1.13,58044,-7.28980322
2012.6.30,1.72,0.2124,1.04,62608,3.134832386
2012.3.31,1.61,0.2232,1.1,60705,1.200300075
2011.12.31,1.58,0.2283,1.12,59985,-6.901850012
2011.9.30,1.64,0.2381,0.98,64432,-6.549863665
2011.6.30,1.53,0.211,1.13,68948,14.26393331
2011.3.31,1.53,0.197,1.24,60341,11.68674922
2010.12.31,1.68,0.1878,1.09,54027,8.66688121
2010.9.30,1.66,0.1715,0.99,49718,-6.199532111
2010.6.30,1.63,0.1774,0.84,53004,10.01473671
2010.3.31,1.48,0.1433,0.97,48179,-1.021037061
2009.12.31,1.42,0.1165,1.01,48676,4.398927614
,1.4,,0.93,46625,
,1.37,,0.9,40205,
,1.37,,0.91,36130,
