Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.6.30,0.87,0.1399,1.06,11864,-8.26567695
2022.3.31,0.88,0.1686,0.98,12933,2.326133397
2021.12.31,0.88,0.2035,1.15,12639,-7.120811287
2021.9.30,0.85,0.2161,1.17,13608,-11.56745516
2021.6.30,0.84,0.2025,1.23,15388,-13.08178943
2021.3.31,0.81,0.1542,1.11,17704,50.78783749
2020.12.31,0.75,0.0961,0.92,11741,8.904554309
2020.9.30,0.73,0.0687,0.86,10781,-18.90936442
2020.6.30,0.76,0.0531,0.72,13295,52.06450875
2020.3.31,0.79,0.0748,0.72,8743,-12.17478654
2019.12.31,0.78,0.0869,0.55,9955,19.60831431
2019.9.30,0.78,0.0935,0.84,8323,-12.02832682
2019.6.30,0.85,0.1023,0.76,9461,7.425911207
2019.3.31,0.86,0.1052,0.76,8807,8.997524752
2018.12.31,0.93,0.1136,0.73,8080,-8.390022676
2018.9.30,0.9,0.0636,0.63,8820,-8.468244085
2018.6.30,0.91,0.0588,0.89,9636,-4.404761905
2018.3.31,0.92,0.0503,0.89,10080,18.7139324
2017.12.31,0.93,0.0431,1.05,8491,1.981743935
2017.9.30,0.9,0.0921,1.07,8326,5.566121466
2017.6.30,0.89,0.0926,0.96,7887,-1.731871418
2017.3.31,0.92,0.0927,0.91,8026,-3.903256705
2016.12.31,0.92,0.0816,0.95,8352,2.252693438
2016.9.30,0.93,0.0635,0.98,8168,2.975289965
2016.6.30,0.95,0.0545,0.67,7932,25.14988956
2016.3.31,0.93,0.0461,0.63,6338,-12.85576791
2015.12.31,0.87,0.0641,0.68,7273,6.004955546
2015.9.30,0.92,0.0819,0.78,6861,-24.34667549
2015.6.30,0.88,0.0928,0.76,9069,-14.58038994
2015.3.31,0.84,0.107,0.92,10617,38.09833507
2014.12.31,0.86,0.0992,0.89,7688,-8.334326935
2014.9.30,0.84,0.1032,0.86,8387,-8.087671233
2014.6.30,0.8,0.0957,0.79,9125,-2.176243568
2014.3.31,0.83,0.0956,0.81,9328,6.217262583
2013.12.31,0.82,0.0993,0.88,8782,30.64564118
2013.9.30,0.83,0.1077,0.85,6722,-21.94612169
2013.6.30,0.79,0.1095,0.78,8612,-14.6481665
2013.3.31,0.75,0.0989,0.76,10090,9.246427025
2012.12.31,0.71,0.0992,0.76,9236,10.59753323
2012.9.30,0.72,0.0754,0.67,8351,26.01478799
2012.6.30,0.76,0.0498,0.62,6627,-33.39029048
2012.3.31,0.77,0.0517,0.54,9949,64.47346669
2011.12.31,0.79,0.0352,0.73,6049,68.6367438
2011.9.30,0.79,0.0514,0.53,3587,-50.73478918
2011.6.30,0.78,0.0796,0.56,7281,-38.78426097
2011.3.31,0.77,0.0712,0.79,11894,37.6301782
2010.12.31,0.8,0.1029,0.95,8642,-2.931596091
2010.9.30,0.82,0.1402,0.92,8903,0.701278136
2010.6.30,0.82,0.1635,0.82,8841,-30.79452055
2010.3.31,0.81,0.2035,0.76,12775,32.86531461
2009.12.31,0.8,0.1858,1,9615,-22.28419011
,0.8,,1.02,12372,
,0.8,,1.2,13761,
,0.81,,0.99,9425,
,,,0.63,,
