Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.05,0.0047,2.74,5749,-2.789200787
2022.6.30,1.06,0.0092,3.06,5593,-4.230339173
2022.3.31,1.03,0.0175,2.97,5366,-1.016566265
2021.12.31,1.05,0.0271,3.96,5312,-5.837816298
2021.9.30,1.06,0.0354,5.17,5019,-6.177279458
2021.6.30,0.94,0.0523,4.26,4727,-7.236842105
2021.3.31,1.33,0.1091,5,4408,-1.613646842
2020.12.31,1.24,0.1052,5,4338,-7.776397516
2020.9.30,1.22,0.0967,5.27,4025,-4.817708333
2020.6.30,1.15,0.0675,4.6,3840,-6.341733592
2020.3.31,1.15,-0.0056,4.21,3611,0.550812448
2019.12.31,1.08,0.005,4.8,3631,-7.45782776
2019.9.30,1.05,0.0357,4.17,3379,-11.51815182
2019.6.30,0.97,0.0595,7.02,3030,-7.332624867
2019.3.31,0.96,0.0769,7.8,2823,-6.247647723
2018.12.31,0.95,0.0809,7.5,2657,-6.15261686
2018.9.30,0.86,0.0768,7.15,2503,-2.919407895
2018.6.30,0.8,0.0873,7.67,2432,-8.619919607
2018.3.31,1.29,0.0726,8.03,2239,-5.265632346
2017.12.31,0.95,0.0405,8.01,2127,-7.045797685
2017.9.30,0.82,0.0301,8.37,1987,-4.195070792
2017.6.30,0.77,0.0133,7.72,1907,-9.221076747
2017.3.31,0.71,0.0403,7.73,1746,-1.926444834
2016.12.31,0.82,0.0498,7.46,1713,-9.878127004
2016.9.30,0.6,0.035,7.69,1559,-3.176704169
2016.6.30,0.61,0.0406,9.14,1511,-6.408450704
2016.3.31,0.74,-0.0026,9.2,1420,-3.953147877
2015.12.31,1.02,-0.0104,9.13,1366,-6.055900621
2015.9.30,0.74,-0.0201,10.86,1288,-4.800650936
2015.6.30,0.71,-0.0247,10.67,1229,-8.857395926
2015.3.31,0.66,-0.0423,11.28,1129,-3.673094582
2014.12.31,0.8,-0.0741,9.24,1089,-3.714285714
2014.9.30,0.74,-0.0947,10.65,1050,-3.857566766
2014.6.30,0.66,-0.1289,10.17,1011,-8.244111349
2014.3.31,0.61,-0.0877,10.13,934,-7.110091743
2013.12.31,0.67,-0.0826,12.15,872,-7.920792079
2013.9.30,0.58,-0.0518,11.05,808,-9.336941813
2013.6.30,0.55,-0.0958,9.25,739,-8.040935673
2013.3.31,1.05,-0.1457,9.85,684,-5.069124424
2012.12.31,0.69,-0.1333,10.87,651,-8.139534884
2012.9.30,0.54,-0.1373,9.95,602,-5.799648506
2012.6.30,0.8,-0.0218,9.13,569,-4.595588235
2012.3.31,0.79,-0.0196,11.87,544,-9.677419355
2011.12.31,0.73,-0.0076,10.08,496,-8.771929825
2011.9.30,0.63,0.0029,12.09,456,-7.294117647
2011.6.30,0.62,0.0225,13.83,425,-5.985037406
2011.3.31,0.71,0.0384,14.78,401,-9.863013699
2010.12.31,0.84,0.0531,13.45,365,-5.187319885
2010.9.30,1.2,0.0633,12.58,347,-9.463722397
2010.6.30,1.2,0.0683,10.24,317,-3.93442623
2010.3.31,1.51,0.0825,9.54,305,-6.643356643
2009.12.31,1.88,0.0922,7.65,286,-7.924528302
2009.9.30,1.05,0.0957,8.14,265,-4.330708661
2009.6.30,0.98,,6.7,254,-4.526748971
2009.3.31,1.11,,7.16,243,-5.194805195
