Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1,0.0327,1.7,6592,-0.157248785
2022.6.30,1.02,0.0332,1.74,7822,0.175356875
2022.3.31,1.06,0.0284,2.58,6655,-0.082322118
2021.12.31,1.1,0.0335,2.93,7252,0.170999516
2021.9.30,1.08,0.022,3.24,6193,0.069787528
2021.6.30,1.24,0.0126,3.44,5789,-0.007202881
2021.3.31,1.23,-0.0505,3.66,5831,0.303308002
2020.12.31,1.31,-0.0547,3.64,4474,0.211153221
2020.9.30,1.32,-0.0311,2.5,3694,-0.048673706
2020.6.30,1.34,-0.0118,2.2,3883,-0.362187911
2020.3.31,0.94,0.0567,1.81,6088,-0.223766416
2019.12.31,0.8,0.1066,2.72,7843,0.078372061
2019.9.30,0.9,0.1267,2.46,7273,-0.02047138
2019.6.30,0.7,0.1601,2.55,7425,0.134280477
2019.3.31,0.77,0.2061,1.87,6546,0.038717867
2018.12.31,1,0.2129,2.99,6302,0.016779606
2018.9.30,0.94,0.2537,3.25,6198,-0.099258829
2018.6.30,0.88,0.252,3.05,6881,-0.017982018
2018.3.31,0.85,0.2457,3.01,7007,0.058139535
2017.12.31,0.87,0.2357,3.33,6622,0.189937107
2017.9.30,0.81,0.1936,3.17,5565,-0.146603282
2017.6.30,1,0.1918,3.53,6521,0.024187215
2017.3.31,0.94,0.1945,3.67,6367,-0.001724679
2016.12.31,0.86,0.1886,3.38,6378,0.092684598
2016.9.30,1.01,0.196,2.98,5837,-0.175098926
2016.6.30,0.98,0.1913,3.26,7076,0.159049959
2016.3.31,1,0.1866,3.32,6105,-0.077933847
2015.12.31,0.95,0.1843,3.5,6621,0.075361377
2015.9.30,1.03,0.1705,3.15,6157,-0.043647095
2015.6.30,1.11,0.1686,3.37,6438,0.115577889
2015.3.31,1.17,0.1654,3.34,5771,0.006277245
2014.12.31,1.03,0.1632,3.12,5735,1.393572621
2014.9.30,1.14,0.1565,2.89,2396,-0.607341855
2014.6.30,1.14,0.1543,2.76,6102,0.074863484
2014.3.31,0.99,0.1481,2.63,5677,0.082570557
2013.12.31,1,0.1422,2.53,5244,1.42890227
2013.9.30,1.21,0.1352,2.19,2159,-0.281291611
2013.6.30,1.25,0.1365,2.25,3004,0.36856492
2013.3.31,1.12,0.1392,2.11,2195,0.049235182
2012.12.31,0.99,0.1339,1.88,2092,0.033596838
2012.9.30,1.07,0.1391,2.01,2024,-0.316216216
2012.6.30,1.33,0.1374,1.87,2960,0.754593954
2012.3.31,1.14,0.1295,1.79,1687,-0.230383212
2011.12.31,1.11,0.1241,1.57,2192,0.174076058
2011.9.30,1.14,0.1199,1.21,1867,-0.236713001
2011.6.30,1.07,0.1137,1.53,2446,0.60078534
2011.3.31,1.03,0.1109,1.75,1528,-0.212371134
2010.12.31,1.1,0.1122,1.56,1940,0.27547666
2010.9.30,1.11,0.1017,1.39,1521,-0.332602018
2010.6.30,1.33,0.1059,1.34,2279,0.507275132
2010.3.31,1.24,0.0994,1.54,1512,0.069306931
2009.12.31,1.11,0.0938,1.39,1414,-0.113479624
2009.9.30,1.33,0.1996,1.21,1595,-0.001877347
2009.6.30,1.34,,1.07,1598,0.241647242
2009.3.31,1.18,,0.86,1287,
