Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.39,-36.5668,231.36,13224,8.692950356
2022.6.30,1.18,-31.6643,1284.47,14483,-10.1787752
2022.3.31,1.12,-219.5216,-177.51,13145,-10.81605126
2021.12.31,1.01,20.8276,-218.48,11862,5.579877418
2021.9.30,1.13,7.8214,364.99,12563,8.064398097
2021.6.30,1.06,7.047,161.91,13665,-7.243760791
2021.3.31,1.11,9.5759,189.62,12742,-17.6438002
2020.12.31,1.23,55.3376,84.49,10831,5.455656425
2020.9.30,1.36,-9.1085,177.68,11456,11.47515648
2020.6.30,1.3,-5.8391,-652.29,12941,-34.45194805
2020.3.31,1.17,-4.9611,-63.7,9625,-10.17628205
2019.12.31,1.08,-5.9949,-73.58,8736,6.935123043
2019.9.30,1.08,-7.0924,-219.14,9387,10.0172546
2019.6.30,1.1,-11.6063,-186.1,10432,-15.69258068
2019.3.31,1.05,-64.9133,-95.8,9017,0.110778775
2018.12.31,1.11,14.1759,-98.12,9027,1.355043165
2018.9.30,1.09,6.5261,136.13,9151,11.71249397
2018.6.30,1.13,5.1236,101.18,10365,-20.28548219
2018.3.31,1.17,3.9056,112.99,8617,-6.474731249
2017.12.31,1.17,2.9983,142.2,8093,6.417668825
2017.9.30,1.23,2.3888,67.33,8648,8.593171969
2017.6.30,1.3,1.923,43.7,9461,-16.02894285
2017.3.31,1.21,1.588,41.22,8154,-7.957103138
2016.12.31,1.25,1.387,33.18,7553,6.080576971
2016.9.30,1.34,1.2329,22.88,8042,9.913744819
2016.6.30,1.3,1.1052,22.07,8927,-14.58092671
2016.3.31,1.26,1.0009,22.5,7791,-8.873672443
2015.12.31,1.32,0.8823,21.2,7156,5.406477198
2015.9.30,1.17,0.7955,17.43,7565,9.563658099
2015.6.30,1.19,0.7221,14.66,8365,-16.52040674
2015.3.31,1.06,0.653,12.65,7179,-9.070191431
2014.12.31,1.36,0.5898,12.21,6582,6.545506176
2014.9.30,1.37,0.5173,10.55,7043,12.03946547
2014.6.30,1.44,0.4603,7.84,8007,-18.49933402
2014.3.31,1.32,0.4075,7.35,6757,-18.1913591
2013.12.31,1.42,0.3675,6.91,5717,15.9017358
2013.9.30,1.48,0.3378,6.26,6798,11.95441005
2013.6.30,1.3,0.2961,5.92,7721,-15.60113789
2013.3.31,1.33,0.2718,4.46,6679,-4.916745209
2012.12.31,1.34,0.255,4.12,6366,-1.579703207
2012.9.30,1.5,0.2407,3.53,6267,10.80273271
2012.6.30,1.45,0.2399,3.47,7026,-13.63415818
2012.3.31,1.43,0.2285,2.98,6183,-10.46989459
2011.12.31,1.55,0.2154,5.25,5597,6.106357994
2011.9.30,1.46,0.2023,2.41,5961,13.30715532
2011.6.30,1.45,0.1932,2.32,6876,-17.98215511
2011.3.31,1.41,0.1811,2.5,5828,-11.15773412
2010.12.31,1.33,0.1738,2.4,5243,7.774846086
2010.9.30,1.33,0.16,2,5685,13.62807657
2010.6.30,1.24,0.152,1.83,6582,-13.60027615
2010.3.31,1.19,0.1486,2.28,5794,-15.57949332
2009.12.31,1.34,0.1402,1.81,5013,9.854342744
2009.9.30,1.28,0.1219,1.61,5561,12.94614903
2009.6.30,1.32,,1.67,6388,-17.21100917
2009.3.31,1.2,,1.79,5450,-9.879032258
