Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,,0.2874,6.09,2970,-2.167182663
2022.6.30,,0.2724,6.37,2907,-7.586972613
2022.3.31,,0.2814,6.85,2702,0.698272694
2021.12.31,,0.3003,7.27,2721,0.220022002
2021.9.30,,0.3026,7.87,2727,2.780748663
2021.6.30,,0.2742,8.09,2805,-2.18579235
2021.3.31,,0.2544,7.99,2745,6.121751026
2020.12.31,,0.2643,8.03,2924,-21.12676056
2020.9.30,,0.2721,6.05,2414,-9.677419355
2020.6.30,,0.3194,5.27,2201,24.85489928
2020.3.31,,0.3459,4.98,2929,7.544191919
2019.12.31,,0.3319,6.33,3168,-3.937007874
2019.9.30,,0.3421,6.19,3048,3.207367418
2019.6.30,,0.3803,6.52,3149,-4.792013311
2019.3.31,,0.3669,5.69,3005,1.281208936
2018.12.31,,0.3742,4.87,3044,5.053025577
2018.9.30,,0.1431,5.98,3206,2.995461422
2018.6.30,,0.0835,5.35,3305,-3.248984692
2018.3.31,,0.087,5.37,3201,3.176043557
2017.12.31,,0.0783,6.08,3306,-7.792631236
2017.9.30,,0.2494,4.46,3067,-0.425671251
2017.6.30,,0.2499,4.3,3054,-3.07121161
2017.3.31,,0.2513,4.03,2963,-14.88949205
2016.12.31,,0.2525,3.89,2579,11.09962082
2016.9.30,,0.2646,3.91,2901,8.485804416
2016.6.30,,0.2713,3.96,3170,-6.554621849
2016.3.31,,0.2657,3.92,2975,2.936378467
2015.12.31,,0.2627,3.64,3065,-3.652350355
2015.9.30,,0.2518,3.4,2957,0.135089497
2015.6.30,,0.2425,3.56,2961,-3.858295335
2015.3.31,,0.2366,3.81,2851,-5.592592593
2014.12.31,,0.23,3.61,2700,9.395973154
2014.9.30,,0.2302,3.13,2980,-0.777815353
2014.6.30,,0.2332,3.15,2957,-9.033923304
2014.3.31,,0.2463,3.26,2712,2.27027027
2013.12.31,,0.2614,3.28,2775,-2.58780037
2013.9.30,,0.2325,3.47,2705,-1.462865716
2013.6.30,,0.2376,3.59,2666,-4.754420432
2013.3.31,,0.2365,3.48,2545,-33.94736842
2012.12.31,,0.2331,3,1900,25.01973165
2012.9.30,,0.1969,2.77,2534,-0.835654596
2012.6.30,,0.1955,2.81,2513,-3.543469304
2012.3.31,,0.1872,3.11,2427,-133.8150289
2011.12.31,,0.1772,2.95,1038,54.17218543
2011.9.30,,0.236,2.19,2265,6.482246078
2011.6.30,,0.2194,2.88,2422,-7.740213523
2011.3.31,,0.2122,2.98,2248,-26.07964105
2010.12.31,,0.2048,2.87,1783,9.446419502
2010.9.30,,0.1854,2.42,1969,-0.510464523
2010.6.30,,0.1909,2.43,1959,-2.137643379
2010.3.31,,0.1811,2.78,1918,-75.96330275
2009.12.31,,0.1788,2.42,1090,42.72201787
2009.9.30,,,2.12,1903,-1.008492569
2009.6.30,,,1.97,1884,-3.858875413
2009.3.31,,,1.95,1814,
