Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,0.95,0.0649,5.27,7430,10.37394451
2022.6.30,0.88,0.2796,6.39,8290,-13.01976823
2022.3.31,0.92,0.2676,5.9,7335,22.7813454
2021.12.31,0.88,0.2705,6.02,9499,-33.67576696
2021.9.30,0.84,0.22,5,7106,9.512288297
2021.6.30,0.84,0.2491,5.28,7853,-11.75466059
2021.3.31,0.93,0.2549,4.85,7027,-20.88422501
2020.12.31,0.98,0.2698,4.69,5813,31.04389087
2020.9.30,1.05,0.3803,4.34,8430,3.092309461
2020.6.30,1.04,0.3944,4.38,8699,-9.794269847
2020.3.31,0.96,0.4684,4.07,7923,-28.95507813
2019.12.31,1.02,0.5135,4.66,6144,26.29558541
2019.9.30,1.09,0.4444,5.79,8336,7.490844523
2019.6.30,1.83,0.4905,5.52,9011,-12.03531021
2019.3.31,1.36,0.4793,5.98,8043,24.74738024
2018.12.31,1.29,0.4732,4.7,10688,-21.39936393
2018.9.30,1.31,0.3069,5.35,8804,4.293944994
2018.6.30,1.32,0.3093,5.24,9199,-11.5571186
2018.3.31,1.38,0.3058,5.84,8246,25.36205648
2017.12.31,1.33,0.309,5.99,11048,-23.00155867
2017.9.30,1.41,0.602,5.05,8982,-0.156110616
2017.6.30,1.25,0.6305,5.69,8968,-12.87602266
2017.3.31,1.18,0.6644,6.46,7945,28.52644836
2016.12.31,1.21,0.714,6.17,11116,-23.3329635
2016.9.30,1.2,0.7568,6.3,9013,7.10162853
2016.6.30,1.3,0.8111,6.48,9702,-11.69698365
2016.3.31,1.37,0.907,6.78,8686,23.84709802
2015.12.31,1.24,0.977,6.42,11406,-20.87749046
2015.9.30,1.25,1.1018,7.21,9436,9.181905679
2015.6.30,1.27,0.8587,7.88,10390,-9.923825645
2015.3.31,1.3,0.8515,8.73,9452,26.5122065
2014.12.31,1.2,0.7927,8.92,12862,-18.28214089
2014.9.30,1.12,0.711,8.74,10874,9.706883667
2014.6.30,1.14,0.8678,6.87,12043,-13.31388784
2014.3.31,1.17,0.8167,7.7,10628,26.41927444
2013.12.31,1.28,0.8238,5.68,14444,-26.36920385
2013.9.30,1.21,0.8481,6.58,11430,5.786350148
2013.6.30,1.17,0.8188,7.63,12132,-13.61678217
2013.3.31,1.16,0.8241,7.98,10678,29.88377438
2012.12.31,1.13,0.81,7.28,15229,-29.80736447
2012.9.30,1.22,0.7813,6.96,11732,4.470320007
2012.6.30,1.22,0.7754,6.96,12281,-10.45058009
2012.3.31,1.28,0.7416,7.38,11119,24.47870679
2011.12.31,1.21,0.7158,6.71,14723,-20.94799967
2011.9.30,1.26,0.6827,5.82,12173,1.70381137
2011.6.30,1.18,0.6719,5.56,12384,-14.05415362
2011.3.31,1.18,0.6748,5.44,10858,23.67496134
2010.12.31,1.19,0.6677,4.86,14226,-29.31551677
2010.9.30,1.26,0.6508,4.63,11001,-1.766882516
2010.6.30,1.28,0.6628,4.55,10810,-8.360064154
2010.3.31,1.32,0.6964,4.57,9976,24.119571
2009.12.31,1.36,0.7626,4.6,13147,-23.70154309
2009.9.30,1.32,0.1219,5.18,10628,-0.44419242
2009.6.30,1.22,,5.37,10581,-12.20572641
2009.3.31,1.18,,5.65,9430,-90.12096774
