Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.77,0.1331,1.05,6535,-16.96796134
2022.6.30,1.86,0.196,1.48,5587,39.56079619
2022.3.31,2.13,0.2634,1.9,9244,16.03233718
2021.12.31,2.13,0.2267,2.11,11009,-2.447422297
2021.9.30,2.07,0.2511,2.3,10746,4.10494378
2021.6.30,1.99,0.2315,2.54,11206,-3.243044039
2021.3.31,1.9,0.2344,3.06,10854,4.353189989
2020.12.31,1.91,0.2663,2.34,11348,-16.49727954
2020.9.30,1.66,0.2828,2.65,9741,7.290377843
2020.6.30,1.98,0.3052,2.87,10507,12.55825566
2020.3.31,1.74,0.3001,3.03,12016,-1.161811753
2019.12.31,1.4,0.2803,2.75,11878,-5.161575919
2019.9.30,1.2,0.2601,2.56,11295,-14.34500911
2019.6.30,1.48,0.2681,2.93,9878,-8.680822973
2019.3.31,1.54,0.284,2.54,9089,19.04337757
2018.12.31,1.73,0.2942,2.76,11227,9.166666667
2018.9.30,1.51,0.2162,2.68,12360,-18.62942701
2018.6.30,1.57,0.1897,2.89,10419,-7.070188059
2018.3.31,1.59,0.1592,3.03,9731,9.714232696
2017.12.31,1.69,0.1394,2.73,10778,-7.094594595
2017.9.30,1.6,0.2032,2.18,10064,-10.64204046
2017.6.30,2.16,0.192,1.99,9096,0.698689956
2017.3.31,1.69,0.1745,2.17,9160,9.72701291
2016.12.31,1.75,0.1638,2.2,10147,-1.642792748
2016.9.30,1.8,0.1681,2.38,9983,-25.21008403
2016.6.30,1.67,0.1678,2.11,7973,1.931119311
2016.3.31,1.56,0.1936,2.06,8130,15.22419187
2015.12.31,2.45,0.1979,2.19,9590,-5.257381188
2015.9.30,2.4,0.2034,2.03,9111,-10.46314258
2015.6.30,1.97,0.208,2.02,8248,-6.701164295
2015.3.31,1.76,0.2081,2.17,7730,19.65492153
2014.12.31,1.73,0.2042,2.46,9621,-1.723408754
2014.9.30,1.85,0.1842,2.39,9458,-6.067062914
2014.6.30,2.37,0.1784,2.03,8917,-17.12859582
2014.3.31,2.26,0.1685,1.72,7613,11.17722553
2013.12.31,2.37,0.1759,1.71,8571,-1.865937723
2013.9.30,2.26,0.1788,1.57,8414,-12.63721553
2013.6.30,2.55,0.1846,1.7,7470,-5.717520521
2013.3.31,2.43,0.2058,1.58,7066,9.607266215
2012.12.31,2.43,0.2246,1.48,7817,8.197298884
2012.9.30,1.93,0.2495,1.68,8515,0.455927052
2012.6.30,2.45,0.2643,1.99,8554,-3.496672716
2012.3.31,2.13,0.2671,2.18,8265,7.674262735
2011.12.31,2.15,0.2752,1.89,8952,0.731869594
2011.9.30,2.24,0.2664,1.68,9018,-14.12300683
2011.6.30,2.23,0.2536,1.69,7902,-0.215599239
2011.3.31,1.97,0.256,1.59,7885,-6.467728868
2010.12.31,3.39,0.2467,1.63,7406,-1.161043573
2010.9.30,3.34,0.2373,1.54,7321,-1.188666206
2010.6.30,3.33,0.2234,1.61,7235,-10.81329453
2010.3.31,2.66,0.152,1.95,6529,4.546783626
2009.12.31,2.79,0.11,1.82,6840,-26.57290896
2009.9.30,2.48,0.1219,1.85,5404,-32.48345183
2009.6.30,2.61,,1.57,4079,-25.97282273
2009.3.31,2.86,,1.41,3238,34.71774194
