Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.43,0.2557,5.69,15984,0.72666294
2022.6.30,1.42,0.2487,6.03,16101,-1.724791509
2022.3.31,1.39,0.2749,6.12,15828,6.059706808
2021.12.31,1.35,0.2986,5.92,16849,-4.730233715
2021.9.30,1.34,0.2659,5.86,16088,-2.308426073
2021.6.30,1.39,0.2701,6.29,15725,-3.060689474
2021.3.31,1.28,0.2357,6.22,15258,-4.072027829
2020.12.31,1.21,0.2335,5.74,14661,-3.905031892
2020.9.30,1.48,0.2737,5.51,14110,-20.01360891
2020.6.30,1.25,0.251,5.24,11757,13.73541713
2020.3.31,1.31,0.2864,5.97,13629,-0.117534709
2019.12.31,1.26,0.2547,5.37,13613,1.796277593
2019.9.30,1.26,0.2381,5.56,13862,-1.761855821
2019.6.30,1.33,0.2676,5.75,13622,-1.611218857
2019.3.31,1.44,0.2385,5.21,13406,0.200997543
2018.12.31,1.47,0.2442,6,13433,2.369358238
2018.9.30,1.72,0.0246,5.17,13759,1.03574768
2018.6.30,1.65,0.0211,4.63,13903,-3.792459873
2018.3.31,1.58,0.0185,4.83,13395,-3.548237477
2017.12.31,1.41,0.0188,5.5,12936,-1.658153242
2017.9.30,1.32,0.2208,4.14,12725,2.062649119
2017.6.30,1.34,0.2289,4.31,12993,-5.146880311
2017.3.31,2.52,0.2308,4.13,12357,0.890279115
2016.12.31,2.47,0.2295,3.81,12468,-1.086427761
2016.9.30,2.73,0.2206,3.78,12334,6.176783813
2016.6.30,3.08,0.2088,3.89,13146,-8.170822019
2016.3.31,2.83,0.2171,3.45,12153,-0.123578843
2015.12.31,2.17,0.2188,3.33,12138,-2.188920694
2015.9.30,2.51,0.21,3,11878,4.440868866
2015.6.30,2.49,0.2258,3.13,12430,-2.79523652
2015.3.31,2.44,0.2178,3.37,12092,2.491734538
2014.12.31,2.23,0.2169,3.39,12401,5.104071013
2014.9.30,2.61,0.227,3.15,13068,2.883472057
2014.6.30,2.47,0.2084,3.03,13456,-6.287519747
2014.3.31,2.41,0.2077,2.89,12660,-2.096774194
2013.12.31,2.2,0.1973,2.76,12400,-1.381734936
2013.9.30,2.02,0.19,2.75,12231,1.267355505
2013.6.30,2.16,0.1941,2.7,12388,-3.656597774
2013.3.31,2.1,0.1632,2.64,11951,-3.427087841
2012.12.31,1.9,0.1734,2.31,11555,-0.872981231
2012.9.30,1.87,0.1402,2.27,11455,-1.085421814
2012.6.30,1.75,0.1454,2.32,11332,-0.962223806
2012.3.31,2.69,0.167,2.2,11224,-2.812127874
2011.12.31,2.38,0.1608,2.32,10917,0.146345925
2011.9.30,2.46,0.1899,2.07,10933,4.306345733
2011.6.30,2.51,0.1969,2.13,11425,-0.263273366
2011.3.31,2.05,0.2169,1.95,11395,-7.459449264
2010.12.31,2.05,0.2428,2.14,10604,-2.079322295
2010.9.30,2.45,0.2546,2.1,10388,2.91588785
2010.6.30,2.27,0.2617,2.16,10700,3.629649644
2010.3.31,2.1,0.2655,2.36,11103,1.21007207
2009.12.31,1.82,0.2569,2.42,11239,-5.560251714
2009.9.30,1.85,0.1219,2.28,10647,1.316155343
2009.6.30,1.79,,2.3,10789,-0.129930394
2009.3.31,1.63,,2.23,10775,-117.2379032
