Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,0.85,0.1221,1.05,32716,-6.514732216
2022.6.30,0.83,0.1287,1.13,30715,0.006511053
2022.3.31,0.83,0.1401,1.37,30717,-4.990258741
2021.12.31,0.83,0.1616,1.54,29257,1.315478801
2021.9.30,0.86,0.1699,1.61,29647,2.729748351
2021.6.30,0.85,0.1649,1.55,30479,5.538337569
2021.3.31,0.85,0.1418,1.56,32266,-9.991477757
2020.12.31,0.86,0.1019,1.31,29335,-0.273457529
2020.9.30,0.88,0.09,1.01,29255,11.54950869
2020.6.30,0.88,0.089,1.01,33075,-16.93063706
2020.3.31,0.89,0.1079,0.96,28286,0.955915823
2019.12.31,0.92,0.1321,1.5,28559,2.499061145
2019.9.30,0.93,0.1272,1.26,29291,-1.892371378
2019.6.30,0.97,0.1253,1.22,28747,1.291075782
2019.3.31,1,0.1209,1.13,29123,-12.60487956
2018.12.31,1,0.1194,1.1,25863,5.124724872
2018.9.30,1.01,0.1083,1.27,27260,1.776384535
2018.6.30,1.01,0.1018,1.19,27753,0.551832873
2018.3.31,1.01,0.0965,1.27,27907,-14.10639081
2017.12.31,1.02,0.0878,1.24,24457,4.382672609
2017.9.30,1.04,0.0975,1.1,25578,0.594613501
2017.6.30,1.04,0.0962,1.06,25731,-3.175748827
2017.3.31,1.03,0.0935,1.04,24939,-2.726860815
2016.12.31,1.01,0.0903,1.02,24277,1.604993313
2016.9.30,1.04,0.0866,0.79,24673,-1.201804758
2016.6.30,1.03,0.0892,0.74,24380,-4.909849821
2016.3.31,1.02,0.0904,0.72,23239,-1.546864759
2015.12.31,1.02,0.0934,0.8,22885,-0.460930641
2015.9.30,1.02,0.0921,0.74,22780,4.333949269
2015.6.30,1.01,0.0887,0.84,23812,1.055430898
2015.3.31,0.99,0.0891,0.77,24066,-5.784615385
2014.12.31,0.98,0.0883,0.8,22750,7.025215579
2014.9.30,0.96,0.0925,0.77,24469,0.846908177
2014.6.30,0.96,0.0684,0.75,24678,-6.30195994
2014.3.31,0.96,0.0724,0.81,23215,2.93515073
2013.12.31,0.95,0.0794,0.73,23917,-3.46065666
2013.9.30,0.94,0.0817,0.73,23117,8.305898219
2013.6.30,0.95,0.1117,0.66,25211,-0.354271157
2013.3.31,0.95,0.1068,0.62,25122,-6.210628673
2012.12.31,0.93,0.1013,0.82,23653,5.937326016
2012.9.30,0.92,0.0942,0.58,25146,-13.37240757
2012.6.30,0.91,0.0888,0.53,22180,14.86258253
2012.3.31,0.91,0.0922,0.69,26052,-21.3357552
2011.12.31,0.91,0.0964,0.5,21471,9.645246812
2011.9.30,0.94,0.1028,0.46,23763,11.26255648
2011.6.30,0.96,0.1045,0.63,26779,-6.177391856
2011.3.31,0.95,0.1022,0.73,25221,3.360410759
2010.12.31,0.96,0.0919,0.68,26098,-9.544996642
2010.9.30,0.94,0.0847,0.62,23824,5.087446715
2010.6.30,0.95,0.0815,0.61,25101,9.287701926
2010.3.31,0.94,0.0632,0.77,27671,-19.4569159
2009.12.31,0.89,0.0538,0.71,23164,12.98925701
2009.9.30,0.88,0.1219,0.76,26622,-3.898840885
2009.6.30,0.9,,0.62,25623,-2.38961039
2009.3.31,0.94,,0.42,25025,-404.5362903
