Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.13,0.3933,9.84,6497,-0.030792918
2022.6.30,1.13,0.3804,10.82,6495,-1.484375
2022.3.31,1.18,0.4119,9.79,6400,-19.04761905
2021.12.31,1.13,0.4089,10.01,5376,11.36026381
2021.9.30,1.52,0.3832,9.05,6065,4.367707348
2021.6.30,1.47,0.3664,9.21,6342,-14.99546691
2021.3.31,1.33,0.3473,9.66,5515,-9.576793165
2020.12.31,1.32,0.3844,10.43,5033,2.856591392
2020.9.30,1.13,0.4144,9.75,5181,-25.23567803
2020.6.30,1.09,0.4549,9.26,4137,20.89866157
2020.3.31,0.87,0.4892,8.8,5230,4.943656852
2019.12.31,0.76,0.4358,10.22,5502,4.146341463
2019.9.30,0.92,0.3882,10.19,5740,5.529953917
2019.6.30,0.83,0.3547,9.62,6076,-14.01763933
2019.3.31,1.02,0.3405,8.99,5329,-5.776101628
2018.12.31,0.87,0.3176,9.36,5038,7.202062995
2018.9.30,1.06,0.139,8.53,5429,7.638652603
2018.6.30,1.15,0.1148,8.03,5878,-20.25368249
2018.3.31,1.21,0.0676,7.36,4888,5.252955999
2017.12.31,1.34,0.0579,8.78,5159,9.236453202
2017.9.30,1.39,0.201,7.33,5684,5.940757902
2017.6.30,1.35,0.1754,7.27,6043,-7.814451383
2017.3.31,1.41,0.2506,6.54,5605,0.17809439
2016.12.31,1.28,0.2574,6.32,5615,13.64195632
2016.9.30,1.37,0.2775,5.69,6502,8.007923033
2016.6.30,1.21,0.293,5.91,7068,-13.76146789
2016.3.31,1.18,0.2751,6.44,6213,-4.490413724
2015.12.31,1.24,0.2679,5.76,5946,13.19708029
2015.9.30,1.16,0.2404,5.26,6850,7.532397408
2015.6.30,1.14,0.2476,4.68,7408,-12.10653753
2015.3.31,1.23,0.2205,4.74,6608,-1.427475058
2014.12.31,1.02,0.216,4.66,6515,11.31227879
2014.9.30,1.08,0.2393,4.26,7346,5.274016763
2014.6.30,1.04,0.2515,4.13,7755,-19.43631603
2014.3.31,1.03,0.2572,4.08,6493,3.449814126
2013.12.31,1.13,0.2612,3.84,6725,7.074754733
2013.9.30,0.96,0.2665,4.03,7237,6.739690722
2013.6.30,1,0.2602,4.02,7760,-15.63105349
2013.3.31,1.01,0.2636,3.57,6711,1.699135784
2012.12.31,1.09,0.2721,3.9,6827,8.815279818
2012.9.30,1.1,0.2683,3.67,7487,4.757664419
2012.6.30,1.11,0.2658,3.88,7861,-15.79024893
2012.3.31,1.13,0.2606,3.6,6789,-2.290191352
2011.12.31,1.05,0.2573,3.52,6637,9.9823681
2011.9.30,1.1,0.3817,3.23,7373,4.839958699
2011.6.30,1.1,0.3923,3.05,7748,-17.94793728
2011.3.31,1.07,0.4096,3.24,6569,-5.695897023
2010.12.31,1.17,0.4267,3.32,6215,-12.83587509
2010.9.30,1.34,0.2901,3.29,5508,3.689456199
2010.6.30,1.33,0.2947,3.05,5719,-14.74719101
2010.3.31,1.27,0.2881,3.47,4984,-2.572545791
2009.12.31,1.28,0.2892,3.38,4859,4.911937378
2009.9.30,1.27,0.1219,3.11,5110,4.557340306
2009.6.30,1.21,,3.15,5354,-16.92509282
2009.3.31,1.12,,3.4,4579,7.681451613
