Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.65,-1.0053,-25.59,3446,-4.360993337
2022.6.30,1.41,-1.0745,-28.2,3302,-8.262295082
2022.3.31,1.1,-1.2887,-30.02,3050,6.47040785
2021.12.31,1.78,-1.2942,-42.44,3261,4.954823667
2021.9.30,1.33,-1.0975,-30.88,3431,-6.552795031
2021.6.30,1.45,-0.9401,-28.73,3220,-20.68965517
2021.3.31,1.19,-0.6257,-22.23,2668,4.028776978
2020.12.31,1.01,-0.5399,-19.54,2780,4.30292599
2020.9.30,1.07,-0.556,-18.35,2905,-68.4057971
2020.6.30,0.91,-0.5366,-13.71,1725,26.34500427
2020.3.31,1.9,-0.7054,-12.42,2342,18.34030683
2019.12.31,0.98,-0.7988,-16.75,2868,1.713502399
2019.9.30,0.84,-0.8318,-17.42,2918,-2.638058389
2019.6.30,1.21,-0.8931,-21.35,2843,-11.40282132
2019.3.31,1.47,-0.9234,-20.28,2552,6.963179001
2018.12.31,1.36,-1.003,-19.82,2743,2.799433026
2018.9.30,1.53,-1.0095,-17.18,2822,-2.99270073
2018.6.30,1.47,-1.2599,-18.69,2740,-8.386075949
2018.3.31,1.74,-1.5901,-23.26,2528,5.176294074
2017.12.31,1.84,-1.9273,-34.34,2666,5.39389638
2017.9.30,1.28,-2.3418,-31.71,2818,-4.062038405
2017.6.30,2.15,-2.5842,-54.43,2708,-11.48620832
2017.3.31,1.83,-3.6605,-45.37,2429,5.043002346
2016.12.31,1.4,27.7689,-39.18,2558,6.880232981
2016.9.30,0.96,1.8858,-50.68,2747,-6.2258314
2016.6.30,1.89,0.9513,136.81,2586,-11.7545376
2016.3.31,1.77,0.6495,12.7,2314,7.698444356
2015.12.31,3.27,0.4849,9.08,2507,3.241991509
2015.9.30,1.52,0.41,7.01,2591,-4.0562249
2015.6.30,2.16,0.3451,6.71,2490,-13.13039527
2015.3.31,1.31,0.3231,5.7,2201,11.03476152
2014.12.31,1.52,0.3238,24.17,2474,7.720999627
2014.9.30,1.25,0.3266,5.45,2681,3.699712644
2014.6.30,1.74,0.3473,4.89,2784,-10.6518283
2014.3.31,1.56,0.3534,4.75,2516,8.275610645
2013.12.31,1.59,0.3629,4.71,2743,5.771212642
2013.9.30,1.24,0.3671,4.92,2911,-5.280289331
2013.6.30,1.65,0.3705,5.04,2765,-11.31239936
2013.3.31,1.39,0.3743,5.03,2484,8.944281525
2012.12.31,1.45,0.3777,4.4,2728,4.448336252
2012.9.30,1.01,0.3824,5,2855,-5.117820324
2012.6.30,1.24,0.3898,4.75,2716,-7.863383638
2012.3.31,1.17,0.3879,5.04,2518,7.221812822
2011.12.31,1.26,0.3853,5.25,2714,6.639146887
2011.9.30,0.87,0.3742,4.93,2907,-6.639765224
2011.6.30,1.02,0.364,4.22,2726,-16.44596326
2011.3.31,0.9,0.3627,3.94,2341,5.375909458
2010.12.31,1.49,0.3563,3.95,2474,5.101649405
2010.9.30,1.28,0.3584,4.09,2607,-8.806343907
2010.6.30,1.23,0.352,3.76,2396,-10.92592593
2010.3.31,1.35,0.3416,3.55,2160,8.202294943
2009.12.31,1.14,0.3426,3.32,2353,2.284053156
2009.9.30,1.02,0.1219,3.21,2408,-10.96774194
2009.6.30,1.27,,3.22,2170,-16.66666667
2009.3.31,1.56,,3.2,1860,62.5
