Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.56,0.4527,4.26,3891,-7.813798836
2022.6.30,1.47,0.2839,5.22,3609,9.842618036
2022.3.31,1.58,0.3783,5.47,4003,-2.273888605
2021.12.31,1.71,0.4084,6.44,3914,4.279775006
2021.9.30,1.71,0.4291,6.62,4089,3.356180572
2021.6.30,1.73,0.4497,7.47,4231,2.196024041
2021.3.31,1.84,0.4648,7.57,4326,-3.122765197
2020.12.31,1.89,0.4738,7.26,4195,-3.657029899
2020.9.30,1.9,0.4593,7.13,4047,-20.05339662
2020.6.30,1.94,0.4868,7.52,3371,15.00252143
2020.3.31,1.65,0.4786,6.95,3966,-4.754358162
2019.12.31,1.41,0.443,8.98,3786,0.447015514
2019.9.30,2.3,0.4886,7.8,3803,1.425609124
2019.6.30,1.93,0.4901,8.65,3858,-8.584294962
2019.3.31,2.02,0.559,10.71,3553,8.545688546
2018.12.31,1.89,0.514,9.66,3885,2.704733283
2018.9.30,1.97,0.4171,10.24,3993,4.083593562
2018.6.30,1.56,0.3896,9.46,4163,-2.993567541
2018.3.31,1.65,0.3558,10.17,4042,-3.747433265
2017.12.31,1.86,0.4178,8.6,3896,5.275954291
2017.9.30,2.07,0.4855,8.91,4113,-8.522427441
2017.6.30,2.22,0.4783,8.59,3790,0.341835393
2017.3.31,1.99,0.4495,8.49,3803,-7.581329562
2016.12.31,1.89,0.4382,10.02,3535,8.467115484
2016.9.30,1.9,0.4178,7.21,3862,0.025886617
2016.6.30,1.58,0.4135,7.22,3863,-3.537925489
2016.3.31,1.52,0.4041,6.94,3731,-7.490636704
2015.12.31,1.54,0.3807,6.43,3471,9.491525424
2015.9.30,1.65,0.3793,5.7,3835,-0.182863114
2015.6.30,2.64,0.3531,5.82,3828,-1.889805696
2015.3.31,2.46,0.3237,5.9,3757,-1.76056338
2014.12.31,2.06,0.3044,6.21,3692,6.103763988
2014.9.30,1.65,0.2792,4.36,3932,0.455696203
2014.6.30,1.87,0.2672,4.02,3950,-3.947368421
2014.3.31,1.71,0.2616,3.81,3800,-5.761202338
2013.12.31,1.7,0.2551,3.96,3593,4.644373673
2013.9.30,1.79,0.2487,3.35,3768,-0.775608451
2013.6.30,2.21,0.2453,3.08,3739,-2.019099591
2013.3.31,2.33,0.2486,2.98,3665,-7.921083628
2012.12.31,2.2,0.2551,2.64,3396,4.6603032
2012.9.30,2.2,0.2612,2.62,3562,2.783842795
2012.6.30,2.47,0.2597,2.71,3664,-1.862663331
2012.3.31,2.38,0.2559,2.73,3597,-10.16845329
2011.12.31,2.25,0.2523,2.6,3265,6.820776256
2011.9.30,2.22,0.2502,2.09,3504,3.736263736
2011.6.30,2.18,0.2572,2.72,3640,-3.733257338
2011.3.31,2.14,0.269,2.81,3509,-11.96553925
2010.12.31,2.01,0.2725,2.72,3134,4.770586448
2010.9.30,2.6,0.2859,2.76,3291,0.151699029
2010.6.30,2.37,0.2903,2.76,3296,-5.980707395
2010.3.31,2.35,0.2811,2.99,3110,-6.034776679
2009.12.31,2.2,0.2684,3.05,2933,2.94506949
2009.9.30,1.94,,2.78,3022,-10.21152443
2009.6.30,1.86,,2.55,2742,-18.34268451
2009.3.31,1.83,,2.3,2317,
