Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.46,0.3654,4.87,11025,-6.244579358
2022.6.30,1.39,0.4187,5.26,10377,1.368691189
2022.3.31,1.4,0.3821,4.95,10521,-9.048507463
2021.12.31,1.27,0.3879,4.91,9648,0.577081616
2021.9.30,1.31,0.2365,5.08,9704,-16.94384189
2021.6.30,1.31,0.1936,5.61,8298,-11.71243942
2021.3.31,1.02,0.2568,6.81,7428,-60.32808116
2020.12.31,1.02,0.26,7.62,4633,41.47296614
2020.9.30,1.3,0.4215,6.65,7916,-19.83045716
2020.6.30,1.32,0.3918,6.49,6606,24.45969125
2020.3.31,1.12,0.3795,6.75,8745,-239.6116505
2019.12.31,1.24,0.3634,8.05,2575,69.37076246
2019.9.30,1.26,0.3411,7.18,8407,-0.574231367
2019.6.30,1.21,0.3258,6.94,8359,-7.663575477
2019.3.31,1.37,0.28,6.5,7764,-0.71345181
2018.12.31,1.17,0.1971,5.06,7709,-7.442508711
2018.9.30,1.44,0.1,4.3,7175,-1.801929625
2018.6.30,1.33,0.0384,3.74,7048,-2.845469138
2018.3.31,1.42,0.0431,3.76,6853,2.002002002
2017.12.31,1.33,0.0626,6.9,6993,0.356226845
2017.9.30,1.43,0.0718,3.85,7018,-2.99383622
2017.6.30,1.5,0.124,3.71,6814,-6.718872357
2017.3.31,1.59,0.1036,3.63,6385,3.898254064
2016.12.31,1.78,0.0914,3.33,6644,6.77704504
2016.9.30,1.89,0.1247,3.23,7127,-13.74082349
2016.6.30,1.87,0.1155,3,6266,-9.163763066
2016.3.31,1.64,0.102,2.71,5740,9.81932443
2015.12.31,1.55,0.096,2.64,6365,-0.839670469
2015.9.30,1.63,0.2282,2.42,6312,-4.659260487
2015.6.30,1.62,0.2088,2.73,6031,-2.988387978
2015.3.31,1.61,0.2344,2.66,5856,13.0253973
2014.12.31,1.77,0.2442,2.57,6733,-6.299336912
2014.9.30,1.34,0.1084,2.89,6334,-4.850190366
2014.6.30,1.87,0.1104,2.65,6041,5.030655557
2014.3.31,1.84,0.0881,2.41,6361,5.243557277
2013.12.31,2,0.0847,2.11,6713,3.10334873
2013.9.30,2.07,0.0858,2.09,6928,-3.003270889
2013.6.30,2.01,0.0936,2.01,6726,-0.208581645
2013.3.31,1.87,0.1061,1.76,6712,11.41612776
2012.12.31,1.9,0.1078,1.63,7577,-3.074411645
2012.9.30,2.33,0.1175,1.7,7351,10.34272472
2012.6.30,2.11,0.1171,1.57,8199,-6.563556018
2012.3.31,2.07,0.121,1.44,7694,5.222961321
2011.12.31,2.04,0.1091,1.41,8118,-5.840938722
2011.9.30,2.06,0.0736,1.2,7670,2.504131181
2011.6.30,2.05,0.05,1.28,7867,-4.600452068
2011.3.31,1.98,0.028,1.21,7521,1.737653515
2010.12.31,1.86,0.0148,1.31,7654,-10.38361696
2010.9.30,1.6,0.132,1.29,6934,-2.015595115
2010.6.30,1.7,0.2133,1.22,6797,-9.523042217
2010.3.31,1.72,0.276,1.25,6206,-19.53004622
2009.12.31,1.82,0.3907,1.18,5192,-12.40528253
2009.9.30,3.7,0.1219,1.67,4619,-1.605807303
2009.6.30,2.54,,1.62,4546,-12.21920513
2009.3.31,1.95,,1.58,4051,18.3266129
