Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.84,0.421,9.98,34670,2.161643526
2022.6.30,1.79,0.4536,11.45,35436,-5.011112757
2022.3.31,1.99,0.4698,14.06,33745,2.942360792
2021.12.31,2.25,0.4839,15.62,34768,-9.778661867
2021.9.30,2.17,0.486,14.16,31671,1.523584466
2021.6.30,2.08,0.4623,13,32161,-12.21171627
2021.3.31,2.29,0.4424,12.66,28661,0.765182467
2020.12.31,2.58,0.4219,12.63,28882,-10.43897216
2020.9.30,2.53,0.4074,12.73,26152,-1.782517319
2020.6.30,2.52,0.3945,13.77,25694,-6.853530733
2020.3.31,2.9,0.4274,10.19,24046,2.044973114
2019.12.31,2.8,0.4289,10.6,24548,-8.384476136
2019.9.30,2.85,0.4157,9.69,22649,2.814846599
2019.6.30,2.53,0.4182,9.69,23305,-14.23459634
2019.3.31,2.97,0.3928,9.2,20401,-1.760774142
2018.12.31,3.12,0.3945,8.14,20048,-4.530997445
2018.9.30,2.92,0.2307,9.78,19179,5.721869931
2018.6.30,2.9,0.2009,8.72,20343,-15.91452991
2018.3.31,3.4,0.1883,8.41,17550,1.702699675
2017.12.31,2.89,0.17,7.95,17854,-9.803198032
2017.9.30,3.12,0.3343,6.03,16260,5.183975742
2017.6.30,2.92,0.3437,5.66,17149,-13.17977825
2017.3.31,2.81,0.3458,6.78,15152,4.85400314
2016.12.31,2.05,0.3154,6.45,15925,-13.07157058
2016.9.30,2.69,0.2899,5.85,14084,23.74248741
2016.6.30,2.35,0.2729,5.06,18469,-44.18768054
2016.3.31,2.9,0.1356,5.26,12809,8.007756392
2015.12.31,3,0.1444,5.15,13924,-5.709079866
2015.9.30,2.46,0.1479,4.07,13172,10.46764546
2015.6.30,2.47,0.1385,3.93,14712,-0.988467875
2015.3.31,2.91,0.221,3.23,14568,10.8118036
2014.12.31,2.45,0.2302,3.64,16334,-9.418542337
2014.9.30,2.52,0.2425,3.69,14928,5.213029399
2014.6.30,2.5,0.2567,3.31,15749,-9.178509532
2014.3.31,3.22,0.2693,3.33,14425,10.94029759
2013.12.31,3.17,0.2832,3.11,16197,-21.01763299
2013.9.30,2.87,0.2923,3.06,13384,5.466873852
2013.6.30,2.71,0.2944,2.6,14158,9.833142275
2013.3.31,2.93,0.2307,2.55,15702,0.393301193
2012.12.31,2.81,0.2237,2.99,15764,-33.14189189
2012.9.30,2.68,0.2344,3.15,11840,14.79562464
2012.6.30,2.6,0.2627,2.88,13896,-3.277591973
2012.3.31,2.94,0.3746,3.2,13455,11.75313176
2011.12.31,2.86,0.4011,2.73,15247,-12.1515263
2011.9.30,2.95,0.43,2.81,13595,0.468555531
2011.6.30,2.6,0.4496,3.03,13659,-9.001675844
2011.3.31,2.76,0.4469,3.16,12531,17.12301587
2010.12.31,2.46,0.4392,3.79,15120,-15.80882353
2010.9.30,2.3,0.4499,3.48,13056,-1.453104359
2010.6.30,2.13,0.423,3.35,12869,-9.542049711
2010.3.31,2.06,0.4049,4.33,11748,23.68455242
2009.12.31,2.04,0.4014,4.66,15394,-52.74856122
2009.9.30,1.82,0.1219,4.25,10078,4.137734234
2009.6.30,1.82,,4.07,10513,2.962894591
2009.3.31,1.71,,3.34,10834,-118.4274194
