Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,2.65,0.3708,10.46,5615,-2.035253498
2022.6.30,2.63,0.4074,12.12,5503,-8.604697059
2022.3.31,3.06,0.4304,14.38,5067,2.800690581
2021.12.31,3.07,0.4573,17.73,5213,8.479634831
2021.9.30,3.19,0.4898,17.96,5696,-0.725022104
2021.6.30,2.72,0.5141,16.63,5655,-19.83471074
2021.3.31,2.78,0.3441,17.55,4719,2.640808748
2020.12.31,2.66,0.3058,19.54,4847,-2.235815229
2020.9.30,2.55,0.3016,18.6,4741,-101.4874628
2020.6.30,2.48,0.2849,18.64,2353,47.39548402
2020.3.31,1.9,0.4714,14.99,4473,1.5625
2019.12.31,1.98,0.5003,15.16,4544,6.713200575
2019.9.30,2.01,0.4792,13.9,4871,-5.13706022
2019.6.30,2.1,0.4512,12.95,4633,-6.775754782
2019.3.31,2.17,0.4578,14.48,4339,-5.700365408
2018.12.31,2.14,0.231,13.06,4105,6.640891517
2018.9.30,2.31,0.2057,13.94,4397,-0.433988122
2018.6.30,2.51,0.1784,11.19,4378,-11.17318436
2018.3.31,2.66,0.1571,10.56,3938,-7.069059271
2017.12.31,2.46,0.3164,7.92,3678,7.168096921
2017.9.30,2.67,0.3188,6.84,3962,-3.635888046
2017.6.30,2.93,0.3418,6.61,3823,-1.946666667
2017.3.31,3.07,0.3297,6.97,3750,-3.705752212
2016.12.31,3.06,0.317,6.3,3616,12.29687121
2016.9.30,2.72,0.3056,7.38,4123,-8.901215003
2016.6.30,2.8,0.2957,7.05,3786,-2.629438872
2016.3.31,3.06,0.2946,7.83,3689,-5.369894316
2015.12.31,3.04,0.2819,7.8,3501,12.36545682
2015.9.30,2.89,0.2811,6.84,3995,-11.18842193
2015.6.30,2.46,0.2734,6.33,3593,-4.8744892
2015.3.31,2.72,0.2701,6.22,3426,-2.975653742
2014.12.31,2.84,0.2678,6.72,3327,10.58855146
2014.9.30,2.81,0.2591,5.6,3721,-9.926144756
2014.6.30,2.72,0.2416,5.64,3385,-9.087979375
2014.3.31,3.39,0.2364,5.64,3103,-9.801840057
2013.12.31,3.53,0.2555,5.6,2826,9.770114943
2013.9.30,3.53,0.2494,4.48,3132,-6.530612245
2013.6.30,3.44,0.2365,4.49,2940,-7.456140351
2013.3.31,3.37,0.229,4.1,2736,-8.14229249
2012.12.31,3.01,0.2017,3.89,2530,10.53748232
2012.9.30,2.95,0.2109,3.9,2828,-9.020817271
2012.6.30,3.05,0.2195,4.24,2594,-4.386317907
2012.3.31,3.21,0.2282,4.28,2485,-4.587542088
2011.12.31,3.01,0.226,3.94,2376,11.77125882
2011.9.30,2.94,0.2242,3.56,2693,-19.79537367
2011.6.30,2.85,0.2168,3.5,2248,3.394929093
2011.3.31,3.23,0.21,3.71,2327,-6.110351117
2010.12.31,3.36,0.2098,3.59,2193,9.901396878
2010.9.30,3.35,0.2052,2.99,2434,-1.163757273
2010.6.30,3.26,0.2034,3.09,2406,-8.476104599
2010.3.31,3.54,0.1896,2.97,2218,-13.16326531
2009.12.31,3.49,0.1674,2.93,1960,11.55234657
2009.9.30,3.37,0.1219,2.52,2216,-8.467939305
2009.6.30,2.97,,2.69,2043,-4.822986147
2009.3.31,3.15,,2.06,1949,60.70564516
