Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,0.75,0.224,1.77,19640,-1.39914296
2022.6.30,0.76,0.2489,2.37,19369,-0.859196001
2022.3.31,0.76,0.2659,2.41,19204,-0.697393949
2021.12.31,0.78,0.2852,2.49,19071,1.629958219
2021.9.30,0.97,0.2983,2.67,19387,0.625352401
2021.6.30,0.89,0.2819,2.86,19509,-0.84776428
2021.3.31,1.02,0.2772,3.04,19345,2.642174132
2020.12.31,1.38,0.2722,3.18,19870,-3.44109532
2020.9.30,1.07,0.287,3.32,19209,-2.732912611
2020.6.30,0.96,0.3077,3.16,18698,3.189396293
2020.3.31,0.99,0.303,3.17,19314,-0.888006686
2019.12.31,0.84,0.323,3.51,19144,1.875961046
2019.9.30,0.89,0.2796,3.56,19510,-0.826873385
2019.6.30,0.87,0.2801,3.47,19350,-1.107743756
2019.3.31,0.87,0.2888,3.58,19138,-0.779357557
2018.12.31,0.91,0.2866,3.54,18990,1.483710313
2018.9.30,0.97,0.6243,3.24,19276,-3.790652595
2018.6.30,0.96,0.6915,3.16,18572,-0.297024356
2018.3.31,0.98,0.8196,3.04,18517,-0.652280263
2017.12.31,0.91,0.9637,3.84,18397,1.846022515
2017.9.30,1.07,0.6109,5.58,18743,-3.758857396
2017.6.30,1.04,0.6513,5.28,18064,-1.671638431
2017.3.31,1.02,0.5345,6.09,17767,-6.382851326
2016.12.31,0.87,0.6045,6.87,16701,10.72803079
2016.9.30,0.85,0.6953,7.23,18708,-2.16809568
2016.6.30,0.61,0.7888,8.14,18311,6.38069431
2016.3.31,0.71,1.0997,8.05,19559,-0.061390495
2015.12.31,0.64,1.2767,7.65,19547,1.541328766
2015.9.30,0.63,0.7913,8.72,19853,-0.394437421
2015.6.30,0.7,0.7174,10.42,19775,0.568181818
2015.3.31,0.8,0.6777,12.9,19888,-5.849167066
2014.12.31,1.05,0.6259,9.83,18789,2.818868315
2014.9.30,0.92,0.4726,7.9,19334,0.319653537
2014.6.30,0.86,0.2869,8.57,19396,1.187019206
2014.3.31,0.92,0.1882,9.52,19629,-2.753494216
2013.12.31,2.63,0.1276,0.98,19103,1.118070293
2013.9.30,2.43,0.0251,0.97,19319,-3.018183757
2013.6.30,0.75,0.0177,1.07,18753,-1.433362181
2013.3.31,0.8,0.0128,1.03,18488,-8.9066918
2012.12.31,0.79,0.0098,0.92,16976,5.772646536
2012.9.30,0.96,0.0345,0.88,18016,-2.038966923
2012.6.30,1.03,0.0326,0.87,17656,-4.331383324
2012.3.31,1.03,0.0301,0.75,16923,-3.529915576
2011.12.31,1.01,0.0272,0.8,16346,1.02331214
2011.9.30,0.8,0.0798,0.71,16515,-0.836487972
2011.6.30,0.82,0.0723,0.68,16378,-3.914726223
2011.3.31,0.91,0.0411,0.71,15761,0.152043079
2010.12.31,0.73,0.0299,0.67,15785,0.1770695
2010.9.30,0.74,0.0059,0.61,15813,-8.628151405
2010.6.30,0.66,0.012,0.49,14557,10.47906033
2010.3.31,0.8,0.0439,0.56,16261,-13.73714765
2009.12.31,0.75,0.0589,0.5,14297,12.12121212
2009.9.30,0.81,0.0957,0.51,16269,0.677655678
2009.6.30,0.81,,0.51,16380,-0.595713321
2009.3.31,0.62,,0.53,16283,-6948.917749
