Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,1.45,0.4177,,7787,-7.037800687
2022.6.30,1.43,0.4021,,7275,-1.196272082
2022.3.31,1.29,0.3731,,7189,-1.841620626
2021.12.31,1.4,0.3522,,7059,-7.623113279
2021.9.30,1.75,0.3267,,6559,-6.998368679
2021.6.30,2,0.2909,,6130,-6.999476348
2021.3.31,2.12,0.2899,,5729,-0.738526464
2020.12.31,2.12,0.2978,,5687,-11.48794354
2020.9.30,1.91,0.307,,5101,-5.457928468
2020.6.30,1.55,0.3357,,4837,17.37273659
2020.3.31,1.25,0.3578,,5854,3.303600925
2019.12.31,1.27,0.3555,,6054,1.352452338
2019.9.30,1.56,0.35,,6137,-5.085616438
2019.6.30,1.69,0.3465,,5840,-6.297779396
2019.3.31,1.63,0.328,,5494,0.217944061
2018.12.31,1.5,0.3175,,5506,-1.324990799
2018.9.30,1.61,0.3056,,5434,-3.702290076
2018.6.30,1.69,0.2873,,5240,-3.291937709
2018.3.31,1.94,0.2822,,5073,-4.339777869
2017.12.31,2.07,0.2219,,4862,-0.144181256
2017.9.30,1.9,0.2106,,4855,-6.352683461
2017.6.30,1.65,0.2038,,4565,-1.965601966
2017.3.31,1.52,0.1511,,4477,-0.358663977
2016.12.31,1.42,0.1934,,4461,-4.693733865
2016.9.30,1.78,0.1927,,4261,-17.38292011
2016.6.30,1.85,0.1838,,3630,-0.110314396
2016.3.31,4.74,0.2343,,3626,-1.711079944
2015.12.31,4.76,0.2307,,3565,0.168020162
2015.9.30,1.87,0.2208,,3571,-1.506537806
2015.6.30,1.74,0.2099,,3518,-3.197418598
2015.3.31,1.86,0.2003,,3409,-0.798344175
2014.12.31,1.7,0.2038,,3382,-4.738309074
2014.9.30,1.59,0.1995,,3229,-2.34548336
2014.6.30,1.7,0.2049,,3155,0.252924439
2014.3.31,1.72,0.2005,,3163,-0.253565769
2013.12.31,1.77,0.189,,3155,-6.121762529
2013.9.30,1.8,0.1838,,2973,0.933022326
2013.6.30,1.89,0.1998,,3001,-1.453684922
2013.3.31,1.95,0.0881,,2958,-3.935347857
2012.12.31,1.97,0.0876,,2846,-4.210911754
2012.9.30,1.48,0.0782,,2731,-6.471734893
2012.6.30,1.39,0.0503,,2565,0.504266874
2012.3.31,2.87,0.1553,,2578,-1.217118178
2011.12.31,2.82,0.1433,,2547,-6.88208141
2011.9.30,2.66,0.1401,,2383,-2.62704565
2011.6.30,2.7,0.1379,,2322,-3.429844098
2011.3.31,2.77,0.1284,,2245,-0.312779267
2010.12.31,2.54,0.1244,,2238,-5.715635333
2010.9.30,2.5,0.1221,,2117,-4.337111878
2010.6.30,2.83,0.1135,,2029,-3.573251659
2010.3.31,2.58,0.1164,,1959,0.051020408
2009.12.31,2.41,0.111,,1960,-4.310803619
2009.9.30,2.08,0.0957,,1879,-14.15552855
2009.6.30,2.16,,,1646,0.060716454
2009.3.31,1.94,,,1647,-612.987013
