Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.9.30,0.75,0.1431,1.02,6410,2.465003043
2022.6.30,0.78,0.1861,1.22,6572,14.74899468
2022.3.31,0.74,0.2332,1.24,7709,-1.768976898
2021.12.31,0.83,0.2608,1.21,7575,-0.959616154
2021.9.30,0.72,0.1148,1.74,7503,-4.893051866
2021.6.30,0.77,0.1065,1.89,7153,-5.485916531
2021.3.31,0.84,-0.0292,1.78,6781,-2.277526395
2020.12.31,0.69,-0.0319,1.47,6630,-13.54684021
2020.9.30,0.67,0.02,1.41,5839,1.997314535
2020.6.30,0.69,0.0323,1.57,5958,15.10401824
2020.3.31,0.66,0.1432,1.47,7018,3.359955935
2019.12.31,0.67,0.1502,1.92,7262,-36.76082863
2019.9.30,0.73,0.1583,1.66,5310,28.75352207
2019.6.30,0.76,0.1868,1.56,7453,3.894261767
2019.3.31,0.79,0.1922,2.2,7755,-1.491951315
2018.12.31,0.8,0.1944,2.6,7641,-0.871287129
2018.9.30,0.82,0.1825,2.08,7575,2.63496144
2018.6.30,0.93,0.1545,1.84,7780,3.903162055
2018.3.31,0.9,0.1442,2.03,8096,-10.28470236
2017.12.31,0.96,0.1315,2.25,7341,-0.013623978
2017.9.30,1.07,0.1361,2.45,7340,-2.729181246
2017.6.30,1.3,0.1413,2.27,7145,5.501917736
2017.3.31,1.56,0.1396,2.52,7561,-6.25351321
2016.12.31,1.5,0.1359,2.52,7116,0.545073375
2016.9.30,1.52,0.1361,2.35,7155,3.74007803
2016.6.30,1.25,0.1025,2.17,7433,5.516715393
2016.3.31,1.25,0.1084,2.3,7867,-6.03854967
2015.12.31,1.2,0.1429,2.35,7419,-4.581336341
2015.9.30,1.19,0.1468,2.41,7094,5.1731052
2015.6.30,1.3,0.1534,2.34,7481,-8.703865155
2015.3.31,1.24,0.1454,2.32,6882,-29.94712991
2014.12.31,2.36,0.0997,2.47,5296,0.581941055
2014.9.30,1.38,0.0931,2.19,5327,2.077205882
2014.6.30,1.42,0.1408,2.5,5440,3.716814159
2014.3.31,1.42,0.1407,2.42,5650,-9.666149068
2013.12.31,1.33,0.1461,2.17,5152,0.751300327
2013.9.30,1.34,0.1345,1.8,5191,0.593642283
2013.6.30,1.3,0.1151,1.82,5222,6.866416979
2013.3.31,1.38,0.1166,1.56,5607,-9.962737792
2012.12.31,1.31,0.1195,1.39,5099,-5.460186143
2012.9.30,1.23,0.1356,1.3,4835,3.570003989
2012.6.30,1.54,0.1729,1.43,5014,6.95861941
2012.3.31,1.55,0.1783,1.47,5389,-5.583855799
2011.12.31,1.47,0.1825,1.54,5104,-0.690471493
2011.9.30,1.52,0.1852,1.32,5069,1.649204501
2011.6.30,1.64,0.1645,1.94,5154,3.193087904
2011.3.31,1.66,0.1538,1.95,5324,-7.664307381
2010.12.31,1.55,0.1484,1.61,4945,-3.192821369
2010.9.30,1.6,0.1416,1.25,4792,-0.90545378
2010.6.30,1.68,0.1393,1.47,4749,3.022258526
2010.3.31,1.8,0.1456,1.63,4897,-7.910973997
2009.12.31,1.71,0.1468,1.85,4538,-4.417855499
2009.9.30,1.78,0.0957,1.64,4346,2.534200493
2009.6.30,1.76,,1.46,4459,4.251664161
2009.3.31,1.68,,1.2,4657,-1916.017316
