DATE,FEDFUNDS
1954.7.1,0.8
1954.8.1,1.22
1954.9.1,1.07
1954.10.1,0.85
1954.11.1,0.83
1954.12.1,1.28
1955.1.1,1.39
1955.2.1,1.29
1955.3.1,1.35
1955.4.1,1.43
1955.5.1,1.43
1955.6.1,1.64
1955.7.1,1.68
1955.8.1,1.96
1955.9.1,2.18
1955.10.1,2.24
1955.11.1,2.35
1955.12.1,2.48
1956.1.1,2.45
1956.2.1,2.5
1956.3.1,2.5
1956.4.1,2.62
1956.5.1,2.75
1956.6.1,2.71
1956.7.1,2.75
1956.8.1,2.73
1956.9.1,2.95
1956.10.1,2.96
1956.11.1,2.88
1956.12.1,2.94
1957.1.1,2.84
1957.2.1,3
1957.3.1,2.96
1957.4.1,3
1957.5.1,3
1957.6.1,3
1957.7.1,2.99
1957.8.1,3.24
1957.9.1,3.47
1957.10.1,3.5
1957.11.1,3.28
1957.12.1,2.98
1958.1.1,2.72
1958.2.1,1.67
1958.3.1,1.2
1958.4.1,1.26
1958.5.1,0.63
1958.6.1,0.93
1958.7.1,0.68
1958.8.1,1.53
1958.9.1,1.76
1958.10.1,1.8
1958.11.1,2.27
1958.12.1,2.42
1959.1.1,2.48
1959.2.1,2.43
1959.3.1,2.8
1959.4.1,2.96
1959.5.1,2.9
1959.6.1,3.39
1959.7.1,3.47
1959.8.1,3.5
1959.9.1,3.76
1959.10.1,3.98
1959.11.1,4
1959.12.1,3.99
1960.1.1,3.99
1960.2.1,3.97
1960.3.1,3.84
1960.4.1,3.92
1960.5.1,3.85
1960.6.1,3.32
1960.7.1,3.23
1960.8.1,2.98
1960.9.1,2.6
1960.10.1,2.47
1960.11.1,2.44
1960.12.1,1.98
1961.1.1,1.45
1961.2.1,2.54
1961.3.1,2.02
1961.4.1,1.49
1961.5.1,1.98
1961.6.1,1.73
1961.7.1,1.17
1961.8.1,2
1961.9.1,1.88
1961.10.1,2.26
1961.11.1,2.61
1961.12.1,2.33
1962.1.1,2.15
1962.2.1,2.37
1962.3.1,2.85
1962.4.1,2.78
1962.5.1,2.36
1962.6.1,2.68
1962.7.1,2.71
1962.8.1,2.93
1962.9.1,2.9
1962.10.1,2.9
1962.11.1,2.94
1962.12.1,2.93
1963.1.1,2.92
1963.2.1,3
1963.3.1,2.98
1963.4.1,2.9
1963.5.1,3
1963.6.1,2.99
1963.7.1,3.02
1963.8.1,3.49
1963.9.1,3.48
1963.10.1,3.5
1963.11.1,3.48
1963.12.1,3.38
1964.1.1,3.48
1964.2.1,3.48
1964.3.1,3.43
1964.4.1,3.47
1964.5.1,3.5
1964.6.1,3.5
1964.7.1,3.42
1964.8.1,3.5
1964.9.1,3.45
1964.10.1,3.36
1964.11.1,3.52
1964.12.1,3.85
1965.1.1,3.9
1965.2.1,3.98
1965.3.1,4.05
1965.4.1,4.09
1965.5.1,4.1
1965.6.1,4.05
1965.7.1,4.09
1965.8.1,4.12
1965.9.1,4.02
1965.10.1,4.08
1965.11.1,4.1
1965.12.1,4.32
1966.1.1,4.42
1966.2.1,4.6
1966.3.1,4.66
1966.4.1,4.67
1966.5.1,4.9
1966.6.1,5.17
1966.7.1,5.3
1966.8.1,5.53
1966.9.1,5.4
1966.10.1,5.53
1966.11.1,5.76
1966.12.1,5.4
1967.1.1,4.94
1967.2.1,5
1967.3.1,4.53
1967.4.1,4.05
1967.5.1,3.94
1967.6.1,3.98
1967.7.1,3.79
1967.8.1,3.9
1967.9.1,3.99
1967.10.1,3.88
1967.11.1,4.13
1967.12.1,4.51
1968.1.1,4.61
1968.2.1,4.71
1968.3.1,5.05
1968.4.1,5.76
1968.5.1,6.12
1968.6.1,6.07
1968.7.1,6.03
1968.8.1,6.03
1968.9.1,5.78
1968.10.1,5.91
1968.11.1,5.82
1968.12.1,6.02
1969.1.1,6.3
1969.2.1,6.61
1969.3.1,6.79
1969.4.1,7.41
1969.5.1,8.67
1969.6.1,8.9
1969.7.1,8.61
1969.8.1,9.19
1969.9.1,9.15
1969.10.1,9
1969.11.1,8.85
1969.12.1,8.97
1970.1.1,8.98
1970.2.1,8.98
1970.3.1,7.76
1970.4.1,8.1
1970.5.1,7.95
1970.6.1,7.61
1970.7.1,7.21
1970.8.1,6.62
1970.9.1,6.29
1970.10.1,6.2
1970.11.1,5.6
1970.12.1,4.9
1971.1.1,4.14
1971.2.1,3.72
1971.3.1,3.71
1971.4.1,4.16
1971.5.1,4.63
1971.6.1,4.91
1971.7.1,5.31
1971.8.1,5.57
1971.9.1,5.55
1971.10.1,5.2
1971.11.1,4.91
1971.12.1,4.14
1972.1.1,3.51
1972.2.1,3.3
1972.3.1,3.83
1972.4.1,4.17
1972.5.1,4.27
1972.6.1,4.46
1972.7.1,4.55
1972.8.1,4.81
1972.9.1,4.87
1972.10.1,5.05
1972.11.1,5.06
1972.12.1,5.33
1973.1.1,5.94
1973.2.1,6.58
1973.3.1,7.09
1973.4.1,7.12
1973.5.1,7.84
