DATE,INDPRO
1919-01-01,4.8773
1919-02-01,4.6617
1919-03-01,4.5270
1919-04-01,4.6078
1919-05-01,4.6348
1919-06-01,4.9312
1919-07-01,5.2276
1919-08-01,5.3084
1919-09-01,5.2006
1919-10-01,5.1467
1919-11-01,5.0659
1919-12-01,5.1467
1920-01-01,5.6318
1920-02-01,5.6318
1920-03-01,5.5240
1920-04-01,5.2276
1920-05-01,5.3623
1920-06-01,5.4162
1920-07-01,5.2815
1920-08-01,5.3084
1920-09-01,5.1198
1920-10-01,4.9042
1920-11-01,4.5000
1920-12-01,4.2306
1921-01-01,3.9881
1921-02-01,3.9072
1921-03-01,3.7994
1921-04-01,3.7994
1921-05-01,3.9072
1921-06-01,3.8803
1921-07-01,3.8533
1921-08-01,3.9881
1921-09-01,4.0150
1921-10-01,4.2575
1921-11-01,4.2036
1921-12-01,4.1767
1922-01-01,4.3384
1922-02-01,4.5270
1922-03-01,4.7695
1922-04-01,4.6078
1922-05-01,4.8503
1922-06-01,5.0929
1922-07-01,5.0929
1922-08-01,4.9851
1922-09-01,5.2545
1922-10-01,5.5509
1922-11-01,5.7935
1922-12-01,5.9551
1923-01-01,5.8204
1923-02-01,5.9012
1923-03-01,6.0899
1923-04-01,6.2246
1923-05-01,6.3054
1923-06-01,6.2515
1923-07-01,6.1977
1923-08-01,6.0899
1923-09-01,5.9551
1923-10-01,5.9282
1923-11-01,5.9282
1923-12-01,5.7935
1924-01-01,5.9282
1924-02-01,6.0360
1924-03-01,5.9282
1924-04-01,5.7396
1924-05-01,5.4970
1924-06-01,5.2545
1924-07-01,5.1737
1924-08-01,5.3623
1924-09-01,5.5509
1924-10-01,5.6857
1924-11-01,5.7935
1924-12-01,5.9551
1925-01-01,6.1438
1925-02-01,6.1438
1925-03-01,6.1438
1925-04-01,6.1977
1925-05-01,6.1707
1925-06-01,6.1168
1925-07-01,6.2785
1925-08-01,6.1707
1925-09-01,6.0899
1925-10-01,6.3324
1925-11-01,6.4671
1925-12-01,6.5480
1926-01-01,6.4402
1926-02-01,6.4402
1926-03-01,6.5210
1926-04-01,6.5210
1926-05-01,6.4671
1926-06-01,6.5479
1926-07-01,6.5749
1926-08-01,6.6557
1926-09-01,6.7635
1926-10-01,6.7635
1926-11-01,6.7366
1926-12-01,6.7096
1927-01-01,6.6827
1927-02-01,6.7366
1927-03-01,6.8174
1927-04-01,6.6557
1927-05-01,6.7096
1927-06-01,6.6827
1927-07-01,6.6018
1927-08-01,6.6018
1927-09-01,6.4941
1927-10-01,6.3593
1927-11-01,6.3593
1927-12-01,6.3863
1928-01-01,6.5210
1928-02-01,6.5749
1928-03-01,6.6288
1928-04-01,6.6018
1928-05-01,6.6827
1928-06-01,6.7366
1928-07-01,6.8174
1928-08-01,6.9522
1928-09-01,7.0060
1928-10-01,7.1408
1928-11-01,7.2755
1928-12-01,7.4102
1929-01-01,7.5180
1929-02-01,7.4911
1929-03-01,7.5180
1929-04-01,7.6528
1929-05-01,7.7875
1929-06-01,7.8414
1929-07-01,7.9492
1929-08-01,7.8683
1929-09-01,7.8144
1929-10-01,7.6797
1929-11-01,7.3025
1929-12-01,6.9791
1930-01-01,6.9791
1930-02-01,6.9521
1930-03-01,6.8444
1930-04-01,6.7905
1930-05-01,6.6827
1930-06-01,6.4941
1930-07-01,6.1977
1930-08-01,6.0629
1930-09-01,5.9551
1930-10-01,5.7935
1930-11-01,5.6587
1930-12-01,5.5240
1931-01-01,5.4970
1931-02-01,5.5240
1931-03-01,5.6318
1931-04-01,5.6587
1931-05-01,5.5779
1931-06-01,5.4432
1931-07-01,5.3623
1931-08-01,5.1737
1931-09-01,4.9312
1931-10-01,4.7426
1931-11-01,4.6887
1931-12-01,4.6617
1932-01-01,4.5270
1932-02-01,4.4192
1932-03-01,4.3653
1932-04-01,4.0689
1932-05-01,3.9342
1932-06-01,3.7994
1932-07-01,3.6916
1932-08-01,3.7994
1932-09-01,4.0419
1932-10-01,4.1767
1932-11-01,4.1767
1932-12-01,4.0958
1933-01-01,4.0150
1933-02-01,4.0419
1933-03-01,3.7994
1933-04-01,4.0689
1933-05-01,4.7426
1933-06-01,5.4701
1933-07-01,5.9821
1933-08-01,5.7396
1933-09-01,5.4162
1933-10-01,5.1467
1933-11-01,4.8503
1933-12-01,4.8773
1934-01-01,5.0390
1934-02-01,5.2815
1934-03-01,5.5240
1934-04-01,5.5240
1934-05-01,5.6318
1934-06-01,5.5240
1934-07-01,5.1467
1934-08-01,5.0929
1934-09-01,4.7964
1934-10-01,5.0120
1934-11-01,5.0659
1934-12-01,5.3893
1935-01-01,5.8204
