DATE,IPFINAL
1939-01-01,7.3087
1939-02-01,7.3087
1939-03-01,7.4191
1939-04-01,7.4191
1939-05-01,7.4191
1939-06-01,7.5018
1939-07-01,7.6397
1939-08-01,7.7500
1939-09-01,7.8879
1939-10-01,8.0534
1939-11-01,8.2741
1939-12-01,8.3292
1940-01-01,8.3016
1940-02-01,8.2740
1940-03-01,8.1913
1940-04-01,8.2740
1940-05-01,8.3292
1940-06-01,8.4671
1940-07-01,8.4947
1940-08-01,8.5774
1940-09-01,8.8808
1940-10-01,9.0739
1940-11-01,9.2945
1940-12-01,9.6255
1941-01-01,9.9289
1941-02-01,10.2874
1941-03-01,10.5908
1941-04-01,10.7838
1941-05-01,11.1424
1941-06-01,11.2527
1941-07-01,11.3079
1941-08-01,11.4734
1941-09-01,11.5285
1941-10-01,11.6664
1941-11-01,11.7216
1941-12-01,11.9422
1942-01-01,12.3283
1942-02-01,12.6869
1942-03-01,12.8524
1942-04-01,11.9422
1942-05-01,12.0525
1942-06-01,12.1629
1942-07-01,12.5766
1942-08-01,13.0178
1942-09-01,13.4591
1942-10-01,13.9831
1942-11-01,14.5347
1942-12-01,15.1139
1943-01-01,15.1691
1943-02-01,15.5001
1943-03-01,15.6931
1943-04-01,15.9689
1943-05-01,16.1344
1943-06-01,16.3275
1943-07-01,16.7688
1943-08-01,17.0997
1943-09-01,17.5961
1943-10-01,17.8995
1943-11-01,18.1753
1943-12-01,17.7065
1944-01-01,18.0098
1944-02-01,18.2029
1944-03-01,18.2029
1944-04-01,18.2305
1944-05-01,18.2581
1944-06-01,18.3408
1944-07-01,18.4787
1944-08-01,18.6718
1944-09-01,18.5063
1944-10-01,18.4787
1944-11-01,18.2305
1944-12-01,18.0098
1945-01-01,17.8444
1945-02-01,17.6237
1945-03-01,17.2928
1945-04-01,16.9342
1945-05-01,16.3826
1945-06-01,16.0241
1945-07-01,15.6931
1945-08-01,13.7625
1945-09-01,12.2732
1945-10-01,11.9698
1945-11-01,12.0525
1945-12-01,12.1353
1946-01-01,11.9974
1946-02-01,11.9146
1946-03-01,11.9422
1946-04-01,12.1353
1946-05-01,12.1353
1946-06-01,12.1904
1946-07-01,12.4387
1946-08-01,12.9075
1946-09-01,13.3212
1946-10-01,13.5419
1946-11-01,13.7349
1946-12-01,13.8177
1947-01-01,13.9280
1947-02-01,13.9556
