DATE,IPFPNSS
1939-01-01,7.6942
1939-02-01,7.7229
1939-03-01,7.8090
1939-04-01,7.8090
1939-05-01,7.8664
1939-06-01,7.9526
1939-07-01,8.0961
1939-08-01,8.1822
1939-09-01,8.4406
1939-10-01,8.6703
1939-11-01,8.8426
1939-12-01,8.9000
1940-01-01,8.8139
1940-02-01,8.7277
1940-03-01,8.6416
1940-04-01,8.7277
1940-05-01,8.8426
1940-06-01,9.0435
1940-07-01,9.0435
1940-08-01,9.1584
1940-09-01,9.4168
1940-10-01,9.5890
1940-11-01,9.7613
1940-12-01,10.1058
1941-01-01,10.4216
1941-02-01,10.7374
1941-03-01,11.0245
1941-04-01,11.2542
1941-05-01,11.6274
1941-06-01,11.7422
1941-07-01,11.8284
1941-08-01,11.9719
1941-09-01,12.0006
1941-10-01,12.1155
1941-11-01,12.1729
1941-12-01,12.3452
1942-01-01,12.7184
1942-02-01,13.0342
1942-03-01,13.1777
1942-04-01,12.3451
1942-05-01,12.3739
1942-06-01,12.4313
1942-07-01,12.7758
1942-08-01,13.1490
1942-09-01,13.6084
1942-10-01,14.0964
1942-11-01,14.5558
1942-12-01,15.0152
1943-01-01,15.0726
1943-02-01,15.4171
1943-03-01,15.5893
1943-04-01,15.7903
1943-05-01,15.9339
1943-06-01,16.1061
1943-07-01,16.5368
1943-08-01,16.8239
1943-09-01,17.2832
1943-10-01,17.5416
1943-11-01,17.8000
1943-12-01,17.4268
1944-01-01,17.6564
1944-02-01,17.8287
1944-03-01,17.8287
1944-04-01,17.8861
1944-05-01,17.8574
1944-06-01,17.9148
1944-07-01,18.0584
1944-08-01,18.2593
1944-09-01,18.1158
1944-10-01,18.1445
1944-11-01,17.9148
1944-12-01,17.7713
1945-01-01,17.6277
1945-02-01,17.4268
1945-03-01,17.1684
1945-04-01,16.8526
1945-05-01,16.3932
1945-06-01,16.0774
1945-07-01,15.8190
1945-08-01,14.0964
1945-09-01,12.6323
1945-10-01,12.3164
1945-11-01,12.4887
1945-12-01,12.5174
1946-01-01,12.3739
1946-02-01,12.2590
1946-03-01,12.5461
1946-04-01,12.7471
1946-05-01,12.6035
1946-06-01,12.7471
1946-07-01,13.0342
1946-08-01,13.4648
1946-09-01,13.8381
1946-10-01,14.0677
1946-11-01,14.2113
1946-12-01,14.3548
1947-01-01,14.4984
1947-02-01,14.5558
1947-03-01,14.6132
1947-04-01,14.6132
1947-05-01,14.6419
1947-06-01,14.6132
1947-07-01,14.5845
1947-08-01,14.6706
1947-09-01,14.8142
1947-10-01,15.0151
1947-11-01,15.2161
1947-12-01,15.3022
1948-01-01,15.3597
1948-02-01,15.3597
1948-03-01,15.3309
1948-04-01,15.3022
1948-05-01,15.2735
1948-06-01,15.4458
1948-07-01,15.5032
1948-08-01,15.4745
1948-09-01,15.3597
1948-10-01,15.5032
1948-11-01,15.3310
1948-12-01,15.1874
1949-01-01,14.9290
1949-02-01,14.8142
1949-03-01,14.8142
1949-04-01,14.6993
1949-05-01,14.7281
1949-06-01,14.6706
1949-07-01,14.7280
1949-08-01,14.8142
1949-09-01,14.9864
1949-10-01,14.9003
1949-11-01,14.8142
1949-12-01,14.7568
1950-01-01,15.1300
1950-02-01,15.3310
1950-03-01,15.6180
1950-04-01,16.1061
1950-05-01,16.4219
1950-06-01,16.9387
1950-07-01,17.3980
1950-08-01,17.9722
1950-09-01,17.6851
1950-10-01,17.7426
1950-11-01,17.7713
1950-12-01,18.0584
1951-01-01,18.2306
1951-02-01,18.3455
1951-03-01,18.3742
1951-04-01,18.3455
1951-05-01,18.2306
1951-06-01,18.1158
1951-07-01,17.8000
1951-08-01,17.5990
1951-09-01,17.7713
1951-10-01,17.7426
1951-11-01,18.0297
1951-12-01,18.1445
1952-01-01,18.3742
1952-02-01,18.5177
1952-03-01,18.5752
1952-04-01,18.5464
1952-05-01,18.5751
1952-06-01,18.9196
1952-07-01,18.5751
1952-08-01,19.0058
1952-09-01,19.4651
1952-10-01,19.7235
1952-11-01,20.0393
1952-12-01,20.1542
1953-01-01,20.2977
1953-02-01,20.5274
1953-03-01,20.6135
1953-04-01,20.5848
1953-05-01,20.6709
1953-06-01,20.4987
1953-07-01,20.6135
1953-08-01,20.5274
1953-09-01,20.2690
1953-10-01,20.2690
1953-11-01,19.7810
1953-12-01,19.4651
1954-01-01,19.4077
1954-02-01,19.4651
1954-03-01,19.4651
1954-04-01,19.2929
1954-05-01,19.2929
1954-06-01,19.2929
1954-07-01,19.2355
1954-08-01,19.2355
1954-09-01,19.4364
1954-10-01,19.5513
1954-11-01,19.8097
1954-12-01,19.9819
1955-01-01,20.3264
1955-02-01,20.4413
1955-03-01,20.8145
1955-04-01,21.0155
1955-05-01,21.2738
1955-06-01,21.3026
1955-07-01,21.3313
1955-08-01,21.3026
1955-09-01,21.4748
1955-10-01,21.8768
1955-11-01,21.9916
1955-12-01,22.1064
1956-01-01,22.2213
1956-02-01,22.2500
1956-03-01,22.2787
1956-04-01,22.4510
1956-05-01,22.3361
1956-06-01,22.2500
1956-07-01,22.2213
1956-08-01,22.5084
1956-09-01,22.5371
1956-10-01,22.7093
1956-11-01,22.7093
1956-12-01,22.9964
1957-01-01,23.1113
1957-02-01,23.3696
1957-03-01,23.3697
1957-04-01,23.1113
1957-05-01,22.9964
1957-06-01,23.1113
1957-07-01,23.1687
1957-08-01,23.2261
1957-09-01,23.0826
1957-10-01,22.7094
1957-11-01,22.3648
1957-12-01,22.1351
1958-01-01,21.8480
1958-02-01,21.5609
1958-03-01,21.3887
1958-04-01,21.2164
1958-05-01,21.3887
1958-06-01,21.8193
1958-07-01,21.9055
1958-08-01,22.1926
1958-09-01,22.1926
1958-10-01,22.3648
1958-11-01,23.0826
1958-12-01,23.1400
1959-01-01,23.3984
1959-02-01,23.7142
1959-03-01,23.8577
1959-04-01,24.2022
1959-05-01,24.4032
1959-06-01,24.5755
1959-07-01,24.6042
1959-08-01,24.4319
1959-09-01,24.3171
1959-10-01,24.2597
1959-11-01,24.0013
1959-12-01,24.7190
1960-01-01,25.3219
1960-02-01,25.1784
1960-03-01,25.0922
1960-04-01,25.1497
1960-05-01,25.2932
1960-06-01,25.0061
1960-07-01,24.8625
1960-08-01,24.8051
1960-09-01,24.6042
1960-10-01,24.7477
