DATE,IPMAN
1972-01-01,36.0427
1972-02-01,36.3288
1972-03-01,36.5734
1972-04-01,36.9820
1972-05-01,37.0537
1972-06-01,37.1634
1972-07-01,37.1534
1972-08-01,37.6508
1972-09-01,37.9189
1972-10-01,38.4870
1972-11-01,38.9853
1972-12-01,39.5493
1973-01-01,39.8491
1973-02-01,40.4859
1973-03-01,40.5610
1973-04-01,40.4985
1973-05-01,40.7680
1973-06-01,40.7744
1973-07-01,40.9621
1973-08-01,40.8521
1973-09-01,41.1894
1973-10-01,41.5971
1973-11-01,41.8856
1973-12-01,41.8901
1974-01-01,41.5396
1974-02-01,41.3683
1974-03-01,41.3479
1974-04-01,41.1713
1974-05-01,41.4615
1974-06-01,41.4823
1974-07-01,41.4625
1974-08-01,41.0702
1974-09-01,41.1255
1974-10-01,40.8343
1974-11-01,39.5796
1974-12-01,37.7559
1975-01-01,36.9621
1975-02-01,35.9238
1975-03-01,35.4241
1975-04-01,35.4205
1975-05-01,35.3558
1975-06-01,35.6616
1975-07-01,36.1755
1975-08-01,36.5525
1975-09-01,37.1874
1975-10-01,37.3908
1975-11-01,37.4734
1975-12-01,38.0018
1976-01-01,38.4732
1976-02-01,39.0839
1976-03-01,39.2018
1976-04-01,39.4153
1976-05-01,39.6052
1976-06-01,39.6582
1976-07-01,39.9249
1976-08-01,40.1817
1976-09-01,40.2817
1976-10-01,40.2219
1976-11-01,40.7660
1976-12-01,41.2083
1977-01-01,41.0659
1977-02-01,41.8335
1977-03-01,42.4440
1977-04-01,42.8761
1977-05-01,43.2292
1977-06-01,43.6118
1977-07-01,43.6132
1977-08-01,43.8519
1977-09-01,43.8560
1977-10-01,43.9496
1977-11-01,44.0722
1977-12-01,44.5519
1978-01-01,43.8768
1978-02-01,44.0350
1978-03-01,44.8221
1978-04-01,45.5167
1978-05-01,45.7574
1978-06-01,46.0971
1978-07-01,46.0535
1978-08-01,46.3195
1978-09-01,46.5614
1978-10-01,46.8915
1978-11-01,47.3334
1978-12-01,47.6714
1979-01-01,47.3248
1979-02-01,47.4654
1979-03-01,47.6943
1979-04-01,46.8944
1979-05-01,47.5489
1979-06-01,47.5999
1979-07-01,47.6303
1979-08-01,47.0076
1979-09-01,47.0640
1979-10-01,47.3149
1979-11-01,47.1364
1979-12-01,47.2870
1980-01-01,47.5250
1980-02-01,47.4562
1980-03-01,47.0636
1980-04-01,46.0841
1980-05-01,44.6476
1980-06-01,43.9261
1980-07-01,43.4275
1980-08-01,43.7442
1980-09-01,44.5102
1980-10-01,45.3538
1980-11-01,46.1690
1980-12-01,46.3542
1981-01-01,46.1677
1981-02-01,45.9388
1981-03-01,46.0845
1981-04-01,46.3287
1981-05-01,46.5377
1981-06-01,46.3194
1981-07-01,46.4129
1981-08-01,46.3933
1981-09-01,46.2051
1981-10-01,45.7267
1981-11-01,45.1240
1981-12-01,44.3391
1982-01-01,43.2401
1982-02-01,44.4813
1982-03-01,44.1416
1982-04-01,43.8204
1982-05-01,43.7193
1982-06-01,43.6909
1982-07-01,43.6249
1982-08-01,43.2104
