DATE,LMJVTTUVUSM647S
2000-12-01,4868000.0
2001-01-01,5362000.0
2001-02-01,5008000.0
2001-03-01,4698000.0
2001-04-01,4752000.0
2001-05-01,4503000.0
2001-06-01,4378000.0
2001-07-01,4578000.0
2001-08-01,4042000.0
2001-09-01,4045000.0
2001-10-01,3729000.0
2001-11-01,3649000.0
2001-12-01,3523000.0
2002-01-01,3699000.0
2002-02-01,3436000.0
2002-03-01,3612000.0
2002-04-01,3471000.0
2002-05-01,3457000.0
2002-06-01,3412000.0
2002-07-01,3367000.0
2002-08-01,3517000.0
2002-09-01,3301000.0
2002-10-01,3479000.0
2002-11-01,3514000.0
2002-12-01,3169000.0
2003-01-01,3441000.0
2003-02-01,3229000.0
2003-03-01,3099000.0
2003-04-01,3108000.0
2003-05-01,3289000.0
2003-06-01,3390000.0
2003-07-01,2981000.0
2003-08-01,3190000.0
2003-09-01,3091000.0
2003-10-01,3305000.0
2003-11-01,3324000.0
2003-12-01,3414000.0
2004-01-01,3424000.0
2004-02-01,3532000.0
2004-03-01,3525000.0
2004-04-01,3511000.0
2004-05-01,3710000.0
2004-06-01,3337000.0
2004-07-01,3814000.0
2004-08-01,3541000.0
2004-09-01,3821000.0
2004-10-01,3943000.0
2004-11-01,3472000.0
2004-12-01,4074000.0
2005-01-01,3804000.0
2005-02-01,3965000.0
2005-03-01,4044000.0
2005-04-01,4159000.0
2005-05-01,3797000.0
2005-06-01,4062000.0
2005-07-01,4256000.0
2005-08-01,4142000.0
2005-09-01,4352000.0
2005-10-01,4184000.0
2005-11-01,4248000.0
2005-12-01,4282000.0
2006-01-01,4397000.0
2006-02-01,4325000.0
2006-03-01,4732000.0
2006-04-01,4790000.0
2006-05-01,4463000.0
2006-06-01,4614000.0
2006-07-01,4394000.0
2006-08-01,4710000.0
2006-09-01,4737000.0
2006-10-01,4591000.0
2006-11-01,4645000.0
2006-12-01,4620000.0
2007-01-01,4763000.0
2007-02-01,4699000.0
2007-03-01,4962000.0
2007-04-01,4689000.0
2007-05-01,4657000.0
2007-06-01,4859000.0
2007-07-01,4598000.0
2007-08-01,4546000.0
2007-09-01,4652000.0
2007-10-01,4636000.0
2007-11-01,4646000.0
2007-12-01,4545000.0
2008-01-01,4624000.0
