Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
2001-01-30,18.125,18.1875,16.25,16.875,812300,0,0,2.3852025113874184e-06
2001-01-31,17.125,17.1875,13.4375,13.5,1212700,0,0,3.0922734394326707e-06
2001-02-01,13.125,14.375,13.0,14.1875,669100,0,0,2.0549992527275446e-06
2001-02-02,14.0,14.5625,13.75,14.125,775000,0,0,1.0483870967741936e-06
2001-02-05,14.4375,14.5,13.875,14.125,489400,0,0,1.2770739681242335e-06
2001-02-06,14.015625,14.0625,13.875,14.0,737900,0,0,2.540994714730993e-07
2001-02-07,14.0,14.0625,13.0,13.0625,1361000,0,0,7.806759735488611e-07
2001-02-08,13.125,13.1875,13.0,13.0625,712000,0,0,2.6334269662921346e-07
2001-02-09,13.046875,13.0625,11.875,12.0,1100800,0,0,1.0787609011627907e-06
2001-02-12,12.046875,12.125,10.9375,11.0625,552000,0,0,2.151268115942029e-06
2001-02-13,11.0,11.5625,11.0,11.4375,304300,0,0,1.8485047650345047e-06
2001-02-14,11.421875,11.75,11.0,11.625,136900,0,0,5.47845142439737e-06
2001-02-15,12.0625,13.0,12.046875,12.8125,1568600,0,0,6.076278209868673e-07
2001-02-16,12.84375,13.0625,12.5,13.0625,161500,0,0,3.4829721362229104e-06
2001-02-20,13.625,13.6875,12.625,12.75,411200,0,0,2.5839007782101167e-06
2001-02-21,12.59375,13.125,12.25,12.3125,219000,0,0,3.995433789954338e-06
2001-02-22,12.0,12.5,11.5,12.109375,712500,0,0,1.4035087719298246e-06
2001-02-23,12.125,12.25,10.625,11.0625,217800,0,0,7.460973370064279e-06
2001-02-26,10.65625,11.375,8.75,9.0,839200,0,0,3.1279790276453766e-06
2001-02-27,9.40625,9.5,7.125,7.5625,865200,0,0,2.7450300508552936e-06
2001-02-28,8.09375,8.125,7.375,7.5,503600,0,0,1.4892772041302622e-06
2001-03-01,7.484375,7.625,7.3125,7.5625,464200,0,0,6.732012063765618e-07
2001-03-02,7.5625,7.625,7.3125,7.5,277800,0,0,1.124910007199424e-06
2001-03-05,7.59375,7.625,6.125,6.6875,697900,0,0,2.1493050580312367e-06
2001-03-06,6.515625,7.625,6.5,7.5,1922300,0,0,5.852364355199501e-07
2001-03-07,7.96875,8.0,7.4375,7.8125,321800,0,0,1.7479801118707272e-06
2001-03-08,7.8125,8.5,7.625,8.46875,242900,0,0,3.602305475504323e-06
2001-03-09,8.5625,8.625,8.0,8.125,165700,0,0,3.7718768859384415e-06
2001-03-12,8.375,8.625,7.9375,8.5,276100,0,0,2.4900398406374503e-06
2001-03-13,8.5,9.9375,8.4375,9.5,128100,0,0,1.17096018735363e-05
2001-03-14,9.75,10.484375,9.125,10.25,215200,0,0,6.316798327137546e-06
2001-03-15,10.4375,10.5,9.4375,9.4375,224600,0,0,4.730632235084595e-06
2001-03-16,9.4375,9.75,8.0,8.25,580300,0,0,3.0156815440289505e-06
2001-03-19,8.5,9.46875,8.25,8.875,161300,0,0,7.555796652200868e-06
2001-03-20,8.6875,8.9375,8.1875,8.1875,138100,0,0,5.430847212165098e-06
2001-03-21,8.484375,8.5,8.0,8.1875,139400,0,0,3.586800573888092e-06
2001-03-22,8.046875,8.0625,7.625,7.75,129200,0,0,3.3862229102167182e-06
2001-03-23,7.96875,8.0,7.75,7.8125,58900,0,0,4.244482173174873e-06
2001-03-26,8.0,8.25,7.25,7.5,104300,0,0,9.587727708533076e-06
2001-03-27,7.25,7.5625,7.25,7.40625,35700,0,0,8.753501400560223e-06
2001-03-28,7.53125,8.09375,7.25,7.5625,187200,0,0,4.507211538461539e-06
2001-03-29,7.625,7.875,6.8125,7.25,246400,0,0,4.312094155844156e-06
2001-03-30,7.46875,7.625,7.1875,7.25,527400,0,0,8.29541145240804e-07
2001-04-02,7.296875,7.8125,7.1875,7.25,513800,0,0,1.2164266251459711e-06
2001-04-03,7.25,7.25,6.25,6.6875,129700,0,0,7.710100231303006e-06
2001-04-04,6.515625,6.78125,6.5,6.5625,55600,0,0,5.058453237410072e-06
2001-04-05,6.71875,6.875,6.5,6.5625,75800,0,0,4.947229551451187e-06
2001-04-06,6.734375,7.21875,6.5,6.625,44800,0,0,1.6043526785714285e-05
2001-04-09,6.809999942779541,6.989999771118164,6.5,6.550000190734863,49100,0,0,9.979628739677476e-06
2001-04-10,6.75,7.269999980926514,6.75,7.150000095367432,115800,0,0,4.490500698847269e-06
2001-04-11,7.28000020980835,7.75,6.519999980926514,6.599999904632568,95300,0,0,1.2906610903184537e-05
2001-04-12,6.659999847412109,6.980000019073486,5.75,6.0,144100,0,0,8.535739202453062e-06
2001-04-16,6.75,6.75,5.349999904632568,5.449999809265137,93400,0,0,1.4989294382948946e-05
2001-04-17,5.5,5.889999866485596,5.5,5.800000190734863,32900,0,0,1.1854099285276464e-05
2001-04-18,5.989999771118164,7.699999809265137,5.650000095367432,7.28000020980835,157400,0,0,1.3024140494902829e-05
2001-04-19,7.739999771118164,7.75,6.75,7.150000095367432,94100,0,0,1.0626992561105209e-05
2001-04-20,7.099999904632568,7.099999904632568,6.0,6.150000095367432,73300,0,0,1.5006819981344726e-05
2001-04-23,6.099999904632568,7.150000095367432,6.050000190734863,6.650000095367432,97100,0,0,1.1328526309295246e-05
2001-04-24,6.5,8.5,6.25,8.329999923706055,180800,0,0,1.2444690265486728e-05
2001-04-25,8.319999694824219,8.329999923706055,7.550000190734863,8.0,220400,0,0,3.539018752137892e-06
2001-04-26,7.900000095367432,9.199999809265137,7.800000190734863,8.800000190734863,395900,0,0,3.536245563350021e-06
2001-04-27,9.130000114440918,9.149999618530272,8.399999618530273,8.75,260500,0,0,2.8790786948176584e-06
2001-04-30,8.680000305175781,9.399999618530272,8.520000457763672,8.75,325800,0,0,2.701041009105591e-06
2001-05-01,9.0,9.050000190734863,8.25,8.5,344800,0,0,2.3201861680245454e-06
2001-05-02,8.5,9.0,8.399999618530273,8.75,195500,0,0,3.069055659691696e-06
2001-05-03,8.890000343322754,8.899999618530273,8.119999885559082,8.699999809265137,163200,0,0,4.779410128499948e-06
2001-05-04,8.789999961853027,8.789999961853027,7.900000095367432,8.600000381469727,163700,0,0,5.436773772056174e-06
2001-05-07,8.109999656677246,8.800000190734863,8.0,8.800000190734863,243000,0,0,3.2921818548759808e-06
2001-05-08,8.770000457763672,9.699999809265137,8.329999923706055,9.5,1355500,0,0,1.0106970752925726e-06
2001-05-09,9.600000381469728,9.600000381469728,9.0,9.149999618530272,376300,0,0,1.5944735090877669e-06
2001-05-10,9.050000190734863,9.270000457763672,8.399999618530273,8.890000343322754,399000,0,0,2.1804532311614e-06
2001-05-11,8.989999771118164,9.100000381469728,8.300000190734863,8.800000190734863,185800,0,0,4.305706085763527e-06
2001-05-14,8.649999618530273,9.199999809265137,8.550000190734863,9.199999809265137,251100,0,0,2.588608596297385e-06
2001-05-15,9.25,10.199999809265137,9.199999809265137,9.800000190734863,556100,0,0,1.798237727027513e-06
2001-05-16,9.899999618530272,10.199999809265137,9.510000228881836,10.130000114440918,439800,0,0,1.5688939981430213e-06
2001-05-17,10.130000114440918,12.449999809265137,10.130000114440918,10.960000038146973,936200,0,0,2.478102643478123e-06
2001-05-18,11.25,11.34000015258789,10.949999809265137,11.050000190734863,116300,0,0,3.3533993406943587e-06
