Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
1996-06-20,3.0,3.125,2.9375,2.96875,12638800,0,0.0,1.4835269171123841e-08
1996-06-21,3.03125,3.09375,3.0,3.0,1881200,0,0.0,4.9835211567084846e-08
1996-06-24,3.0625,3.21875,3.0,3.21875,1606000,0,0.0,1.362079701120797e-07
1996-06-25,3.21875,3.28125,3.15625,3.15625,1895600,0,0.0,6.594218189491453e-08
1996-06-26,3.1875,3.1875,3.125,3.15625,399200,0,0.0,1.56563126252505e-07
1996-06-27,3.1875,3.34375,3.15625,3.25,348400,0,0.0,5.381745120551091e-07
1996-06-28,3.25,3.34375,3.25,3.28125,157200,0,0.0,5.963740458015267e-07
1996-07-01,3.3125,3.3125,3.21875,3.21875,117200,0,0.0,7.999146757679181e-07
1996-07-02,3.21875,3.25,3.21875,3.25,85600,0,0.0,3.650700934579439e-07
1996-07-03,3.1875,3.40625,3.1875,3.40625,370400,0,0.0,5.905777537796976e-07
1996-07-05,3.3125,3.3125,3.21875,3.25,238800,0,0.0,3.925879396984925e-07
1996-07-08,3.1875,3.28125,3.1875,3.28125,55200,0,0.0,1.6983695652173914e-06
1996-07-09,3.28125,3.3125,3.1875,3.265625,739600,0,0.0,1.6901027582477016e-07
1996-07-10,3.25,3.28125,3.1875,3.28125,184000,0,0.0,5.095108695652173e-07
1996-07-11,3.25,3.28125,3.09375,3.125,367600,0,0.0,5.100652883569097e-07
1996-07-12,3.09375,3.125,3.0625,3.09375,54800,0,0.0,1.1405109489051096e-06
1996-07-15,3.03125,3.09375,2.9375,2.96875,158800,0,0.0,9.83942065491184e-07
1996-07-16,2.96875,3.0,2.71875,2.71875,190800,0,0.0,1.4740566037735848e-06
1996-07-17,2.78125,3.09375,2.75,3.03125,117600,0,0.0,2.923044217687075e-06
1996-07-18,3.03125,3.1875,3.03125,3.1875,127600,0,0.0,1.2245297805642634e-06
1996-07-19,3.21875,3.21875,3.15625,3.21875,30800,0,0.0,2.0292207792207792e-06
1996-07-22,3.15625,3.21875,3.125,3.1875,177600,0,0.0,5.278716216216216e-07
1996-07-23,3.1875,3.21875,3.09375,3.09375,83200,0,0.0,1.5024038461538462e-06
1996-07-24,3.09375,3.125,2.96875,3.125,46400,0,0.0,3.367456896551724e-06
1996-07-25,3.09375,3.125,3.09375,3.09375,25600,0,0.0,1.220703125e-06
1996-07-26,3.09375,3.125,3.09375,3.09375,159600,0,0.0,1.9580200501253134e-07
1996-07-29,3.0625,3.078125,3.0625,3.0625,27200,0,0.0,5.744485294117647e-07
1996-07-30,3.0625,3.0625,2.9375,2.9375,145200,0,0.0,8.608815426997245e-07
1996-07-31,2.90625,2.96875,2.90625,2.90625,118800,0,0.0,5.260942760942761e-07
1996-08-01,3.0,3.0,2.90625,2.90625,15600,0,0.0,6.009615384615385e-06
1996-08-02,3.0,3.125,3.0,3.125,134400,0,0.0,9.300595238095238e-07
1996-08-05,3.0625,3.125,3.0625,3.125,60400,0,0.0,1.0347682119205298e-06
1996-08-06,3.125,3.1875,3.09375,3.1875,152000,0,0.0,6.167763157894737e-07
1996-08-07,3.21875,3.28125,3.125,3.21875,180400,0,0.0,8.661308203991131e-07
1996-08-08,3.21875,3.34375,3.21875,3.3125,136800,0,0.0,9.137426900584796e-07
1996-08-09,3.3125,3.34375,3.28125,3.34375,233200,0,0.0,2.680102915951973e-07
1996-08-12,3.375,3.375,3.3125,3.375,179600,0,0.0,3.479955456570156e-07
1996-08-13,3.28125,3.34375,3.25,3.34375,93200,0,0.0,1.005901287553648e-06
1996-08-14,3.34375,3.34375,3.28125,3.28125,131200,0,0.0,4.763719512195122e-07
1996-08-15,3.25,3.28125,3.1875,3.28125,36400,0,0.0,2.5755494505494505e-06
1996-08-16,3.25,3.25,3.1875,3.234375,40400,0,0.0,1.5470297029702971e-06
1996-08-19,3.25,3.28125,3.09375,3.09375,92000,0,0.0,2.0380434782608694e-06
1996-08-20,3.125,3.125,3.03125,3.03125,32800,0,0.0,2.858231707317073e-06
1996-08-21,3.03125,3.0625,2.875,2.875,60400,0,0.0,3.1043046357615894e-06
1996-08-22,2.90625,2.90625,2.8125,2.84375,421600,0,0.0,2.223671726755218e-07
1996-08-23,2.78125,2.875,2.75,2.78125,102000,0,0.0,1.2254901960784314e-06
1996-08-26,2.71875,2.75,2.71875,2.71875,44800,0,0.0,6.975446428571429e-07
1996-08-27,2.75,2.75,2.625,2.75,153600,0,0.0,8.138020833333334e-07
1996-08-28,2.625,2.8125,2.625,2.8125,28400,0,0.0,6.602112676056338e-06
1996-08-29,2.6875,2.8125,2.6875,2.8125,23600,0,0.0,5.296610169491526e-06
1996-08-30,2.8125,2.875,2.75,2.84375,297200,0,0.0,4.205921938088829e-07
1996-09-03,2.75,2.75,2.75,2.75,11200,0,0.0,0.0
1996-09-04,2.84375,2.90625,2.8125,2.8125,767600,0,0.0,1.221339239187077e-07
1996-09-05,2.8125,2.8125,2.6875,2.78125,332000,0,0.0,3.765060240963855e-07
1996-09-06,2.75,2.75,2.6875,2.6875,31600,0,0.0,1.977848101265823e-06
1996-09-09,2.75,2.75,2.65625,2.75,80000,0,0.0,1.171875e-06
1996-09-10,2.65625,2.6875,2.65625,2.6875,123600,0,0.0,2.52831715210356e-07
1996-09-11,2.75,2.75,2.5625,2.71875,609200,0,0.0,3.077806959947473e-07
1996-09-12,2.59375,2.65625,2.59375,2.65625,74000,0,0.0,8.445945945945946e-07
1996-09-13,2.59375,2.78125,2.59375,2.75,628400,0,0.0,2.983768300445577e-07
1996-09-16,2.78125,2.875,2.75,2.78125,315200,0,0.0,3.965736040609137e-07
1996-09-17,2.8125,3.09375,2.8125,3.0625,590000,0,0.0,4.766949152542373e-07
1996-09-18,3.0625,3.09375,3.0,3.0,167200,0,0.0,5.607057416267943e-07
1996-09-19,3.03125,3.0625,3.0,3.0,156000,0,0.0,4.006410256410256e-07
1996-09-20,3.09375,3.09375,3.0,3.0,36000,0,0.0,2.6041666666666666e-06
1996-09-23,3.0,3.0,2.84375,2.90625,216800,0,0.0,7.20710332103321e-07
1996-09-24,2.84375,2.9375,2.8125,2.8125,57600,0,0.0,2.170138888888889e-06
1996-09-25,2.8125,2.9375,2.8125,2.8125,8400,0,0.0,1.488095238095238e-05
1996-09-26,2.9375,2.9375,2.8125,2.84375,548000,0,0.0,2.281021897810219e-07
1996-09-27,2.90625,2.9375,2.84375,2.9375,304800,0,0.0,3.075787401574803e-07
1996-09-30,2.875,2.9375,2.875,2.90625,44000,0,0.0,1.4204545454545454e-06
1996-10-01,2.875,2.9375,2.875,2.875,90400,0,0.0,6.913716814159292e-07
1996-10-02,2.9375,3.0,2.875,2.9375,20000,0,0.0,6.25e-06
1996-10-03,3.0,3.15625,3.0,3.15625,152000,0,0.0,1.0279605263157897e-06
1996-10-04,3.1875,3.28125,3.1875,3.1875,38000,0,0.0,2.4671052631578948e-06
1996-10-07,3.3125,3.3125,3.1875,3.28125,90400,0,0.0,1.3827433628318584e-06
1996-10-08,3.25,3.3125,3.25,3.3125,51200,0,0.0,1.220703125e-06
1996-10-09,3.3125,3.3125,3.25,3.28125,57600,0,0.0,1.0850694444444444e-06
1996-10-10,3.25,3.296875,3.25,3.25,220800,0,0.0,2.1229619565217405e-07
1996-10-11,3.34375,3.5625,3.25,3.4375,226400,0,0.0,1.3803003533568904e-06
1996-10-14,3.5625,3.5625,3.4375,3.53125,298400,0,0.0,4.189008042895442e-07
1996-10-15,3.5,3.78125,3.5,3.75,142800,0,0.0,1.9695378151260504e-06
1996-10-16,3.71875,3.78125,3.71875,3.765625,208800,0,0.0,2.993295019157088e-07
1996-10-17,3.84375,3.84375,3.75,3.84375,250000,0,0.0,3.75e-07
1996-10-18,3.78125,3.84375,3.78125,3.78125,276400,0,0.0,2.261215629522432e-07
