Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
1962-01-02,0.0,0.070657141834777,0.0699693094055842,0.0703624337911605,633830,0.0,0.0,1.085200178585456e-09
1962-01-03,0.0,0.0703624644872815,0.0668247094323134,0.0674143061041832,6564672,0.0,0.0,5.389081213757654e-10
1962-01-04,0.0,0.0680038218791844,0.066431511152525,0.0667263939976692,1199750,0.0,0.0,1.310531966375822e-09
1962-01-05,0.0,0.0664315318904505,0.0640729722486756,0.0644660964608192,520646,0.0,0.0,4.530063885586216e-09
1962-01-08,0.0,0.0650556796828788,0.0642696116781112,0.0646625608205795,1380845,0.0,0.0,5.692659239578792e-10
1962-01-09,0.0,0.0657436881852497,0.0648592039455464,0.0649574398994445,1177114,0.0,0.0,7.514006627253753e-10
1962-01-10,0.0,0.0664315540805498,0.0651539450461592,0.066038429737091,882835,0.0,0.0,1.4471662704701842e-09
1962-01-11,0.0,0.0664315523643189,0.0654488316947611,0.0662350803613662,588557,0.0,0.0,1.6697119727704536e-09
1962-01-12,0.0,0.0668246731202615,0.066038429737091,0.066038429737091,407462,0.0,0.0,1.9296115543791368e-09
1962-01-15,0.0,0.0664315259689026,0.0652523337649237,0.0654488056898117,792288,0.0,0.0,1.488337831671001e-09
1962-01-16,0.0,0.0650556796828788,0.0644660889012177,0.0646625608205795,384826,0.0,0.0,1.5320970559710407e-09
1962-01-17,0.0,0.0648592286465659,0.0630902647972107,0.0630902647972107,498010,0.0,0.0,3.5520649170805382e-09
1962-01-18,0.0,0.0642696097493171,0.0626971237398223,0.0642696097493171,1177114,0.0,0.0,1.3358825139237316e-09
1962-01-19,0.0,0.0658419298669131,0.0644660907144656,0.0654488056898117,633830,0.0,0.0,2.1706753426748276e-09
1962-01-22,0.0,0.0656453171986321,0.0644661295873514,0.0648592486977577,837562,0.0,0.0,1.4078809822803952e-09
1962-01-23,0.0,0.0646625684032202,0.0640729722486756,0.0644660964608192,928109,0.0,0.0,6.352660673958192e-10
1962-01-24,0.0,0.0650556758533427,0.063679836820583,0.0649574398994445,996019,0.0,0.0,1.381338139894594e-09
1962-01-25,0.0,0.0649574437231979,0.0644660889012177,0.0646625608205795,611194,0.0,0.0,8.039261216245668e-10
