Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
1993-04-23,2.4375,2.4375,2.34375,2.40625,16484800,0,0.0,5.6870571678152e-09
1993-04-26,2.375,2.40625,2.34375,2.34375,3334400,0,0.0,1.87440019193858e-08
1993-04-27,2.375,2.375,2.28125,2.3125,2046400,0,0.0,4.581215793588741e-08
1993-04-28,2.34375,2.34375,2.28125,2.28125,897600,0,0.0,6.96301247771836e-08
1993-04-29,2.28125,2.34375,2.28125,2.3125,844800,0,0.0,7.39820075757576e-08
1993-04-30,2.34375,2.40625,2.3125,2.34375,1180800,0,0.0,7.939532520325203e-08
1993-05-03,2.40625,2.40625,2.3125,2.34375,623200,0,0.0,1.504332477535302e-07
1993-05-04,2.375,2.40625,2.3125,2.375,555200,0,0.0,1.6885806916426513e-07
1993-05-05,2.375,2.4375,2.375,2.4375,900800,0,0.0,6.938277087033749e-08
1993-05-06,2.4375,2.46875,2.375,2.453125,635200,0,0.0,1.4759130982367757e-07
1993-05-07,2.40625,2.46875,2.40625,2.40625,170400,0,0.0,3.667840375586856e-07
1993-05-10,2.46875,2.5,2.40625,2.4375,438400,0,0.0,2.1384580291970802e-07
1993-05-11,2.4375,2.53125,2.4375,2.46875,312800,0,0.0,2.9971227621483373e-07
1993-05-12,2.5,2.53125,2.4375,2.53125,907200,0,0.0,1.033399470899471e-07
1993-05-13,2.53125,2.59375,2.46875,2.59375,608000,0,0.0,2.055921052631579e-07
1993-05-14,2.59375,2.78125,2.53125,2.734375,774400,0,0.0,3.228305785123967e-07
1993-05-17,2.78125,2.78125,2.625,2.6875,349600,0,0.0,4.469393592677346e-07
1993-05-18,2.625,2.6875,2.59375,2.65625,555200,0,0.0,1.6885806916426513e-07
1993-05-19,2.65625,2.65625,2.5625,2.609375,408800,0,0.0,2.293297455968689e-07
1993-05-20,2.625,2.625,2.5625,2.5625,428000,0,0.0,1.4602803738317758e-07
1993-05-21,2.5625,2.625,2.5625,2.59375,144000,0,0.0,4.340277777777778e-07
1993-05-24,2.625,2.625,2.5625,2.5625,16800,0,0.0,3.7202380952380952e-06
1993-05-25,2.5625,2.625,2.5625,2.59375,62400,0,0.0,1.001602564102564e-06
1993-05-26,2.625,2.625,2.5625,2.5625,206400,0,0.0,3.0281007751937986e-07
1993-05-27,2.59375,2.625,2.5625,2.625,196800,0,0.0,3.1758130081300813e-07
1993-05-28,2.625,2.65625,2.5625,2.65625,175200,0,0.0,5.351027397260274e-07
1993-06-01,2.65625,2.75,2.65625,2.65625,525600,0,0.0,1.783675799086758e-07
1993-06-02,2.71875,2.78125,2.65625,2.78125,302400,0,0.0,4.133597883597884e-07
1993-06-03,2.8125,2.8125,2.75,2.8125,341600,0,0.0,1.8296252927400468e-07
1993-06-04,2.8125,2.8125,2.75,2.75,86400,0,0.0,7.233796296296296e-07
1993-06-07,2.8125,2.8125,2.75,2.8125,288000,0,0.0,2.170138888888889e-07
1993-06-08,2.8125,2.8125,2.75,2.8125,616800,0,0.0,1.0132944228274969e-07
1993-06-09,2.75,2.8125,2.75,2.8125,96800,0,0.0,6.456611570247934e-07
1993-06-10,2.78125,2.90625,2.78125,2.84375,1295200,0,0.0,9.651019147621988e-08
1993-06-11,2.875,2.90625,2.84375,2.875,213600,0,0.0,2.926029962546817e-07
1993-06-14,2.90625,2.90625,2.84375,2.84375,80800,0,0.0,7.735148514851486e-07
1993-06-15,2.90625,2.90625,2.75,2.8125,663200,0,0.0,2.3560012062726178e-07
1993-06-16,2.75,2.8125,2.75,2.75,353600,0,0.0,1.7675339366515837e-07
1993-06-17,2.75,2.8125,2.75,2.75,135200,0,0.0,4.6227810650887574e-07
1993-06-18,2.8125,2.90625,2.75,2.875,132800,0,0.0,1.176581325301205e-06
1993-06-21,2.84375,2.9375,2.84375,2.890625,365600,0,0.0,2.564277899343545e-07
1993-06-22,2.9375,2.9375,2.875,2.9375,92000,0,0.0,6.793478260869566e-07
1993-06-23,2.9375,2.9375,2.875,2.9375,132000,0,0.0,4.734848484848485e-07
1993-06-24,2.9375,2.9375,2.875,2.9375,39200,0,0.0,1.5943877551020409e-06
1993-06-25,2.9375,2.9375,2.84375,2.9375,167200,0,0.0,5.607057416267943e-07
1993-06-28,2.9375,2.96875,2.84375,2.96875,244800,0,0.0,5.106209150326798e-07
1993-06-29,2.90625,3.125,2.90625,3.03125,301600,0,0.0,7.252984084880637e-07
1993-06-30,3.09375,3.09375,2.9375,3.0,194400,0,0.0,8.037551440329218e-07
1993-07-01,3.0,3.0,2.90625,2.90625,49600,0,0.0,1.890120967741936e-06
1993-07-02,2.90625,2.96875,2.875,2.9375,37600,0,0.0,2.493351063829787e-06
1993-07-06,2.9375,2.9375,2.9375,2.9375,18400,0,0.0,0.0
1993-07-07,2.9375,2.9375,2.875,2.9375,44000,0,0.0,1.4204545454545454e-06
1993-07-08,2.9375,3.0,2.9375,2.9375,62400,0,0.0,1.001602564102564e-06
1993-07-09,3.0,3.0,2.9375,3.0,6400,0,0.0,9.765625e-06
1993-07-12,3.0,3.0,2.9375,3.0,53600,0,0.0,1.166044776119403e-06
1993-07-13,2.9375,3.0,2.9375,2.96875,44800,0,0.0,1.3950892857142855e-06
1993-07-14,3.0,3.0,3.0,3.0,4000,0,0.0,0.0
1993-07-15,3.0,3.0,2.9375,2.9375,4800,0,0.0,1.3020833333333334e-05
1993-07-16,3.0,3.0,2.9375,2.9375,30400,0,0.0,2.055921052631579e-06
1993-07-19,2.9375,2.96875,2.90625,2.90625,161600,0,0.0,3.867574257425743e-07
1993-07-20,2.96875,2.96875,2.90625,2.90625,148800,0,0.0,4.200268817204301e-07
1993-07-21,2.90625,3.0,2.90625,3.0,13600,0,0.0,6.893382352941177e-06
1993-07-22,3.0,3.0,2.90625,2.90625,78400,0,0.0,1.1957908163265306e-06
1993-07-23,2.96875,2.96875,2.90625,2.9375,100800,0,0.0,6.200396825396825e-07
1993-07-26,2.9375,2.96875,2.9375,2.9375,34400,0,0.0,9.084302325581396e-07
1993-07-27,2.9375,2.96875,2.9375,2.9375,33600,0,0.0,9.300595238095238e-07
1993-07-28,3.0,3.0,2.9375,2.9375,139200,0,0.0,4.489942528735632e-07
1993-07-29,3.0,3.0,2.9375,2.9375,11200,0,0.0,5.580357142857143e-06
1993-07-30,2.9375,3.03125,2.9375,2.96875,220000,0,0.0,4.261363636363637e-07
1993-08-02,2.9375,2.96875,2.90625,2.96875,129600,0,0.0,4.822530864197531e-07
1993-08-03,2.96875,2.96875,2.90625,2.96875,192000,0,0.0,3.255208333333333e-07
1993-08-04,2.96875,2.96875,2.90625,2.90625,71200,0,0.0,8.77808988764045e-07
1993-08-05,2.96875,2.96875,2.90625,2.9375,160800,0,0.0,3.88681592039801e-07
1993-08-06,2.96875,2.96875,2.90625,2.90625,338400,0,0.0,1.8469267139479906e-07
1993-08-09,2.875,2.9375,2.875,2.890625,67200,0,0.0,9.300595238095238e-07
1993-08-10,2.875,2.921875,2.875,2.875,638400,0,0.0,7.342575187969924e-08
1993-08-11,2.9375,2.9375,2.875,2.9375,16800,0,0.0,3.7202380952380952e-06
1993-08-12,2.875,2.96875,2.875,2.96875,301600,0,0.0,3.10842175066313e-07
1993-08-13,2.90625,3.0,2.90625,3.0,52000,0,0.0,1.802884615384616e-06
1993-08-16,3.0,3.0,2.90625,2.9375,320800,0,0.0,2.922381546134663e-07
1993-08-17,3.0,3.0,2.90625,3.0,72800,0,0.0,1.2877747252747253e-06
1993-08-18,2.90625,3.0,2.90625,2.953125,40800,0,0.0,2.297794117647058e-06
1993-08-19,2.90625,3.0,2.90625,2.90625,19200,0,0.0,4.8828125e-06
1993-08-20,3.0,3.0,2.90625,2.90625,34400,0,0.0,2.7252906976744187e-06
1993-08-23,2.90625,2.921875,2.90625,2.90625,412000,0,0.0,3.79247572815534e-08
1993-08-24,2.90625,2.96875,2.90625,2.96875,554400,0,0.0,1.1273448773448773e-07
1993-08-25,2.96875,2.96875,2.90625,2.921875,159200,0,0.0,3.925879396984925e-07
1993-08-26,2.90625,2.96875,2.90625,2.96875,35200,0,0.0,1.7755681818181818e-06
1993-08-27,2.96875,2.96875,2.96875,2.96875,3200,0,0.0,0.0
1993-08-30,2.90625,2.96875,2.875,2.875,187200,0,0.0,5.00801282051282e-07
1993-08-31,2.875,2.9375,2.875,2.9375,5600,0,0.0,1.1160714285714286e-05
1993-09-01,2.875,2.921875,2.84375,2.875,496800,0,0.0,1.5725644122383253e-07
1993-09-02,2.90625,2.90625,2.8125,2.84375,72800,0,0.0,1.2877747252747253e-06
1993-09-03,2.90625,2.90625,2.84375,2.90625,21600,0,0.0,2.8935185185185184e-06
1993-09-07,2.90625,2.90625,2.84375,2.84375,38400,0,0.0,1.6276041666666668e-06
1993-09-08,2.84375,2.875,2.796875,2.84375,150400,0,0.0,5.194481382978723e-07
1993-09-09,2.78125,2.84375,2.78125,2.84375,176000,0,0.0,3.551136363636364e-07
1993-09-10,2.84375,2.90625,2.8125,2.90625,145600,0,0.0,6.438873626373626e-07
1993-09-13,2.90625,2.90625,2.84375,2.84375,10400,0,0.0,6.009615384615385e-06
1993-09-14,2.84375,2.9375,2.84375,2.9375,108800,0,0.0,8.616727941176471e-07
1993-09-15,2.875,2.9375,2.875,2.9375,31200,0,0.0,2.003205128205128e-06
1993-09-16,2.9375,2.9375,2.875,2.9375,40800,0,0.0,1.5318627450980392e-06
1993-09-17,2.9375,2.9375,2.875,2.9375,24800,0,0.0,2.5201612903225806e-06
1993-09-20,2.9375,2.96875,2.875,2.96875,144800,0,0.0,6.474447513812155e-07
1993-09-21,2.96875,3.0,2.9375,3.0,152000,0,0.0,4.111842105263158e-07
1993-09-22,2.9375,3.0,2.9375,2.9375,208000,0,0.0,3.0048076923076924e-07
1993-09-23,3.0,3.0625,2.9375,3.03125,478400,0,0.0,2.612876254180602e-07
1993-09-24,3.125,3.125,3.03125,3.03125,47200,0,0.0,1.986228813559322e-06
1993-09-27,3.09375,3.09375,3.03125,3.03125,85600,0,0.0,7.301401869158878e-07
1993-09-28,3.03125,3.09375,3.03125,3.09375,664000,0,0.0,9.41265060240964e-08
