Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
1991-04-02,22.0,23.25,20.75,21.125,2294100,0,0,1.0897519724510702e-06
1991-04-03,21.25,21.25,17.0,18.25,1716100,0,0,2.476545655847561e-06
1991-04-04,18.25,19.5,17.75,18.0,810600,0,0,2.1588946459412782e-06
1991-04-05,18.5,18.5,17.75,17.75,238200,0,0,3.1486146095717885e-06
1991-04-08,18.0,18.0,17.5,17.625,200100,0,0,2.498750624687656e-06
1991-04-09,18.0,18.0,16.0,16.0,319000,0,0,6.269592476489028e-06
1991-04-10,16.0,16.25,15.5,15.875,582100,0,0,1.2884384126438755e-06
1991-04-11,16.0,16.5,14.75,14.75,319400,0,0,5.479023168440826e-06
1991-04-12,14.75,16.5,14.75,16.25,329700,0,0,5.307855626326964e-06
1991-04-15,16.5,16.75,16.0,16.125,171400,0,0,4.375729288214702e-06
1991-04-16,16.375,16.375,16.0,16.125,130500,0,0,2.873563218390805e-06
1991-04-17,16.375,16.375,15.25,15.25,187600,0,0,5.9968017057569295e-06
1991-04-18,15.5,15.5,14.5,15.25,320300,0,0,3.1220730565095223e-06
1991-04-19,15.25,15.25,14.625,14.875,68900,0,0,9.0711175616836e-06
1991-04-22,14.875,14.875,14.125,14.125,79000,0,0,9.49367088607595e-06
1991-04-23,14.125,14.75,14.125,14.25,335000,0,0,1.8656716417910448e-06
1991-04-24,14.625,14.75,14.375,14.75,90500,0,0,4.143646408839779e-06
1991-04-25,14.375,14.75,14.375,14.5,115400,0,0,3.249566724436742e-06
1991-04-26,14.5,14.5,14.0,14.375,122600,0,0,4.078303425774878e-06
1991-04-29,14.375,14.375,12.375,12.5,183700,0,0,1.0887316276537831e-05
1991-04-30,13.0,13.0,12.0,12.625,330000,0,0,3.0303030303030305e-06
1991-05-01,12.75,13.875,12.5,13.5,237800,0,0,5.782169890664424e-06
1991-05-02,14.0,14.125,13.25,13.5,153900,0,0,5.685510071474984e-06
1991-05-03,13.25,13.625,13.0,13.375,65300,0,0,9.571209800918836e-06
1991-05-06,13.375,13.625,12.75,13.625,163700,0,0,5.345143555284056e-06
1991-05-07,13.875,14.125,13.375,13.375,146100,0,0,5.1334702258726895e-06
1991-05-08,14.0,14.125,13.25,13.25,162600,0,0,5.381303813038131e-06
1991-05-09,13.625,13.625,13.25,13.625,25700,0,0,1.4591439688715953e-05
1991-05-10,13.25,13.625,12.75,12.75,125200,0,0,6.988817891373802e-06
1991-05-13,13.0,13.0,11.375,11.5,137900,0,0,1.1783901377810008e-05
1991-05-14,11.75,12.125,11.5,11.875,173200,0,0,3.608545034642032e-06
1991-05-15,12.125,12.125,10.25,10.75,186200,0,0,1.0069817400644468e-05
1991-05-16,10.75,11.5,10.375,11.25,230000,0,0,4.891304347826087e-06
1991-05-17,11.625,12.125,11.125,11.75,75000,0,0,1.3333333333333332e-05
1991-05-20,11.75,11.875,11.0,11.375,83000,0,0,1.0542168674698796e-05
1991-05-21,11.375,12.25,11.25,12.25,139700,0,0,7.158196134574088e-06
1991-05-22,11.875,12.375,11.625,12.125,184200,0,0,4.071661237785016e-06
1991-05-23,12.5,12.75,11.875,11.875,135900,0,0,6.438557763061074e-06
1991-05-24,11.875,12.25,11.875,12.25,14600,0,0,2.568493150684932e-05
1991-05-28,12.25,12.25,11.875,12.0,16900,0,0,2.2189349112426034e-05
1991-05-29,12.0,12.75,12.0,12.625,245700,0,0,3.0525030525030525e-06
1991-05-30,12.875,13.25,12.125,12.25,253200,0,0,4.443127962085308e-06
1991-05-31,12.5,12.5,12.125,12.25,85200,0,0,4.401408450704226e-06
1991-06-03,12.5,12.5,11.5,11.75,102400,0,0,9.765625e-06
1991-06-04,12.0,12.125,11.625,12.125,59800,0,0,8.361204013377926e-06
1991-06-05,12.125,12.125,11.875,11.875,48900,0,0,5.112474437627812e-06
1991-06-06,11.875,12.125,11.875,11.875,13200,0,0,1.893939393939394e-05
1991-06-07,12.125,12.125,11.5,11.625,32500,0,0,1.923076923076923e-05
1991-06-10,11.5,11.875,11.125,11.625,69400,0,0,1.0806916426512968e-05
1991-06-11,11.625,11.625,11.125,11.625,26800,0,0,1.8656716417910448e-05
1991-06-12,11.5,11.5,10.75,11.0,113400,0,0,6.613756613756614e-06
1991-06-13,11.0,11.0,10.25,10.375,59600,0,0,1.2583892617449664e-05
1991-06-14,10.75,11.0,10.375,11.0,152800,0,0,4.090314136125655e-06
1991-06-17,10.875,11.25,10.875,10.875,20400,0,0,1.838235294117647e-05
1991-06-18,10.875,11.5,10.875,11.25,130100,0,0,4.803996925441968e-06
1991-06-19,11.5,11.5,11.25,11.5,27700,0,0,9.025270758122744e-06
1991-06-20,11.5,12.0,11.0,12.0,58900,0,0,1.697792869269949e-05
1991-06-21,12.0,12.25,11.75,12.0,48200,0,0,1.037344398340249e-05
1991-06-24,11.75,12.0,11.0,11.5,78300,0,0,1.277139208173691e-05
1991-06-25,11.0,11.5,11.0,11.125,48000,0,0,1.0416666666666666e-05
1991-06-26,11.0,11.25,11.0,11.0,91800,0,0,2.7233115468409584e-06
1991-06-27,11.25,11.25,11.0,11.25,16200,0,0,1.54320987654321e-05
1991-06-28,11.0,11.25,10.75,11.125,59700,0,0,8.375209380234507e-06
1991-07-01,10.75,11.125,10.75,11.125,15900,0,0,2.358490566037736e-05
1991-07-02,11.125,11.125,10.375,10.625,43900,0,0,1.7084282460136675e-05
1991-07-03,10.75,10.75,10.375,10.5,38200,0,0,9.81675392670157e-06
1991-07-05,10.375,10.75,10.25,10.25,43900,0,0,1.1389521640091117e-05
1991-07-08,10.0,10.5,9.875,10.25,44400,0,0,1.4076576576576577e-05
1991-07-09,10.0,10.875,10.0,10.75,45100,0,0,1.9401330376940133e-05
1991-07-10,10.5,11.0,10.5,10.5,11500,0,0,4.347826086956522e-05
1991-07-11,10.5,11.0,10.5,10.875,15400,0,0,3.246753246753247e-05
1991-07-12,10.875,10.875,10.5,10.5,40600,0,0,9.236453201970444e-06
1991-07-15,10.5,11.25,10.5,11.25,36800,0,0,2.0380434782608697e-05
1991-07-16,11.5,11.5,10.5,10.75,39000,0,0,2.564102564102564e-05
1991-07-17,10.5,10.875,10.5,10.75,47500,0,0,7.894736842105263e-06
1991-07-18,10.75,11.0,10.625,11.0,38400,0,0,9.765625e-06
1991-07-19,10.625,11.0,10.625,11.0,14300,0,0,2.6223776223776224e-05
1991-07-22,11.0,11.0,10.5,10.5,68700,0,0,7.2780203784570594e-06
1991-07-23,10.5,10.875,10.25,10.5,9700,0,0,6.443298969072165e-05
1991-07-24,10.75,10.75,10.25,10.25,14400,0,0,3.472222222222222e-05
