Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
1992-06-26,0.2635311003038535,0.27921728383787,0.2572569572002677,0.2698060572147369,224358400,0.0,0.0,9.788056358755555e-11
1992-06-29,0.2729430820996126,0.2949042197526004,0.2666681499219679,0.2886292636394501,58732800,0.0,0.0,4.807547031749292e-10
1992-06-30,0.2949042457936411,0.2980413052558792,0.2760801895991565,0.2792172729969024,34777600,0.0,0.0,6.314730072438226e-10
1992-07-01,0.2823551815285862,0.2886293251721224,0.2729431402881588,0.2854922413825989,18316800,0.0,0.0,8.56382385785924e-10
1992-07-02,0.2886293251721224,0.2886293251721224,0.2792173078672058,0.2854922413825989,13996800,0.0,0.0,6.724406510714333e-10
1992-07-06,0.2823551815285862,0.2854922413825989,0.2792173078672058,0.2854922413825989,5753600,0.0,0.0,1.090609968609757e-09
1992-07-07,0.2854922413825989,0.2854922413825989,0.2792173078672058,0.2854922413825989,10662400,0.0,0.0,5.885104212365978e-10
1992-07-08,0.2854922057286448,0.2854922057286448,0.2760801895991565,0.2792172729969024,15500800,0.0,0.0,6.071955079407765e-10
1992-07-09,0.2823551213334939,0.2886292636394501,0.2792172483410745,0.2886292636394501,3923200,0.0,0.0,2.399065889675672e-09
1992-07-10,0.2886293213575278,0.2949042787255003,0.2823551777969121,0.2917664051055908,11040000,0.0,0.0,1.1366939246909582e-09
1992-07-13,0.2917663809731888,0.2980413138866424,0.2886292974845982,0.2980413138866424,5996800,0.0,0.0,1.569506470458277e-09
1992-07-14,0.2980413138866424,0.3074533542241952,0.2949042543335605,0.2980413138866424,17062400,0.0,0.0,7.354826923899736e-10
1992-07-15,0.3011784070826222,0.3074533641338348,0.2980413234929192,0.3074533641338348,4992000,0.0,0.0,1.885424807875723e-09
1992-07-16,0.3074532586460871,0.3325514506250723,0.304315386261187,0.32784503698349,17062400,0.0,0.0,1.6548706139748987e-09
1992-07-17,0.3294136401267989,0.351374753718233,0.3200024147541284,0.3451006114482879,15667200,0.0,0.0,2.002421553570812e-09
1992-07-20,0.3435312196782089,0.3513747164753591,0.335688536688162,0.3482376337051391,19744000,0.0,0.0,7.944783117502556e-10
1992-07-21,0.3513747751712799,0.3576497316315295,0.3451006325182695,0.3513747751712799,7782400,0.0,0.0,1.612497316156972e-09
1992-07-22,0.3482376337051391,0.3513747164753591,0.338825619458382,0.3482376337051391,10892800,0.0,0.0,1.152054294302392e-09
1992-07-23,0.3482377490193747,0.3545119166374206,0.3419628154649778,0.3545119166374206,10387200,0.0,0.0,1.2081312743032571e-09
1992-07-24,0.3482376744705999,0.3607867729566018,0.345100615268652,0.3576497137546539,7052800,0.0,0.0,2.2241035741761915e-09
1992-07-27,0.360786808144431,0.3733359078543567,0.3576497486365231,0.365492433309555,11430400,0.0,0.0,1.3723193604627676e-09
1992-07-28,0.3701988307447895,0.3733358901035412,0.3451006325182695,0.3513747751712799,18009600,0.0,0.0,1.5677892671281802e-09
1992-07-29,0.3513747018897455,0.3513747018897455,0.3262765088976208,0.3341200053691864,30848000,0.0,0.0,8.136084346513443e-10
1992-07-30,0.3294136362048715,0.3356885682717926,0.3231394700741197,0.332551509141922,11737600,0.0,0.0,1.0691366376152631e-09
1992-07-31,0.3325514640491868,0.3356885227536839,0.3262765088976208,0.3341200053691864,6886400,0.0,0.0,1.3667538708270075e-09
1992-08-03,0.3294135559376245,0.3419626510774958,0.3294135559376245,0.3372570276260376,4832000,0.0,0.0,2.597080947821034e-09
1992-08-04,0.3388256503054442,0.3451006062887634,0.3309821527942134,0.3435312509536743,6822400,0.0,0.0,2.069426227507921e-09
1992-08-05,0.34196259654719,0.34196259654719,0.3231393398069833,0.329413503408432,9516800,0.0,0.0,1.977897690421858e-09
1992-08-06,0.3262764216077076,0.329413503408432,0.3200022819417545,0.329413503408432,3673600,0.0,0.0,2.561852533394339e-09
1992-08-07,0.3294135983655895,0.3419626951217651,0.3200023741860213,0.3419626951217651,8825600,0.0,0.0,2.488252462806358e-09
1992-08-10,0.335688529711718,0.3482376264678936,0.3325514709421969,0.3419626951217651,5888000,0.0,0.0,2.6640889140109863e-09
1992-08-11,0.3482376706155077,0.3482376706155077,0.3388256553711533,0.3451006114482879,4147200,0.0,0.0,2.269486700509843e-09
1992-08-12,0.3388255147464656,0.34196259654719,0.3231393398069833,0.329413503408432,12736000,0.0,0.0,1.4779567164107051e-09
1992-08-13,0.329413503408432,0.3341199159808747,0.3231393398069833,0.329413503408432,48320000,0.0,0.0,2.27247023466296e-10
1992-08-14,0.326276505771826,0.3325514608632766,0.3074532681115977,0.3105903267860412,17849600,0.0,0.0,1.406092727662183e-09
1992-08-17,0.3137274669284432,0.316864550113678,0.3074533244934798,0.316864550113678,2681600,0.0,0.0,3.509556093450976e-09
1992-08-18,0.3074533257907456,0.313727468252182,0.3074533257907456,0.313727468252182,2860800,0.0,0.0,2.193142638924925e-09
1992-08-19,0.3074533257907456,0.313727468252182,0.3074533257907456,0.313727468252182,2380800,0.0,0.0,2.635308493546886e-09
1992-08-20,0.3137274093959866,0.3215709057924098,0.3043153956300924,0.3105903267860412,2489600,0.0,0.0,6.9310371795940544e-09
1992-08-21,0.3105903800391461,0.3105903800391461,0.304315447807312,0.304315447807312,2048000,0.0,0.0,3.063931753825226e-09
1992-08-24,0.3074533641338348,0.3105904237880285,0.3011784070826222,0.3074533641338348,6905600,0.0,0.0,1.3629542263389583e-09
1992-08-25,0.3011783646594896,0.3074533208268296,0.3011783646594896,0.304315447807312,4128000,0.0,0.0,1.5200959707703423e-09
1992-08-26,0.3011783063411712,0.3074532612934675,0.2886292102436225,0.3011783063411712,19385600,0.0,0.0,9.710326763084462e-10
1992-08-27,0.3043154906723252,0.3105904237880285,0.3011784070826222,0.3074533641338348,6169600,0.0,0.0,1.5255473135059502e-09
1992-08-28,0.3074533257907456,0.313727468252182,0.3043154527205661,0.313727468252182,3417600,0.0,0.0,2.7539839453464163e-09
1992-08-31,0.3137274239959183,0.316864506751854,0.3074532824195497,0.3121588826179504,4441600,0.0,0.0,2.118881558966216e-09
