Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
2015-12-09,21.0,21.0,21.0,21.0,0,0,0,
2015-12-10,27.670000076293945,28.5,26.5,27.780000686645508,15009100,0,0,1.332524934872844e-07
2015-12-11,27.850000381469727,28.5,27.479999542236328,27.5,2286100,0,0,4.461749082558385e-07
2015-12-14,27.5,27.86000061035156,26.11000061035156,26.26000022888184,1223500,0,0,1.4303228442991415e-06
2015-12-15,26.38999938964844,26.948999404907227,26.299999237060547,26.5,1086400,0,0,5.973860160591676e-07
2015-12-16,26.75,26.950000762939453,26.46999931335449,26.540000915527344,483700,0,0,9.923536274239424e-07
2015-12-17,26.940000534057617,28.18000030517578,26.64999961853028,28.01000022888184,626900,0,0,2.4405817301730865e-06
2015-12-18,27.89999961853028,28.239999771118164,27.65999984741211,28.21999931335449,945200,0,0,6.13626664945043e-07
2015-12-21,28.84000015258789,29.86000061035156,28.75,29.350000381469727,876700,0,0,1.266112250885779e-06
2015-12-22,30.15999984741211,30.739999771118164,29.559999465942383,30.100000381469727,954100,0,0,1.2367679542771002e-06
2015-12-23,30.56999969482422,30.56999969482422,28.350000381469727,28.489999771118164,1071300,0,0,2.0722480288943266e-06
2015-12-24,28.32999992370605,28.88999938964844,27.51000022888184,28.209999084472656,470800,0,0,2.9311791859953304e-06
2015-12-28,28.280000686645508,28.93000030517578,28.0,28.89999961853028,342600,0,0,2.7145367926905462e-06
2015-12-29,29.209999084472656,31.309999465942383,29.209999084472656,31.100000381469727,888100,0,0,2.364599010775505e-06
2015-12-30,31.459999084472656,31.459999084472656,30.0,30.209999084472656,297400,0,0,4.909210102463538e-06
2015-12-31,30.21999931335449,31.0,29.989999771118164,30.07999992370605,304900,0,0,3.312562246250692e-06
2016-01-04,28.940000534057617,29.030000686645508,27.200000762939453,27.40999984741211,1312000,0,0,1.3948170150198589e-06
2016-01-05,27.90999984741211,28.0,26.270000457763672,26.770000457763672,917700,0,0,1.885147152921792e-06
2016-01-06,26.459999084472656,27.229999542236328,26.020000457763672,27.049999237060547,619000,0,0,1.954764272169073e-06
2016-01-07,26.549999237060547,27.319000244140625,26.459999084472656,26.96999931335449,661500,0,0,1.2985656230808297e-06
2016-01-08,27.059999465942383,27.76000022888184,26.93000030517578,27.170000076293945,455900,0,0,1.820574520083472e-06
2016-01-11,27.100000381469727,27.5,26.950000762939453,27.1200008392334,808100,0,0,6.806078914250054e-07
2016-01-12,27.200000762939453,27.427000045776367,26.63999938964844,26.81999969482422,809000,0,0,9.72806744286687e-07
2016-01-13,27.0,27.200000762939453,26.0,26.729999542236328,1231600,0,0,9.743429384048824e-07
2016-01-14,26.68000030517578,27.13999938964844,25.75,26.84000015258789,485200,0,0,2.8647967634963675e-06
2016-01-15,26.040000915527344,26.315000534057617,24.520000457763672,25.190000534057617,1183300,0,0,1.5169442037471017e-06
2016-01-19,25.299999237060547,25.709999084472656,23.020000457763672,24.020000457763672,1739400,0,0,1.5465095013849513e-06
2016-01-20,23.209999084472656,23.65999984741211,21.6200008392334,22.6299991607666,1944800,0,0,1.0489505389647834e-06
2016-01-21,22.71999931335449,25.07999992370605,22.030000686645508,24.239999771118164,759600,0,0,4.015270190969651e-06
2016-01-22,25.11000061035156,25.325000762939453,24.270000457763672,24.61000061035156,673100,0,0,1.5673752862513464e-06
2016-01-25,24.5,24.63599967956543,23.450000762939453,23.670000076293945,581700,0,0,2.03884977931232e-06
2016-01-26,23.68000030517578,24.200000762939453,22.57999992370605,24.01000022888184,633600,0,0,2.556819506365844e-06
2016-01-27,24.020000457763672,24.665000915527344,22.1299991607666,22.280000686645508,427200,0,0,5.933992871630951e-06
2016-01-28,22.71999931335449,22.965999603271484,20.170000076293945,20.38999938964844,1331100,0,0,2.10051801290477e-06
2016-01-29,20.989999771118164,21.75,20.520000457763672,20.770000457763672,1261200,0,0,9.75261292607301e-07
2016-02-01,20.690000534057617,21.21999931335449,20.065000534057617,21.170000076293945,753800,0,0,1.532235048151864e-06
2016-02-02,21.040000915527344,21.81999969482422,20.670000076293945,21.34000015258789,641000,0,0,1.7940711677539366e-06
2016-02-03,21.93000030517578,24.5,21.1200008392334,23.770000457763672,550100,0,0,6.144335867599712e-06
2016-02-04,24.0,24.8799991607666,23.350000381469727,24.0,1618100,0,0,9.455526724534176e-07
2016-02-05,24.0,24.059999465942383,17.549999237060547,20.190000534057617,3629800,0,0,1.7934873075326013e-06
2016-02-08,19.8799991607666,19.979999542236328,16.920000076293945,17.920000076293945,3170500,0,0,9.65147284637244e-07
2016-02-09,17.850000381469727,19.459999084472656,17.6200008392334,18.920000076293945,1934200,0,0,9.512967869089328e-07
2016-02-10,19.040000915527344,21.170000076293945,19.040000915527344,20.059999465942383,1251400,0,0,1.702092984470674e-06
2016-02-11,19.40999984741211,20.3799991607666,19.200000762939453,20.350000381469727,714600,0,0,1.65127119763105e-06
2016-02-12,20.479999542236328,20.89999961853028,19.690000534057617,20.100000381469727,712200,0,0,1.698959680528863e-06
2016-02-16,20.39999961853028,23.770000457763672,20.39999961853028,22.18000030517578,1763100,0,0,1.9114065221674315e-06
2016-02-17,22.32999992370605,23.68000030517578,22.31999969482422,23.350000381469727,976500,0,0,1.3927297597046212e-06
2016-02-18,23.239999771118164,23.93000030517578,21.88999938964844,22.0,853200,0,0,2.390999666581509e-06
2016-02-19,21.59000015258789,22.68000030517578,20.920000076293945,22.1299991607666,920300,0,0,1.912420111791629e-06
2016-02-22,22.100000381469727,22.989999771118164,21.89999961853028,22.11000061035156,623200,0,0,1.7490374720601585e-06
2016-02-23,21.8799991607666,22.600000381469727,21.8799991607666,22.51000022888184,819800,0,0,8.782644799989327e-07
2016-02-24,22.34000015258789,22.670000076293945,21.690000534057617,22.559999465942383,463000,0,0,2.1166296808560004e-06
2016-02-25,23.01000022888184,23.55500030517578,22.3700008392334,23.53499984741211,418900,0,0,2.8288361564630765e-06
2016-02-26,23.46999931335449,23.670000076293945,22.809999465942383,23.299999237060547,704400,0,0,1.220898083974393e-06
