Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
1991-07-24,4.5625,4.625,4.5,4.5,2001000,0,0.0,6.24687656171914e-08
1991-07-25,4.5,4.625,4.5,4.5625,314600,0,0.0,3.973299427844882e-07
1991-07-26,4.625,4.625,4.5,4.5,2001000,0,0.0,6.24687656171914e-08
1991-07-29,4.625,4.625,4.5,4.625,75400,0,0.0,1.6578249336870028e-06
1991-07-30,4.625,4.625,4.5,4.5,354400,0,0.0,3.5270880361173814e-07
1991-07-31,4.625,4.625,4.5,4.5,372000,0,0.0,3.360215053763441e-07
1991-08-01,4.5,4.5625,4.5,4.5,157000,0,0.0,3.980891719745223e-07
1991-08-02,4.625,4.625,4.5625,4.5625,220800,0,0.0,2.8306159420289854e-07
1991-08-05,4.625,4.625,4.5,4.625,103800,0,0.0,1.2042389210019269e-06
1991-08-06,4.5625,4.625,4.5625,4.625,124600,0,0.0,5.016051364365971e-07
1991-08-07,4.625,4.625,4.5,4.5,222400,0,0.0,5.620503597122302e-07
1991-08-08,4.625,4.625,4.5,4.5625,97000,0,0.0,1.288659793814433e-06
1991-08-09,4.5,4.625,4.5,4.5,172000,0,0.0,7.267441860465116e-07
1991-08-12,4.5,4.625,4.5,4.5,41600,0,0.0,3.0048076923076923e-06
1991-08-13,4.625,4.625,4.5,4.5,63000,0,0.0,1.984126984126984e-06
1991-08-14,4.625,4.625,4.5625,4.625,102200,0,0.0,6.11545988258317e-07
1991-08-15,4.5,4.625,4.5,4.5,31800,0,0.0,3.930817610062893e-06
1991-08-16,4.625,4.625,4.5,4.5,69800,0,0.0,1.7908309455587391e-06
1991-08-19,4.4375,4.5,4.1875,4.375,75400,0,0.0,4.144562334217506e-06
1991-08-20,4.375,4.4375,4.25,4.375,57800,0,0.0,3.2439446366782008e-06
1991-08-21,4.4375,4.4375,4.3125,4.4375,14000,0,0.0,8.92857142857143e-06
1991-08-22,4.4375,4.5,4.3125,4.375,41400,0,0.0,4.528985507246377e-06
1991-08-23,4.5,4.5,4.3125,4.3125,17000,0,0.0,1.1029411764705885e-05
1991-08-26,4.5,4.5625,4.3125,4.5625,77600,0,0.0,3.221649484536082e-06
1991-08-27,4.5625,4.6875,4.5,4.625,72600,0,0.0,2.5826446280991737e-06
1991-08-28,4.625,4.6875,4.5,4.6875,73400,0,0.0,2.5544959128065395e-06
1991-08-29,4.6875,4.9375,4.5625,4.9375,178000,0,0.0,2.106741573033708e-06
1991-08-30,4.9375,5.1875,4.8125,5.1875,145800,0,0.0,2.57201646090535e-06
1991-09-03,5.1875,5.5,5.125,5.125,326200,0,0.0,1.1496014714898835e-06
1991-09-04,5.125,5.25,5.0,5.0,139000,0,0.0,1.7985611510791366e-06
1991-09-05,5.0,5.1875,5.0,5.0,145000,0,0.0,1.293103448275862e-06
1991-09-06,5.125,5.125,5.0,5.0,35800,0,0.0,3.491620111731844e-06
1991-09-09,5.0,5.125,4.875,4.875,33800,0,0.0,7.396449704142012e-06
1991-09-10,5.0625,5.0625,4.875,5.0625,30200,0,0.0,6.208609271523179e-06
1991-09-11,4.875,5.125,4.875,5.0,167400,0,0.0,1.4934289127837516e-06
1991-09-12,5.25,5.3125,5.0625,5.1875,729400,0,0.0,3.427474636687689e-07
1991-09-13,5.375,5.5625,5.375,5.5625,110600,0,0.0,1.6952983725135623e-06
1991-09-16,5.375,5.5625,5.375,5.5625,230800,0,0.0,8.123916811091855e-07
1991-09-17,5.5625,5.5625,5.4375,5.5,90200,0,0.0,1.385809312638581e-06
1991-09-18,5.5625,5.6875,5.5,5.6875,82800,0,0.0,2.2644927536231883e-06
1991-09-19,5.5625,6.25,5.5625,6.1875,443200,0,0.0,1.5512184115523466e-06
1991-09-20,6.25,6.875,6.1875,6.625,290400,0,0.0,2.3674242424242424e-06
1991-09-23,6.5625,6.6875,6.375,6.5625,492200,0,0.0,6.349045103616416e-07
1991-09-24,6.375,6.5625,6.375,6.5625,28400,0,0.0,6.602112676056338e-06
1991-09-25,6.5625,7.0,6.375,7.0,106400,0,0.0,5.87406015037594e-06
1991-09-26,7.0,7.625,6.875,7.625,230400,0,0.0,3.255208333333333e-06
1991-09-27,7.625,7.625,7.375,7.375,277000,0,0.0,9.025270758122744e-07
1991-09-30,7.5,7.5,7.1875,7.375,117600,0,0.0,2.657312925170068e-06
1991-10-01,7.375,7.875,7.25,7.8125,87800,0,0.0,7.118451025056948e-06
1991-10-02,7.8125,7.8125,7.6875,7.8125,144400,0,0.0,8.656509695290858e-07
1991-10-03,7.8125,7.8125,7.375,7.375,532000,0,0.0,8.223684210526316e-07
1991-10-04,7.5,7.5,7.25,7.5,86600,0,0.0,2.886836027713626e-06
1991-10-07,7.5,7.5,6.625,6.625,237800,0,0.0,3.679562657695543e-06
1991-10-08,6.625,6.875,6.625,6.8125,157000,0,0.0,1.5923566878980892e-06
1991-10-09,6.6875,6.875,6.6875,6.875,41200,0,0.0,4.550970873786408e-06
1991-10-10,6.875,6.875,6.6875,6.875,35000,0,0.0,5.357142857142857e-06
1991-10-11,6.875,6.875,6.75,6.8125,12800,0,0.0,9.765625e-06
1991-10-14,6.875,6.875,6.75,6.875,11400,0,0.0,1.0964912280701754e-05
1991-10-15,6.875,7.375,6.875,7.25,97600,0,0.0,5.122950819672131e-06
1991-10-16,7.4375,8.0,7.4375,7.8125,164800,0,0.0,3.413228155339806e-06
1991-10-17,7.5,7.625,7.4375,7.5,120200,0,0.0,1.559900166389351e-06
1991-10-18,7.4375,7.625,7.4375,7.625,44200,0,0.0,4.242081447963801e-06
1991-10-21,7.625,7.625,7.0,7.25,57000,0,0.0,1.0964912280701754e-05
1991-10-22,7.25,7.25,6.75,6.75,64800,0,0.0,7.71604938271605e-06
1991-10-23,6.9375,7.5,6.8125,7.5,503400,0,0.0,1.3657131505760827e-06
1991-10-24,7.625,7.875,7.25,7.5625,140200,0,0.0,4.457917261055635e-06
1991-10-25,7.5625,7.5625,7.25,7.25,127600,0,0.0,2.449059561128527e-06
1991-10-28,7.25,7.5,7.25,7.25,25400,0,0.0,9.84251968503937e-06
1991-10-29,7.4375,7.4375,7.25,7.25,9400,0,0.0,1.9946808510638297e-05
1991-10-30,7.25,7.4375,7.25,7.4375,53200,0,0.0,3.524436090225564e-06
1991-10-31,7.4375,7.4375,7.25,7.25,34200,0,0.0,5.482456140350877e-06
1991-11-01,7.375,7.5625,7.3125,7.5625,167400,0,0.0,1.4934289127837516e-06
1991-11-04,7.6875,7.6875,7.4375,7.6875,81000,0,0.0,3.08641975308642e-06
1991-11-05,7.6875,7.6875,7.4375,7.6875,248400,0,0.0,1.006441223832528e-06
1991-11-06,7.6875,7.75,7.4375,7.75,51400,0,0.0,6.079766536964981e-06
1991-11-07,7.75,7.8125,7.5625,7.625,40400,0,0.0,6.1881188118811885e-06
1991-11-08,7.8125,7.8125,7.5625,7.75,86000,0,0.0,2.9069767441860463e-06
1991-11-11,7.75,7.75,7.5625,7.5625,8200,0,0.0,2.2865853658536585e-05
1991-11-12,7.5,7.6875,7.0625,7.25,218000,0,0.0,2.86697247706422e-06
1991-11-13,7.1875,7.1875,7.0,7.1875,96800,0,0.0,1.93698347107438e-06
1991-11-14,7.1875,7.1875,7.0,7.1875,82400,0,0.0,2.275485436893204e-06
1991-11-15,6.9375,7.0625,6.4375,6.4375,93400,0,0.0,6.691648822269807e-06
1991-11-18,6.375,6.4375,5.75,6.0,124400,0,0.0,5.526527331189711e-06
1991-11-19,6.0,6.0,5.625,5.75,150200,0,0.0,2.496671105193076e-06
1991-11-20,5.625,5.8125,5.625,5.75,126800,0,0.0,1.478706624605678e-06
1991-11-21,5.625,5.75,5.625,5.6875,43800,0,0.0,2.853881278538813e-06
1991-11-22,5.75,5.75,5.625,5.625,19800,0,0.0,6.313131313131313e-06
1991-11-25,5.75,5.75,5.5625,5.5625,35600,0,0.0,5.266853932584269e-06
1991-11-26,5.75,5.75,5.625,5.75,155000,0,0.0,8.064516129032258e-07
1991-11-27,5.625,5.875,5.625,5.8125,98800,0,0.0,2.530364372469636e-06
1991-11-29,5.8125,5.8125,5.625,5.6875,15600,0,0.0,1.201923076923077e-05
1991-12-02,5.75,5.75,5.5625,5.75,9600,0,0.0,1.953125e-05
1991-12-03,5.75,5.8125,5.625,5.75,239400,0,0.0,7.832080200501253e-07
1991-12-04,5.8125,6.25,5.75,6.25,255200,0,0.0,1.9592476489028214e-06
1991-12-05,6.25,6.8125,6.25,6.625,139600,0,0.0,4.029369627507164e-06
1991-12-06,6.75,7.375,6.5,7.0,269200,0,0.0,3.25037147102526e-06
1991-12-09,7.125,7.25,6.875,6.875,487000,0,0.0,7.700205338809034e-07
1991-12-10,7.125,7.125,6.875,6.9375,120400,0,0.0,2.0764119601328905e-06
1991-12-11,6.875,7.0,6.875,7.0,1600600,0,0.0,7.80957141072098e-08
1991-12-12,7.0,7.0,6.75,6.875,372800,0,0.0,6.706008583690988e-07
1991-12-13,7.0,7.0,6.75,6.75,36400,0,0.0,6.868131868131868e-06
1991-12-16,6.75,7.0,6.625,6.6875,90200,0,0.0,4.157427937915743e-06
1991-12-17,7.0,7.0,6.6875,6.8125,150000,0,0.0,2.083333333333333e-06
1991-12-18,6.875,7.0,6.75,7.0,228800,0,0.0,1.0926573426573429e-06
1991-12-19,6.75,7.0,6.75,7.0,108200,0,0.0,2.310536044362292e-06
1991-12-20,7.0,7.0,6.75,6.75,29400,0,0.0,8.503401360544217e-06
1991-12-23,6.75,6.75,6.375,6.5625,62800,0,0.0,5.971337579617834e-06
1991-12-24,6.625,6.75,6.5,6.75,35400,0,0.0,7.062146892655367e-06
1991-12-26,6.75,6.875,6.625,6.75,43000,0,0.0,5.813953488372093e-06
1991-12-27,6.625,7.5,6.625,7.5,179400,0,0.0,4.87736900780379e-06
1991-12-30,7.625,8.0,7.375,7.5,268200,0,0.0,2.3303504847129007e-06
1991-12-31,7.5,7.75,7.25,7.375,76400,0,0.0,6.544502617801047e-06
1992-01-02,7.25,7.5,7.25,7.5,18600,0,0.0,1.3440860215053763e-05
1992-01-03,7.375,8.375,7.25,8.125,331800,0,0.0,3.3905967450271247e-06
1992-01-06,8.25,8.75,8.0,8.625,236800,0,0.0,3.1672297297297296e-06
1992-01-07,8.625,8.625,8.0,8.375,51800,0,0.0,1.2065637065637066e-05
