Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ILLIQ
2018-03-16,27.5,33.470001220703125,26.059999465942383,33.0,16931900,0,0,4.37635572780417e-07
2018-03-19,31.450000762939453,31.5,26.75,27.89999961853028,5892100,0,0,8.06164185943891e-07
2018-03-20,28.40999984741211,30.90399932861328,28.06999969482422,30.3799991607666,3262000,0,0,8.687920397881859e-07
2018-03-21,30.790000915527344,34.83000183105469,29.290000915527344,31.07999992370605,4460900,0,0,1.2419020636031617e-06
2018-03-22,30.0,31.8799991607666,28.559999465942383,29.82999992370605,3239500,0,0,1.0248494196092665e-06
2018-03-23,30.309999465942383,30.450000762939453,28.600000381469727,29.43000030517578,1247100,0,0,1.4834418903614198e-06
2018-03-26,30.6299991607666,30.9379997253418,27.299999237060547,27.82999992370605,1916700,0,0,1.8980542016388848e-06
2018-03-27,28.0,28.599000930786133,26.600000381469727,27.75,1719500,0,0,1.1625475715710416e-06
2018-03-28,27.350000381469727,28.190000534057617,27.0,27.530000686645508,824700,0,0,1.4429495987117947e-06
2018-03-29,27.75,28.45499992370605,26.799999237060547,28.06999969482422,1137600,0,0,1.4548177625224225e-06
2018-04-02,27.89999961853028,28.65999984741211,26.80699920654297,27.059999465942383,786700,0,0,2.355409483753833e-06
2018-04-03,27.1299991607666,27.190000534057617,26.5,26.799999237060547,787500,0,0,8.761911543588789e-07
2018-04-04,26.350000381469727,28.950000762939453,26.31999969482422,27.96999931335449,1023800,0,0,2.568862148969754e-06
2018-04-05,28.61000061035156,29.14999961853028,27.96999931335449,28.530000686645508,1210400,0,0,9.74884587884816e-07
2018-04-06,28.31999969482422,29.663000106811523,28.049999237060547,28.21999931335449,737300,0,0,2.1877131015203804e-06
2018-04-09,28.46999931335449,28.700000762939453,26.5,26.540000915527344,934500,0,0,2.3542009234237057e-06
2018-04-10,27.059999465942383,28.5,26.84000015258789,28.06999969482422,1068400,0,0,1.5537250537365307e-06
2018-04-11,28.030000686645508,29.459999084472656,27.39999961853028,27.709999084472656,795300,0,0,2.5902168564596792e-06
2018-04-12,27.809999465942383,28.59000015258789,27.77499961853028,27.959999084472656,258900,0,0,3.147935627878012e-06
2018-04-13,28.700000762939453,28.700000762939453,27.030000686645508,27.479999542236328,418300,0,0,3.992350170437354e-06
2018-04-16,27.88999938964844,29.0,27.565000534057617,28.989999771118164,401000,0,0,3.578552284145593e-06
2018-04-17,29.309999465942383,29.972999572753903,28.6299991607666,28.75,951500,0,0,1.4114560294138777e-06
2018-04-18,28.959999084472656,29.0,28.0,28.64999961853028,377700,0,0,2.6476039184537995e-06
2018-04-19,28.64999961853028,28.94499969482422,27.75,28.030000686645508,265500,0,0,4.500940470147717e-06
2018-04-20,28.049999237060547,28.229999542236328,27.030000686645508,27.21999931335449,522500,0,0,2.296648527446546e-06
2018-04-23,27.200000762939453,27.57999992370605,26.5,26.86000061035156,626800,0,0,1.7230375298437375e-06
2018-04-24,27.0,27.96999931335449,27.0,27.13999938964844,393200,0,0,2.4669361987652395e-06
2018-04-25,27.09000015258789,28.450000762939453,26.850000381469727,28.11000061035156,415700,0,0,3.848930434134536e-06
2018-04-26,28.39999961853028,28.809999465942383,28.17099952697754,28.64999961853028,396000,0,0,1.6136362095071811e-06
2018-04-27,28.86000061035156,28.93000030517578,28.410999298095703,28.709999084472656,197200,0,0,2.631850948681938e-06
2018-04-30,28.700000762939453,30.059999465942383,28.700000762939453,29.88999938964844,399100,0,0,3.407664001510724e-06
2018-05-01,29.799999237060547,30.030000686645508,29.0,29.1299991607666,418400,0,0,2.461760723340124e-06
2018-05-02,29.31999969482422,30.059999465942383,29.01000022888184,29.950000762939453,265300,0,0,3.957780765399724e-06
2018-05-03,28.75,28.75,26.75,27.56999969482422,1937300,0,0,1.0323646311877355e-06
2018-05-04,27.57999992370605,27.959999084472656,27.57999992370605,27.86000061035156,651300,0,0,5.834471990889015e-07
2018-05-07,28.0,28.350000381469727,27.51000022888184,27.64999961853028,470200,0,0,1.786474165435752e-06
2018-05-08,27.64999961853028,27.90999984741211,27.270000457763672,27.530000686645508,266400,0,0,2.4024001112929334e-06
2018-05-09,27.489999771118164,27.8700008392334,27.333999633789062,27.850000381469727,325500,0,0,1.6467010919948875e-06
2018-05-10,27.850000381469727,28.81999969482422,27.5,28.18000030517578,380900,0,0,3.465475701822575e-06
2018-05-11,28.25,29.459999084472656,28.01000022888184,29.31999969482422,604500,0,0,2.3986746990749715e-06
2018-05-14,29.3700008392334,30.100000381469727,28.40999984741211,28.46999931335449,564800,0,0,2.992210577297481e-06
2018-05-15,28.420000076293945,28.76000022888184,27.25,27.40999984741211,753500,0,0,2.003981723798057e-06
2018-05-16,27.530000686645508,27.799999237060547,27.065000534057617,27.09000015258789,383100,0,0,1.9185557374130247e-06
2018-05-17,27.06999969482422,28.51000022888184,26.75200080871582,27.38999938964844,676300,0,0,2.599437261815785e-06
2018-05-18,27.39999961853028,27.809999465942383,27.209999084472656,27.280000686645508,227400,0,0,2.6385241049680147e-06
2018-05-21,27.350000381469727,27.989999771118164,27.040000915527344,27.420000076293945,268300,0,0,3.540808257886024e-06
2018-05-22,27.559999465942383,27.559999465942383,27.0,27.09000015258789,348700,0,0,1.60596348133749e-06
2018-05-23,26.8799991607666,27.13999938964844,26.26000022888184,26.559999465942383,693400,0,0,1.269107529227865e-06
2018-05-24,26.450000762939453,27.030000686645508,26.350000381469727,26.549999237060547,467800,0,0,1.4536133073445517e-06
2018-05-25,26.5,26.75,24.76000022888184,24.950000762939453,1034000,0,0,1.924564575549482e-06
2018-05-29,25.0,26.13999938964844,25.0,25.6299991607666,731200,0,0,1.5590801280749969e-06
2018-05-30,25.940000534057617,26.39999961853028,25.11100006103516,25.5,763300,0,0,1.6887194517163857e-06
2018-05-31,25.6200008392334,26.32999992370605,25.06999969482422,26.26000022888184,725900,0,0,1.735776593031872e-06
2018-06-01,26.36000061035156,28.200000762939453,26.36000061035156,28.18000030517578,849100,0,0,2.1670005330207166e-06
2018-06-04,28.38999938964844,29.39999961853028,28.38999938964844,29.209999084472656,1217700,0,0,8.294327247120275e-07
2018-06-05,29.31999969482422,30.15999984741211,28.90999984741211,30.1299991607666,818100,0,0,1.5279305708348612e-06
2018-06-06,30.200000762939453,31.51000022888184,29.86000061035156,30.64999961853028,2051600,0,0,8.042501552594431e-07
2018-06-07,36.0,42.15999984741211,34.849998474121094,37.790000915527344,10862900,0,0,6.729327687165504e-07
2018-06-08,37.4900016784668,40.95000076293945,37.400001525878906,40.52999877929688,3254200,0,0,1.0908976820910044e-06
2018-06-11,40.959999084472656,43.97999954223633,40.59000015258789,41.25,3320600,0,0,1.0208996535711731e-06
2018-06-12,41.7599983215332,41.79999923706055,38.790000915527344,38.93000030517578,2774100,0,0,1.0850359833939666e-06
2018-06-13,39.11000061035156,39.869998931884766,38.29999923706055,38.83000183105469,1568600,0,0,1.0008923210660582e-06
2018-06-14,39.58000183105469,41.0,39.27000045776367,39.38999938964844,1952300,0,0,8.861340686556001e-07
2018-06-15,38.95000076293945,42.720001220703125,38.935001373291016,41.0,3448000,0,0,1.0977377747714934e-06
2018-06-18,40.75,40.84000015258789,39.52000045776367,40.400001525878906,1760500,0,0,7.497868189856398e-07
2018-06-19,39.88999938964844,39.9900016784668,36.36000061035156,39.15999984741211,3160600,0,0,1.148516442484096e-06
2018-06-20,39.61000061035156,39.9900016784668,37.77000045776367,37.8849983215332,1292000,0,0,1.7182671986866292e-06
2018-06-21,38.08000183105469,38.08000183105469,35.189998626708984,35.209999084472656,2687000,0,0,1.0755501318740986e-06
2018-06-22,35.599998474121094,36.900001525878906,34.25,36.630001068115234,3702500,0,0,7.157330252205013e-07
2018-06-25,36.380001068115234,37.81999969482422,34.38999938964844,36.36000061035156,2068800,0,0,1.6579661181244109e-06
2018-06-26,36.45000076293945,37.34000015258789,35.29999923706055,35.869998931884766,1090100,0,0,1.8713887859162864e-06
2018-06-27,35.779998779296875,36.89599990844727,34.310001373291016,34.61000061035156,1080400,0,0,2.3935565856685023e-06
2018-06-28,34.5,35.66999816894531,33.5099983215332,35.310001373291016,1206200,0,0,1.7907476765147648e-06
2018-06-29,35.70000076293945,36.900001525878906,34.279998779296875,35.75,1381700,0,0,1.8962167956734685e-06
2018-07-02,36.0,37.47999954223633,34.79999923706055,37.08000183105469,1355700,0,0,1.9768387587045667e-06
2018-07-03,37.459999084472656,37.790000915527344,35.599998474121094,36.43000030517578,761200,0,0,2.877039465851616e-06
2018-07-05,36.61000061035156,36.81999969482422,35.279998779296875,36.66999816894531,624400,0,0,2.466369179255836e-06
2018-07-06,36.70000076293945,38.77999877929688,36.54999923706055,38.0099983215332,1256600,0,0,1.7746295895562057e-06
2018-07-09,38.95000076293945,40.06999969482422,37.619998931884766,39.869998931884766,1279800,0,0,1.914362215142564e-06
2018-07-10,40.34000015258789,40.34000015258789,38.150001525878906,38.540000915527344,1241200,0,0,1.7644204211319566e-06
2018-07-11,38.0,39.310001373291016,37.0099983215332,39.119998931884766,970200,0,0,2.3706483732816044e-06
2018-07-12,39.22999954223633,40.790000915527344,38.810001373291016,40.540000915527344,1003000,0,0,1.974077310305412e-06
2018-07-13,40.68000030517578,40.77000045776367,39.119998931884766,39.7400016784668,724400,0,0,2.277749207452936e-06
2018-07-16,39.65999984741211,41.43000030517578,39.02000045776367,41.119998931884766,896800,0,0,2.6873325684791586e-06
2018-07-17,41.119998931884766,41.97999954223633,40.17499923706055,41.880001068115234,1151100,0,0,1.56806559393257e-06
2018-07-18,42.31999969482422,42.630001068115234,40.91999816894531,41.68000030517578,963100,0,0,1.7755195713528417e-06
2018-07-19,41.45000076293945,41.8650016784668,40.15999984741211,40.380001068115234,722200,0,0,2.360844407442104e-06
2018-07-20,40.56999969482422,41.7599983215332,39.31800079345703,39.790000915527344,1290900,0,0,1.8917015478163848e-06
2018-07-23,39.619998931884766,42.43000030517578,39.0,41.380001068115234,947600,0,0,3.619671069201964e-06
2018-07-24,41.52000045776367,42.540000915527344,38.09999847412109,39.810001373291016,1207900,0,0,3.675802998101043e-06
2018-07-25,39.68999862670898,41.27999877929688,39.0,41.220001220703125,599900,0,0,3.800631404062136e-06
2018-07-26,39.869998931884766,40.72999954223633,39.47999954223633,39.66999816894531,856700,0,0,1.4590871950507762e-06
2018-07-27,40.09999847412109,40.40999984741211,37.11000061035156,37.380001068115234,1134100,0,0,2.9097956415312115e-06
2018-07-30,37.290000915527344,37.72999954223633,35.18000030517578,36.220001220703125,1235600,0,0,2.0637740668991155e-06
2018-07-31,36.09999847412109,36.77000045776367,33.900001525878906,35.310001373291016,1391200,0,0,2.062966454776284e-06
2018-08-01,35.599998474121094,36.22999954223633,35.191001892089844,36.060001373291016,508700,0,0,2.0424565562148307e-06
2018-08-02,35.65999984741211,37.46599960327149,35.32400131225586,37.02999877929688,868700,0,0,2.46575145736805e-06
2018-08-03,37.16999816894531,37.632999420166016,36.34799957275391,37.33000183105469,647700,0,0,1.983942947988435e-06
2018-08-06,37.41999816894531,38.66999816894531,36.060001373291016,36.59000015258789,692800,0,0,3.7673163909559714e-06
2018-08-07,37.060001373291016,38.29999923706055,36.75,37.25,501500,0,0,3.090726295235388e-06
2018-08-08,37.40999984741211,38.43000030517578,36.77899932861328,37.040000915527344,546900,0,0,3.018835210390382e-06
2018-08-09,37.08000183105469,39.59000015258789,37.08000183105469,38.290000915527344,703600,0,0,3.5673654370852804e-06
2018-08-10,38.209999084472656,38.63999938964844,37.150001525878906,38.18999862670898,457300,0,0,3.258250303454037e-06
2018-08-13,38.43000030517578,39.22600173950195,37.54999923706055,38.060001373291016,565500,0,0,2.96375331996712e-06
2018-08-14,38.02999877929688,38.59000015258789,36.77000045776367,37.52000045776367,633900,0,0,2.8711148364477344e-06
2018-08-15,37.02000045776367,37.40499877929688,35.5099983215332,36.34999847412109,1100400,0,0,1.7221014701596435e-06
2018-08-16,36.9900016784668,39.150001525878906,36.678001403808594,39.09999847412109,1754700,0,0,1.4087878965465962e-06
2018-08-17,38.91999816894531,41.0,38.55500030517578,40.290000915527344,1513200,0,0,1.6157809244146304e-06
2018-08-20,40.70000076293945,40.9900016784668,39.77999877929688,39.81999969482422,968500,0,0,1.2493576656375032e-06
2018-08-21,39.79999923706055,39.98899841308594,39.060001373291016,39.43000030517578,922700,0,0,1.0068245798145896e-06
2018-08-22,39.70000076293945,42.5,39.04999923706055,41.720001220703125,1956100,0,0,1.7637139016100675e-06
2018-08-23,41.5,43.900001525878906,41.26100158691406,42.54999923706055,1528500,0,0,1.7265292371376145e-06
2018-08-24,43.09999847412109,45.43999862670898,43.0,44.43000030517578,1892300,0,0,1.289435410193407e-06
2018-08-27,45.119998931884766,47.86000061035156,45.11000061035156,47.2599983215332,2974300,0,0,9.245872978515954e-07
2018-08-28,48.2400016784668,48.2400016784668,45.604000091552734,47.0,1696500,0,0,1.5537881443643163e-06
2018-08-29,47.0,48.0,46.5099983215332,47.15999984741211,738200,0,0,2.018425465276073e-06
2018-08-30,47.29999923706055,47.970001220703125,43.7599983215332,43.900001525878906,1913100,0,0,2.200618315388595e-06
2018-08-31,43.400001525878906,44.435001373291016,42.5,42.790000915527344,1279200,0,0,1.512665238657767e-06
